name,language,n_mentions
str,stata,826
corrci,stata,667
grc1leg,stata,530
rifreg,stata,411
storedresults,stata,275
renvars,stata,259
sigstar,stata,259
arcpy,python,192
using,stata,189
log_pop,stata,174
ma_stars,python,140
post_CL_,stata,139
xfill,stata,132
pydynopt,python,132
<dynamic>,python,128
MQX,r,103
preliminaries,stata,97
testgood,stata,76
lincomestadd,stata,63
PolicyState,python,62
matrix_to_txt,stata,62
_dots,stata,60
csdid2,stata,58
lib2to3,python,58
ms_estadd_nobs_nschool,stata,50
s14_mature_CattleMi,stata,48
TestMechs,r,47
stat_N,stata,46
panelgroupcs,r,45
_crcslbl,stata,42
mlscience_choices,python,42
_assert,stata,42
calculate_optimal_radii,stata,42
ihs_total_articles,stata,41
set_path,python,39
foo,r,38
nocons,stata,38
ms_fe_add_6col,stata,37
binsreg,stata,36
_vassert,stata,36
lassoShooting,stata,36
save_data,stata,35
graph2tex,stata,35
JOBID,stata,33
makeZ,stata,33
matchData,stata,33
HIDEG,stata,32
matselrc,stata,30
ols_spatial_HAC,stata,30
_gm_edit,stata,30
AK,stata,30
print,stata,30
intermediates,python,30
model_solution,notebook,30
ms_esttab_pad_la_before_store,stata,29
_r_b,stata,29
div_yn,stata,28
tset,stata,28
sc_tot_cont,stata,28
i_salary_wage,stata,28
blindschemes,stata,27
gurobi,r,26
_eststo,stata,26
binscatter2,stata,26
__main__,python,26
rdmc,stata,26
MEAN_CORRECT,stata,26
is_foreign_invest,stata,26
is_other_cat1,stata,26
span,stata,25
ModelFramework,python,25
pstar,stata,25
Pitch_Call_Correct,stata,25
year,stata,24
reclink2,stata,24
s14_mature_OtherPoul,stata,24
rcall,stata,23
latc1,stata,23
guse,stata,22
_ctypes_test,python,22
sp_flag,stata,22
FEShR,r,21
DCdensity,stata,21
gr_setscheme,stata,21
makeIV_2state,stata,21
testbad,stata,21
rdhonest,stata,21
fzpizza,stata,21
photo,stata,21
ivregcomplier,stata,21
a_nlflj,stata,20
a_explf,stata,20
sequence_jacobian_files,python,20
V,stata,20
updateSuffix,stata,20
psparser,python,20
s14_mature_Sheep,stata,20
numbers,stata,20
polychoric,stata,19
gmatch,stata,19
legend,stata,19
wc_type,stata,18
axhga,stata,18
qgis,python,18
iso,stata,18
model_interface,notebook,18
xi3,stata,17
starpolishr,r,17
from,stata,17
ltable,stata,17
vtf,stata,17
python,python,17
a_uncov,stata,16
migsame,stata,16
mig_mtr1,stata,16
prerelg,stata,16
famrel,stata,16
rego,stata,16
se,stata,16
dynamic_model,python,16
proposal_clogit,stata,16
in,stata,15
_gm_log,stata,15
temp_config,python,15
rdbwselect_2014,stata,15
gsave,stata,15
e,stata,15
ss_model,python,15
set_parameters,python,15
synthdid,r,15
ar2,stata,15
kuvreplicationsuite,python,15
lkweeks,stata,14
wexp,stata,14
ptot_r,stata,14
ch_mc,stata,14
axind,stata,14
axhrlywk,stata,14
ljcw,stata,14
vet_typ1,stata,14
peabsrsn,stata,14
_dstpctile,stata,14
ms_estadd_pct_linear,stata,14
taxsim9,stata,14
plotcoeffs,stata,14
livestock_prod_qty_Manure,stata,14
i_lsum_a,stata,14
data_management,notebook,14
proposal_clogit_tables,stata,14
functions_sub,python,14
The,stata,13
fintval,stata,13
pdftypes,python,13
level_income,stata,13
Mcaid_schip,stata,13
lean_pp_rep,stata,13
writeln,stata,13
accept_logit,stata,13
a_rcow,stata,12
wageotr,stata,12
ppposold,stata,12
a_hrs1,stata,12
axwhyabs,stata,12
i_ernsrc,stata,12
i_wctyp,stata,12
