package,language,ecosystem,n_deposits,n_files,n_mentions,first_year,last_year,n_deposits_at_risk,share_of_deposits
estout,stata,ssc,657,3847,114218,,,1075,0.6112
reghdfe,stata,ssc,375,2351,18742,,,1075,0.3488
outreg2,stata,ssc,263,1286,16600,,,1075,0.2447
coefplot,stata,ssc,223,591,2339,,,1075,0.2074
dplyr,r,cran,197,1427,7268,,,392,0.5026
pandas,python,pypi,185,1389,1486,,,224,0.8259
numpy,python,pypi,174,1717,1908,,,224,0.7768
ggplot2,r,cran,158,776,2322,,,392,0.4031
tidyverse,r,cran,131,894,906,,,392,0.3342
matplotlib,python,pypi,129,579,1078,,,224,0.5759
binscatter,stata,ssc,127,219,673,,,1075,0.1181
haven,r,cran,126,574,628,,,392,0.3214
ivreg2,stata,ssc,109,367,2566,,,1075,0.1014
data.table,r,cran,106,548,762,,,392,0.2704
readxl,r,cran,105,310,376,,,392,0.2679
ivreghdfe,stata,ssc,99,408,3120,,,1075,0.0921
scipy,python,pypi,98,494,853,,,224,0.4375
winsor2,stata,ssc,87,270,965,,,1075,0.0809
spmap,stata,ssc,87,110,256,,,1075,0.0809
tidyr,r,cran,87,326,525,,,392,0.2219
stringr,r,cran,83,259,683,,,392,0.2117
distinct,stata,ssc,81,253,1226,,,1075,0.0753
unique,stata,ssc,80,257,1524,,,1075,0.0744
scales,r,cran,68,208,390,,,392,0.1735
gtools,stata,ssc,67,604,3124,,,1075,0.0623
xtable,r,cran,66,329,339,,,392,0.1684
stargazer,r,cran,65,169,197,,,392,0.1658
foreign,r,cran,65,238,251,,,392,0.1658
grstyle,stata,ssc,63,247,2271,,,1075,0.0586
knitr,r,cran,62,773,1109,,,392,0.1582
lfe,r,cran,55,328,470,,,392,0.1403
sf,r,cran,55,356,1186,,,392,0.1403
statsmodels,python,pypi,54,161,264,,,224,0.2411
shp2dta,stata,ssc,54,67,118,,,1075,0.0502
fixest,r,cran,53,194,356,,,392,0.1352
lubridate,r,cran,53,297,427,,,392,0.1352
labutil,stata,ssc,49,79,171,,,1075,0.0456
parmest,stata,ssc,48,189,1330,,,1075,0.0447
readr,r,cran,48,173,262,,,392,0.1224
geodist,stata,ssc,48,83,138,,,1075,0.0447
winsor,stata,ssc,46,156,531,,,1075,0.0428
zoo,r,cran,45,142,261,,,392,0.1148
doParallel,r,cran,43,269,294,,,392,0.1097
sandwich,r,cran,42,127,232,,,392,0.1071
carryforward,stata,ssc,42,175,444,,,1075,0.0391
scikit-learn,python,pypi,42,170,345,,,224,0.1875
rdrobust,stata,ssc,41,209,1740,,,1075,0.0381
plyr,r,cran,41,246,373,,,392,0.1046
ppmlhdfe,stata,ssc,39,129,976,,,1075,0.0363
broom,r,cran,39,157,195,,,392,0.0995
reshape2,r,cran,38,169,227,,,392,0.0969
seaborn,python,pypi,38,136,143,,,224,0.1696
tibble,r,cran,37,318,642,,,392,0.0944
regsave,stata,ssc,37,152,498,,,1075,0.0344
gridExtra,r,cran,37,78,120,,,392,0.0944
RColorBrewer,r,cran,37,82,101,,,392,0.0944
purrr,r,cran,37,179,317,,,392,0.0944
foreach,r,cran,36,298,343,,,392,0.0918
MASS,r,cran,36,229,304,,,392,0.0918
rstudioapi,r,cran,36,190,368,,,392,0.0918
lmtest,r,cran,36,93,148,,,392,0.0918
boottest,stata,ssc,36,74,1377,,,1075,0.0335
outreg,stata,ssc,35,127,663,,,1075,0.0326
readstata13,r,cran,34,167,193,,,392,0.0867
latex2exp,r,cran,33,76,111,,,392,0.0842
Hmisc,r,cran,33,174,198,,,392,0.0842
Matrix,r,cran,33,265,596,,,392,0.0842
kableExtra,r,cran,31,61,231,,,392,0.0791
magrittr,r,cran,31,158,163,,,392,0.0791
devtools,r,cran,29,106,110,,,392,0.074
acreg,stata,ssc,28,112,883,,,1075,0.026
ftools,stata,ssc,28,152,492,,,1075,0.026
cowplot,r,cran,27,48,65,,,392,0.0689
remotes,r,cran,24,92,140,,,392,0.0612
glmnet,r,cran,23,100,141,,,392,0.0587
texsave,stata,ssc,23,109,141,,,1075,0.0214
ggpubr,r,cran,23,36,49,,,392,0.0587
ggrepel,r,cran,22,33,44,,,392,0.0561
rddensity,stata,ssc,22,30,102,,,1075,0.0205
here,r,cran,22,404,595,,,392,0.0561
raster,r,cran,22,78,516,,,392,0.0561
pracma,r,cran,22,147,240,,,392,0.0561
psacalc,stata,ssc,21,22,83,,,1075,0.0195
texdoc,stata,ssc,21,108,3052,,,1075,0.0195
plm,r,cran,21,142,880,,,392,0.0536
sp,r,cran,21,183,326,,,392,0.0536
pacman,r,cran,21,67,109,,,392,0.0536
stop,stata,ssc,20,39,64,,,1075,0.0186
balancetable,stata,ssc,20,22,61,,,1075,0.0186
numba,python,pypi,20,94,134,,,224,0.0893
grc1leg2,stata,ssc,20,60,183,,,1075,0.0186
mdesc,stata,ssc,20,93,186,,,1075,0.0186
stringi,r,cran,20,45,48,,,392,0.051
ggthemes,r,cran,19,47,70,,,392,0.0485
nltk,python,pypi,19,299,990,,,224,0.0848
openxlsx,r,cran,19,31,32,,,392,0.0485
modelsummary,r,cran,19,29,46,,,392,0.0485
viridis,r,cran,19,40,54,,,392,0.0485
