"id","identifier","persistentUrl","protocol","authority","publisher","publicationDate","storageIdentifier","type"
46774,"DVN/EZ1UDS","https://doi.org/10.7910/DVN/EZ1UDS","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10389","dataset"
46779,"DVN/28158","https://doi.org/10.7910/DVN/28158","doi","10.7910","Harvard Dataverse","2014-12-12","s3://10.7910/DVN/28158","dataset"
47142,"DVN1/22636","https://doi.org/10.7910/DVN1/22636","doi","10.7910","Harvard Dataverse","2013-09-30","s3://10.7910/DVN1/22636","dataset"
47364,"DVN/NNMDGM","https://doi.org/10.7910/DVN/NNMDGM","doi","10.7910","Harvard Dataverse","2007-12-05","s3://1902.1/10105","dataset"
48923,"DVN/BHU6SP","https://doi.org/10.7910/DVN/BHU6SP","doi","10.7910","Harvard Dataverse","2010-02-23","s3://1902.1/14307","dataset"
53302,"DVN/CTQKJA","https://doi.org/10.7910/DVN/CTQKJA","doi","10.7910","Harvard Dataverse","2012-08-23","s3://1902.1/18722","dataset"
53311,"DVN/27176","https://doi.org/10.7910/DVN/27176","doi","10.7910","Harvard Dataverse","2014-09-19","s3://10.7910/DVN/27176","dataset"
55430,"DVN/P9UL3O","https://doi.org/10.7910/DVN/P9UL3O","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10510","dataset"
55492,"DVN/EGM43G","https://doi.org/10.7910/DVN/EGM43G","doi","10.7910","Harvard Dataverse","2012-03-17","s3://1902.1/17864","dataset"
55935,"DVN/IQW9LQ","https://doi.org/10.7910/DVN/IQW9LQ","doi","10.7910","Harvard Dataverse","2013-05-15","s3://1902.1/21461","dataset"
56536,"DVN/H7HDX9","https://doi.org/10.7910/DVN/H7HDX9","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10654","dataset"
56540,"DVN/AICW6R","https://doi.org/10.7910/DVN/AICW6R","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10386","dataset"
56630,"DVN/QJGWDY","https://doi.org/10.7910/DVN/QJGWDY","doi","10.7910","Harvard Dataverse","2007-12-10","s3://1902.1/10304","dataset"
56780,"DVN/AOWHWQ","https://doi.org/10.7910/DVN/AOWHWQ","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10450","dataset"
56782,"DVN/Z7RTOQ","https://doi.org/10.7910/DVN/Z7RTOQ","doi","10.7910","Harvard Dataverse","2012-03-22","s3://1902.1/17893","dataset"
58375,"DVN/F4NUMR","https://doi.org/10.7910/DVN/F4NUMR","doi","10.7910","Harvard Dataverse","2011-12-06","s3://1902.1/17229","dataset"
60132,"DVN/FLJMRM","https://doi.org/10.7910/DVN/FLJMRM","doi","10.7910","Harvard Dataverse","2008-12-16","s3://1902.1/10296","dataset"
60600,"DVN/23402","https://doi.org/10.7910/DVN/23402","doi","10.7910","Harvard Dataverse","2013-11-16","s3://10.7910/DVN/23402","dataset"
60821,"DVN/I9TIIM","https://doi.org/10.7910/DVN/I9TIIM","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10682","dataset"
61207,"DVN/YYUVW7","https://doi.org/10.7910/DVN/YYUVW7","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10122","dataset"
64810,"DVN/DA7BA3","https://doi.org/10.7910/DVN/DA7BA3","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10136","dataset"
64813,"DVN/RRNIDP","https://doi.org/10.7910/DVN/RRNIDP","doi","10.7910","Harvard Dataverse","2007-11-28","s3://1902.1/10134","dataset"
65996,"DVN/26937","https://doi.org/10.7910/DVN/26937","doi","10.7910","Harvard Dataverse","2014-08-04","s3://10.7910/DVN/26937","dataset"
65997,"DVN/27192","https://doi.org/10.7910/DVN/27192","doi","10.7910","Harvard Dataverse","2014-08-26","s3://10.7910/DVN/27192","dataset"
2679474,"DVN/AXVEXM","https://doi.org/10.7910/DVN/AXVEXM","doi","10.7910","Harvard Dataverse","2015-05-26","s3://10.7910/DVN/AXVEXM","dataset"
2680569,"DVN/IUG2C4","https://doi.org/10.7910/DVN/IUG2C4","doi","10.7910","Harvard Dataverse","2015-05-30","s3://10.7910/DVN/IUG2C4","dataset"
2696460,"DVN/7NC3UL","https://doi.org/10.7910/DVN/7NC3UL","doi","10.7910","Harvard Dataverse","2015-08-20","s3://10.7910/DVN/7NC3UL","dataset"
2730700,"DVN/K7292I","https://doi.org/10.7910/DVN/K7292I","doi","10.7910","Harvard Dataverse","2015-11-22","s3://10.7910/DVN/K7292I","dataset"
2776497,"DVN/YMMSIC","https://doi.org/10.7910/DVN/YMMSIC","doi","10.7910","Harvard Dataverse","2016-01-28","s3://10.7910/DVN/YMMSIC","dataset"
2791122,"DVN/MT9X84","https://doi.org/10.7910/DVN/MT9X84","doi","10.7910","Harvard Dataverse","2016-03-08","s3://10.7910/DVN/MT9X84","dataset"
2794187,"DVN/HAU0EX","https://doi.org/10.7910/DVN/HAU0EX","doi","10.7910","Harvard Dataverse","2016-06-01","s3://10.7910/DVN/HAU0EX","dataset"
2867881,"DVN/QR73H6","https://doi.org/10.7910/DVN/QR73H6","doi","10.7910","Harvard Dataverse","2016-09-13","s3://10.7910/DVN/QR73H6","dataset"
2914112,"DVN/KDSF60","https://doi.org/10.7910/DVN/KDSF60","doi","10.7910","Harvard Dataverse","2017-03-27","s3://10.7910/DVN/KDSF60","dataset"
2914349,"DVN/UTAP1V","https://doi.org/10.7910/DVN/UTAP1V","doi","10.7910","Harvard Dataverse","2017-03-27","s3://10.7910/DVN/UTAP1V","dataset"
2961464,"DVN/NNBZP7","https://doi.org/10.7910/DVN/NNBZP7","doi","10.7910","Harvard Dataverse","2016-11-25","s3://10.7910/DVN/NNBZP7","dataset"
2965361,"DVN/2IGRV9","https://doi.org/10.7910/DVN/2IGRV9","doi","10.7910","Harvard Dataverse","2017-03-27","s3://10.7910/DVN/2IGRV9","dataset"
3009720,"DVN/YFPCBP","https://doi.org/10.7910/DVN/YFPCBP","doi","10.7910","Harvard Dataverse","2017-03-31","s3://10.7910/DVN/YFPCBP","dataset"
3010544,"DVN/K1XN7Q","https://doi.org/10.7910/DVN/K1XN7Q","doi","10.7910","Harvard Dataverse","2017-06-21","file","dataset"
3011182,"DVN/T5DKRO","https://doi.org/10.7910/DVN/T5DKRO","doi","10.7910","Harvard Dataverse","2017-07-26","s3://10.7910/DVN/T5DKRO","dataset"
3011456,"DVN/1QZ0JZ","https://doi.org/10.7910/DVN/1QZ0JZ","doi","10.7910","Harvard Dataverse","2017-08-15","s3://10.7910/DVN/1QZ0JZ","dataset"
3011824,"DVN/GA0X38","https://doi.org/10.7910/DVN/GA0X38","doi","10.7910","Harvard Dataverse","2017-06-21","s3://10.7910/DVN/GA0X38","dataset"
3012382,"DVN/EY2I6M","https://doi.org/10.7910/DVN/EY2I6M","doi","10.7910","Harvard Dataverse","2017-06-28","s3://10.7910/DVN/EY2I6M","dataset"
3020225,"DVN/TKU9WH","https://doi.org/10.7910/DVN/TKU9WH","doi","10.7910","Harvard Dataverse","2017-06-28","s3://10.7910/DVN/TKU9WH","dataset"
3028672,"DVN/8SR1GY","https://doi.org/10.7910/DVN/8SR1GY","doi","10.7910","Harvard Dataverse","2017-08-15","s3://10.7910/DVN/8SR1GY","dataset"
3030269,"DVN/KGOUYI","https://doi.org/10.7910/DVN/KGOUYI","doi","10.7910","Harvard Dataverse","2017-09-01","s3://10.7910/DVN/KGOUYI","dataset"
3030980,"DVN/0ZRGEE","https://doi.org/10.7910/DVN/0ZRGEE","doi","10.7910","Harvard Dataverse","2017-10-09","s3://10.7910/DVN/0ZRGEE","dataset"
3031922,"DVN/V7SQRW","https://doi.org/10.7910/DVN/V7SQRW","doi","10.7910","Harvard Dataverse","2017-08-15","s3://10.7910/DVN/V7SQRW","dataset"
3032378,"DVN/OJQJRM","https://doi.org/10.7910/DVN/OJQJRM","doi","10.7910","Harvard Dataverse","2017-10-09","s3://10.7910/DVN/OJQJRM","dataset"
3035486,"DVN/ZUMTTN","https://doi.org/10.7910/DVN/ZUMTTN","doi","10.7910","Harvard Dataverse","2017-10-09","s3://10.7910/DVN/ZUMTTN","dataset"
3035735,"DVN/5UMCKK","https://doi.org/10.7910/DVN/5UMCKK","doi","10.7910","Harvard Dataverse","2017-10-09","s3://10.7910/DVN/5UMCKK","dataset"
3035951,"DVN/INVDWM","https://doi.org/10.7910/DVN/INVDWM","doi","10.7910","Harvard Dataverse","2017-09-01","s3://10.7910/DVN/INVDWM","dataset"
3039496,"DVN/RAMHWP","https://doi.org/10.7910/DVN/RAMHWP","doi","10.7910","Harvard Dataverse","2017-10-04","s3://10.7910/DVN/RAMHWP","dataset"
3041323,"DVN/NEIYVD","https://doi.org/10.7910/DVN/NEIYVD","doi","10.7910","Harvard Dataverse","2017-12-13","file","dataset"
3042275,"DVN/10HLY3","https://doi.org/10.7910/DVN/10HLY3","doi","10.7910","Harvard Dataverse","2017-09-19","s3://10.7910/DVN/10HLY3","dataset"
3042977,"DVN/X0ZPH4","https://doi.org/10.7910/DVN/X0ZPH4","doi","10.7910","Harvard Dataverse","2017-12-13","s3://10.7910/DVN/X0ZPH4","dataset"
3051048,"DVN/X7AMNO","https://doi.org/10.7910/DVN/X7AMNO","doi","10.7910","Harvard Dataverse","2017-12-15","s3://10.7910/DVN/X7AMNO","dataset"
3051096,"DVN/PENDX4","https://doi.org/10.7910/DVN/PENDX4","doi","10.7910","Harvard Dataverse","2017-10-04","s3://10.7910/DVN/PENDX4","dataset"
3052724,"DVN/KBRXOR","https://doi.org/10.7910/DVN/KBRXOR","doi","10.7910","Harvard Dataverse","2017-12-13","s3://10.7910/DVN/KBRXOR","dataset"
3054084,"DVN/VHNHHN","https://doi.org/10.7910/DVN/VHNHHN","doi","10.7910","Harvard Dataverse","2017-12-13","s3://10.7910/DVN/VHNHHN","dataset"
3055669,"DVN/DO43V5","https://doi.org/10.7910/DVN/DO43V5","doi","10.7910","Harvard Dataverse","2018-01-08","s3://10.7910/DVN/DO43V5","dataset"
3057791,"DVN/K3QWZW","https://doi.org/10.7910/DVN/K3QWZW","doi","10.7910","Harvard Dataverse","2017-12-13","s3://10.7910/DVN/K3QWZW","dataset"
3066385,"DVN/SJ8ER9","https://doi.org/10.7910/DVN/SJ8ER9","doi","10.7910","Harvard Dataverse","2017-12-15","s3://10.7910/DVN/SJ8ER9","dataset"
3066432,"DVN/E7OQEY","https://doi.org/10.7910/DVN/E7OQEY","doi","10.7910","Harvard Dataverse","2018-01-18","s3://10.7910/DVN/E7OQEY","dataset"
3071435,"DVN/XEXISR","https://doi.org/10.7910/DVN/XEXISR","doi","10.7910","Harvard Dataverse","2018-01-18","s3://10.7910/DVN/XEXISR","dataset"
3079507,"DVN/UJYEAD","https://doi.org/10.7910/DVN/UJYEAD","doi","10.7910","Harvard Dataverse","2018-03-27","s3://10.7910/DVN/UJYEAD","dataset"
3082481,"DVN/AL1A4Q","https://doi.org/10.7910/DVN/AL1A4Q","doi","10.7910","Harvard Dataverse","2018-03-15","s3://10.7910/DVN/AL1A4Q","dataset"
3082492,"DVN/TPGPCR","https://doi.org/10.7910/DVN/TPGPCR","doi","10.7910","Harvard Dataverse","2018-03-27","s3://10.7910/DVN/TPGPCR","dataset"
3088154,"DVN/KZIXI0","https://doi.org/10.7910/DVN/KZIXI0","doi","10.7910","Harvard Dataverse","2018-03-27","s3://10.7910/DVN/KZIXI0","dataset"
3092273,"DVN/DQZXQB","https://doi.org/10.7910/DVN/DQZXQB","doi","10.7910","Harvard Dataverse","2018-03-22","s3://10.7910/DVN/DQZXQB","dataset"
3092605,"DVN/CTZNJV","https://doi.org/10.7910/DVN/CTZNJV","doi","10.7910","Harvard Dataverse","2018-03-27","s3://10.7910/DVN/CTZNJV","dataset"
3097283,"DVN/KWPEKK","https://doi.org/10.7910/DVN/KWPEKK","doi","10.7910","Harvard Dataverse","2018-03-01","s3://10.7910/DVN/KWPEKK","dataset"
3106433,"DVN/AI3VM8","https://doi.org/10.7910/DVN/AI3VM8","doi","10.7910","Harvard Dataverse","2018-02-02","s3://10.7910/DVN/AI3VM8","dataset"
3106654,"DVN/Q8NRTS","https://doi.org/10.7910/DVN/Q8NRTS","doi","10.7910","Harvard Dataverse","2018-04-10","s3://10.7910/DVN/Q8NRTS","dataset"
3106859,"DVN/TTE3SQ","https://doi.org/10.7910/DVN/TTE3SQ","doi","10.7910","Harvard Dataverse","2018-02-20","file","dataset"
3106899,"DVN/9ZYFBX","https://doi.org/10.7910/DVN/9ZYFBX","doi","10.7910","Harvard Dataverse","2018-03-12","s3://10.7910/DVN/9ZYFBX","dataset"
3108354,"DVN/CRPAA8","https://doi.org/10.7910/DVN/CRPAA8","doi","10.7910","Harvard Dataverse","2018-03-12","s3://10.7910/DVN/CRPAA8","dataset"
3109185,"DVN/GJIRV0","https://doi.org/10.7910/DVN/GJIRV0","doi","10.7910","Harvard Dataverse","2018-03-16","s3://10.7910/DVN/GJIRV0","dataset"
3124577,"DVN/SAPQYS","https://doi.org/10.7910/DVN/SAPQYS","doi","10.7910","Harvard Dataverse","2018-04-10","s3://10.7910/DVN/SAPQYS","dataset"
3124812,"DVN/X8ZRVO","https://doi.org/10.7910/DVN/X8ZRVO","doi","10.7910","Harvard Dataverse","2018-04-05","s3://10.7910/DVN/X8ZRVO","dataset"
3135274,"DVN/AJHFHU","https://doi.org/10.7910/DVN/AJHFHU","doi","10.7910","Harvard Dataverse","2018-05-14","s3://10.7910/DVN/AJHFHU","dataset"
3135437,"DVN/SJI4IA","https://doi.org/10.7910/DVN/SJI4IA","doi","10.7910","Harvard Dataverse","2018-04-30","s3://10.7910/DVN/SJI4IA","dataset"
3141462,"DVN/KGVBNC","https://doi.org/10.7910/DVN/KGVBNC","doi","10.7910","Harvard Dataverse","2018-06-26","s3://10.7910/DVN/KGVBNC","dataset"
3141620,"DVN/FVCGHC","https://doi.org/10.7910/DVN/FVCGHC","doi","10.7910","Harvard Dataverse","2018-07-04","s3://10.7910/DVN/FVCGHC","dataset"
3142685,"DVN/JSR0OE","https://doi.org/10.7910/DVN/JSR0OE","doi","10.7910","Harvard Dataverse","2018-07-04","s3://10.7910/DVN/JSR0OE","dataset"
3147439,"DVN/PSGCJH","https://doi.org/10.7910/DVN/PSGCJH","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/PSGCJH","dataset"
3147980,"DVN/HHMXU3","https://doi.org/10.7910/DVN/HHMXU3","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/HHMXU3","dataset"
3151851,"DVN/DAR56O","https://doi.org/10.7910/DVN/DAR56O","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/DAR56O","dataset"
3151897,"DVN/YDSRWF","https://doi.org/10.7910/DVN/YDSRWF","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/YDSRWF","dataset"
3152143,"DVN/AY32JZ","https://doi.org/10.7910/DVN/AY32JZ","doi","10.7910","Harvard Dataverse","2018-06-26","s3://10.7910/DVN/AY32JZ","dataset"
3152365,"DVN/RUQ2KP","https://doi.org/10.7910/DVN/RUQ2KP","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/RUQ2KP","dataset"
3157430,"DVN/PCM2O2","https://doi.org/10.7910/DVN/PCM2O2","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/PCM2O2","dataset"
3157843,"DVN/SFBX6Z","https://doi.org/10.7910/DVN/SFBX6Z","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/SFBX6Z","dataset"
3163648,"DVN/T1TELH","https://doi.org/10.7910/DVN/T1TELH","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/T1TELH","dataset"
3173019,"DVN/3KOQWQ","https://doi.org/10.7910/DVN/3KOQWQ","doi","10.7910","Harvard Dataverse","2018-08-10","s3://10.7910/DVN/3KOQWQ","dataset"
3175679,"DVN/VTUSLV","https://doi.org/10.7910/DVN/VTUSLV","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/VTUSLV","dataset"
3180768,"DVN/AOTVAU","https://doi.org/10.7910/DVN/AOTVAU","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/AOTVAU","dataset"
3181535,"DVN/MO3KOQ","https://doi.org/10.7910/DVN/MO3KOQ","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/MO3KOQ","dataset"
3181552,"DVN/KTCXTE","https://doi.org/10.7910/DVN/KTCXTE","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/KTCXTE","dataset"
3181559,"DVN/TI5BPV","https://doi.org/10.7910/DVN/TI5BPV","doi","10.7910","Harvard Dataverse","2019-01-08","s3://10.7910/DVN/TI5BPV","dataset"
3181582,"DVN/VNHM17","https://doi.org/10.7910/DVN/VNHM17","doi","10.7910","Harvard Dataverse","2018-11-09","s3://10.7910/DVN/VNHM17","dataset"
3182161,"DVN/LFQZVU","https://doi.org/10.7910/DVN/LFQZVU","doi","10.7910","Harvard Dataverse","2018-09-20","s3://10.7910/DVN/LFQZVU","dataset"
3183551,"DVN/SNW8PV","https://doi.org/10.7910/DVN/SNW8PV","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/SNW8PV","dataset"
3184483,"DVN/YUNDMQ","https://doi.org/10.7910/DVN/YUNDMQ","doi","10.7910","Harvard Dataverse","2018-09-24","s3://10.7910/DVN/YUNDMQ","dataset"
3193982,"DVN/OWQNVF","https://doi.org/10.7910/DVN/OWQNVF","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/OWQNVF","dataset"
3194029,"DVN/EDRAIQ","https://doi.org/10.7910/DVN/EDRAIQ","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/EDRAIQ","dataset"
3195721,"DVN/6A2J2T","https://doi.org/10.7910/DVN/6A2J2T","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/6A2J2T","dataset"
3204402,"DVN/5QUCW7","https://doi.org/10.7910/DVN/5QUCW7","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/5QUCW7","dataset"
3204497,"DVN/1ZOEEX","https://doi.org/10.7910/DVN/1ZOEEX","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/1ZOEEX","dataset"
3209071,"DVN/CFTMK2","https://doi.org/10.7910/DVN/CFTMK2","doi","10.7910","Harvard Dataverse","2019-01-04","s3://10.7910/DVN/CFTMK2","dataset"
3213765,"DVN/VKOMCK","https://doi.org/10.7910/DVN/VKOMCK","doi","10.7910","Harvard Dataverse","2019-01-04","s3://10.7910/DVN/VKOMCK","dataset"
3214024,"DVN/UVANPR","https://doi.org/10.7910/DVN/UVANPR","doi","10.7910","Harvard Dataverse","2018-11-09","s3://10.7910/DVN/UVANPR","dataset"
3218807,"DVN/ARIQT2","https://doi.org/10.7910/DVN/ARIQT2","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/ARIQT2","dataset"
3230371,"DVN/SQH6IF","https://doi.org/10.7910/DVN/SQH6IF","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/SQH6IF","dataset"
3231028,"DVN/03CDTK","https://doi.org/10.7910/DVN/03CDTK","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/03CDTK","dataset"
3234936,"DVN/OOMI57","https://doi.org/10.7910/DVN/OOMI57","doi","10.7910","Harvard Dataverse","2018-12-04","s3://10.7910/DVN/OOMI57","dataset"
3238893,"DVN/YGUHTD","https://doi.org/10.7910/DVN/YGUHTD","doi","10.7910","Harvard Dataverse","2019-01-04","s3://10.7910/DVN/YGUHTD","dataset"
3240126,"DVN/SEOCQ0","https://doi.org/10.7910/DVN/SEOCQ0","doi","10.7910","Harvard Dataverse","2019-01-04","s3://10.7910/DVN/SEOCQ0","dataset"
3242202,"DVN/38BFML","https://doi.org/10.7910/DVN/38BFML","doi","10.7910","Harvard Dataverse","2019-02-06","s3://10.7910/DVN/38BFML","dataset"
3242489,"DVN/5CYWWF","https://doi.org/10.7910/DVN/5CYWWF","doi","10.7910","Harvard Dataverse","2019-01-04","s3://10.7910/DVN/5CYWWF","dataset"
3256404,"DVN/XF1157","https://doi.org/10.7910/DVN/XF1157","doi","10.7910","Harvard Dataverse","2018-12-29","s3://10.7910/DVN/XF1157","dataset"
3299042,"DVN/D64FNB","https://doi.org/10.7910/DVN/D64FNB","doi","10.7910","Harvard Dataverse","2019-02-27","s3://10.7910/DVN/D64FNB","dataset"
3301888,"DVN/HUKSID","https://doi.org/10.7910/DVN/HUKSID","doi","10.7910","Harvard Dataverse","2018-12-13","s3://10.7910/DVN/HUKSID","dataset"
3309874,"DVN/IANHOG","https://doi.org/10.7910/DVN/IANHOG","doi","10.7910","Harvard Dataverse","2019-01-04","s3://10.7910/DVN/IANHOG","dataset"
3317529,"DVN/QTOIQF","https://doi.org/10.7910/DVN/QTOIQF","doi","10.7910","Harvard Dataverse","2019-02-27","s3://10.7910/DVN/QTOIQF","dataset"
3319770,"DVN/TWVXKZ","https://doi.org/10.7910/DVN/TWVXKZ","doi","10.7910","Harvard Dataverse","2019-02-28","s3://10.7910/DVN/TWVXKZ","dataset"
3324230,"DVN/DHZBAB","https://doi.org/10.7910/DVN/DHZBAB","doi","10.7910","Harvard Dataverse","2019-03-04","s3://10.7910/DVN/DHZBAB","dataset"
3324452,"DVN/QVY8JO","https://doi.org/10.7910/DVN/QVY8JO","doi","10.7910","Harvard Dataverse","2019-02-27","s3://10.7910/DVN/QVY8JO","dataset"
3329148,"DVN/8IWRBI","https://doi.org/10.7910/DVN/8IWRBI","doi","10.7910","Harvard Dataverse","2019-06-25","s3://10.7910/DVN/8IWRBI","dataset"
