path_name,imports,dataverse,repo_id
scripts/BJPolS_datasets_files/YPZFEK/R_1_main_analysis.R,"['margins', 'stargazer', 'tidyverse', 'scales', 'sandwich', 'lmtest']",BJPolS,YPZFEK
scripts/BJPolS_datasets_files/YPZFEK/R_0_2_make_data.R,"['magrittr', 'tidyverse']",BJPolS,YPZFEK
scripts/BJPolS_datasets_files/YPZFEK/R_2_appendix_ab.R,"['matrixStats', 'tidyverse', 'scales', 'stringr', 'Hmisc']",BJPolS,YPZFEK
scripts/BJPolS_datasets_files/YPZFEK/R_0_1_make_measures.R,"['haven', 'scales', 'tidyverse', 'scalse']",BJPolS,YPZFEK
scripts/BJPolS_datasets_files/YPZFEK/R_2_appendix_c.R,"['magrittr', 'broom', 'tidyverse', 'knitr']",BJPolS,YPZFEK
scripts/BJPolS_datasets_files/YPZFEK/R_2_appendix_de.R,"['magrittr', 'doParallel', 'interflex', 'margins', 'grf', 'stargazer', 'tidyverse', 'broom', 'sandwich', 'Hmisc', 'foreach', 'lmtest']",BJPolS,YPZFEK
scripts/BJPolS_datasets_files/SACJHE/Cyber Terrorism Study - R Code.R,['mediation'],BJPolS,SACJHE
scripts/BJPolS_datasets_files/JZZWER/02-analysis.R,"['magrittr', 'digest', 'stargazer', 'tidyverse', 'gridExtra', 'scales', 'broom', 'interplot', 'xtable', 'grid']",BJPolS,JZZWER
scripts/BJPolS_datasets_files/JZZWER/01-create_data.R,"['rio', 'psy', 'tidyverse']",BJPolS,JZZWER
scripts/BJPolS_datasets_files/NEAG2L/runReplication.R,['spduration'],BJPolS,NEAG2L
scripts/BJPolS_datasets_files/MX5NIV/Benchmarking_Response_Code.R,['https://sites.google.com/a/stonybrook.edu/mperess/research/mnlresp_0.1.0.tar.gz'],BJPolS,MX5NIV
scripts/BJPolS_datasets_files/OSSY4B/In Search of Self Censorship - R Analysis File vBJPOLS.R,"['ggExtra', 'GGally', 'gridExtra', 'MissMech']",BJPolS,OSSY4B
scripts/BJPolS_datasets_files/DJR0YC/analysis_all.R,"['foreign', 'lfe', 'raster', 'plyr', 'ggplot2', 'stargazer', 'countrycode', 'Hmisc', 'cshapes', 'car', 'readstata13']",BJPolS,DJR0YC
scripts/BJPolS_datasets_files/XGRETE/ess_appendix.R,['collapse'],BJPolS,XGRETE
scripts/BJPolS_datasets_files/5DEGYP/script.R,['compareGroups'],BJPolS,5DEGYP
scripts/BJPolS_datasets_files/QPQUW5/Reher_BJPolS_2020.R,"['survey', 'tidyr', 'ggplot2', 'stargazer', 'dplyr', 'lmerTest', 'gmodels']",BJPolS,QPQUW5
scripts/BJPolS_datasets_files/Y5Y6VD/01_MASTER.R,['pacman'],BJPolS,Y5Y6VD
scripts/BJPolS_datasets_files/CMKMGF/BJPOLS - Basic Values and Candidate Emergence - R script file.R,"['sandwich', 'margins']",BJPolS,CMKMGF
scripts/BJPolS_datasets_files/GFCNG9/imputation.R,['Amelia'],BJPolS,GFCNG9
scripts/BJPolS_datasets_files/XERE2A/Maps.R,"['rgdal', 'sp', 'gpclib', 'lattice', 'maptools']",BJPolS,XERE2A
scripts/BJPolS_datasets_files/XERE2A/Main_Text.R,"['multiwayvcov', 'lmtest']",BJPolS,XERE2A
scripts/BJPolS_datasets_files/XERE2A/Appendix.R,"['lmtest', 'censReg', 'betareg', 'MASS', 'car', 'multiwayvcov', 'coin']",BJPolS,XERE2A
scripts/BJPolS_datasets_files/D2REB3/aspiration_apprehension_replication.R,"['glm.predict', 'pacman']",BJPolS,D2REB3
scripts/BJPolS_datasets_files/DNPEI8/Figure5.R,['tidyverse'],BJPolS,DNPEI8
"scripts/BJPolS_datasets_files/YJIZBJ/Real, but Limited.R","['readxl', 'ggplot2', 'dplyr', 'robumeta', 'descr', 'compute.es', 'meta', 'metafor', 'grid']",BJPolS,YJIZBJ
scripts/BJPolS_datasets_files/8FK7PC/Hartman_Newman_TWO-WAVE_2010-2012_Replication.R,['pacman'],BJPolS,8FK7PC
scripts/BJPolS_datasets_files/8FK7PC/Hartman_Newman_THREE-WAVE_2010-2014_Replication.R,['pacman'],BJPolS,8FK7PC
scripts/BJPolS_datasets_files/BSDKUR/Replication Code.R,['visreg'],BJPolS,BSDKUR
scripts/BJPolS_datasets_files/MUYFH1/AsunkaEtAtl_replication.R,['dplyr'],BJPolS,MUYFH1
scripts/BJPolS_datasets_files/UWMHET/Rprofile.R,"['forcats', 'haven', 'magrittr', 'tidyverse', 'assertthat', 'stringr', 'rprojroot']",BJPolS,UWMHET
scripts/BJPolS_datasets_files/WRVUOT/Code Balance checks.R,['X'],BJPolS,WRVUOT
scripts/BJPolS_datasets_files/WRVUOT/Code Replication.R,['X'],BJPolS,WRVUOT
scripts/BJPolS_datasets_files/CVQ0V9/script_map_attacks.R,"['maps', 'mapproj', 'ggmap']",BJPolS,CVQ0V9
scripts/BJPolS_datasets_files/ANPEZI/bhatti_rep_file_1.R,['ri'],BJPolS,ANPEZI
scripts/BJPolS_datasets_files/NN9KZT/conjoint.R,['cjoint'],BJPolS,NN9KZT
scripts/BJPolS_datasets_files/AUX9W1/rsr_ehsi_3appendixAnalysis.R,"['car', 'ggplot2', 'dplyr']",BJPolS,AUX9W1
scripts/BJPolS_datasets_files/RLXYCJ/5_replication_map.R,"['haven', 'raster', 'plyr', 'readxl', 'GADMTools', 'states', 'dplyr']",BJPolS,RLXYCJ
scripts/BJPolS_datasets_files/RLXYCJ/4_replication_appendixD.R,"['haven', 'raster', 'plyr', 'readxl', 'GADMTools', 'states', 'dplyr']",BJPolS,RLXYCJ
scripts/BJPolS_datasets_files/MRBUP1/Exp3 - survey sweden - data analysis.R,['Zelig'],BJPolS,MRBUP1
scripts/BJPolS_datasets_files/MRBUP1/Exp2 - survey US - analysis.R,['Zelig'],BJPolS,MRBUP1
scripts/BJPolS_datasets_files/MRBUP1/Exp4 - system justification - data analysis.R,['Zelig'],BJPolS,MRBUP1
scripts/BJPolS_datasets_files/GYSEGP/paper-packages.R,['pacman'],BJPolS,GYSEGP
scripts/BJPolS_datasets_files/4SRS4X/05_create_figures-1.R,"['ggplot2', 'GGally']",BJPolS,4SRS4X
scripts/BJPolS_datasets_files/GNGJQR/Imputation_script.R,"['parallel', 'Zelig', 'visreg']",BJPolS,GNGJQR
scripts/BJPolS_datasets_files/EUAIFA/Code_Main_Text.R,['package name'],BJPolS,EUAIFA
scripts/BJPolS_datasets_files/EUAIFA/Code_SI.R,['package name'],BJPolS,EUAIFA
scripts/BJPolS_datasets_files/ENAZAA/Matanock_Lichtenheld_Matching.R,"['Matching', 'rgenoud']",BJPolS,ENAZAA
scripts/BJPolS_datasets_files/YBT8WZ/ameliaimputedresults.R,['ggplot2'],BJPolS,YBT8WZ
scripts/BJPolS_datasets_files/NIBSUD/figure 7.R,"['mgcv', 'foreign']",BJPolS,NIBSUD
scripts/BJPolS_datasets_files/NIBSUD/figure 3 and 4.R,['foreign'],BJPolS,NIBSUD
scripts/BJPolS_datasets_files/JYCAKM/substantiveBackground.R,['AER'],BJPolS,JYCAKM
scripts/BJPolS_datasets_files/K1TVXL/Homola_WomenMenResponsiveness_Appendix.R,"['foreign', 'stargazer', 'sandwich']",BJPolS,K1TVXL
scripts/BJPolS_datasets_files/K1TVXL/Homola_WomenMenResponsiveness_Figures.R,"['foreign', 'mgcv', 'plyr', 'ggplot2', 'gridExtra', 'np', 'sandwich', 'cowplot', 'grid']",BJPolS,K1TVXL
scripts/BJPolS_datasets_files/K1TVXL/Homola_WomenMenResponsiveness_Analysis.R,"['psych', 'foreign', 'stargazer', 'sandwich']",BJPolS,K1TVXL
scripts/BJPolS_datasets_files/SXLSXE/15.MLM_marginaleffects.R,"['ggplot2', 'stargazer', 'dplyr', 'MuMIn', 'gridExtra', 'MASS', 'ggrepel']",BJPolS,SXLSXE
scripts/BJPolS_datasets_files/SXLSXE/13.Table_10_fe_alternate_inc_dif.R,"['plm', 'dplyr', 'pcse', 'lmtest']",BJPolS,SXLSXE
scripts/BJPolS_datasets_files/SXLSXE/10.sum_stat.R,"['ggcorrplot', 'dplyr']",BJPolS,SXLSXE
scripts/BJPolS_datasets_files/SXLSXE/12.CSES_only.R,"['pcse', 'plm', 'nlme', 'dplyr', 'lmtest']",BJPolS,SXLSXE
