id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
55842,DVN/29498,https://doi.org/10.7910/DVN/29498,doi,10.7910,/,Harvard Dataverse,2015-07-21,s3://10.7910/DVN/29498,dataset,dataset
55843,DVN/29421,https://doi.org/10.7910/DVN/29421,doi,10.7910,/,Harvard Dataverse,2015-09-10,s3://10.7910/DVN/29421,dataset,dataset
55844,DVN/29485,https://doi.org/10.7910/DVN/29485,doi,10.7910,/,Harvard Dataverse,2015-08-25,s3://10.7910/DVN/29485,dataset,dataset
55845,DVN/29552,https://doi.org/10.7910/DVN/29552,doi,10.7910,/,Harvard Dataverse,2015-07-21,s3://10.7910/DVN/29552,dataset,dataset
55847,DVN/29544,https://doi.org/10.7910/DVN/29544,doi,10.7910,/,Harvard Dataverse,2016-01-26,s3://10.7910/DVN/29544,dataset,dataset
55848,DVN/29321,https://doi.org/10.7910/DVN/29321,doi,10.7910,/,Harvard Dataverse,2015-03-04,s3://10.7910/DVN/29321,dataset,dataset
55849,DVN/29460,https://doi.org/10.7910/DVN/29460,doi,10.7910,/,Harvard Dataverse,2015-07-30,s3://10.7910/DVN/29460,dataset,dataset
55850,DVN/29792,https://doi.org/10.7910/DVN/29792,doi,10.7910,/,Harvard Dataverse,2015-07-21,s3://10.7910/DVN/29792,dataset,dataset
55851,DVN/29633,https://doi.org/10.7910/DVN/29633,doi,10.7910,/,Harvard Dataverse,2017-06-06,s3://10.7910/DVN/29633,dataset,dataset
55852,DVN/29320,https://doi.org/10.7910/DVN/29320,doi,10.7910,/,Harvard Dataverse,2015-03-04,s3://10.7910/DVN/29320,dataset,dataset
2670398,DVN/ONZJ7F,https://doi.org/10.7910/DVN/ONZJ7F,doi,10.7910,/,Harvard Dataverse,2015-08-25,s3://10.7910/DVN/ONZJ7F,dataset,dataset
2670757,DVN/IFWBLZ,https://doi.org/10.7910/DVN/IFWBLZ,doi,10.7910,/,Harvard Dataverse,2015-05-27,s3://10.7910/DVN/IFWBLZ,dataset,dataset
2671653,DVN/B4H2AU,https://doi.org/10.7910/DVN/B4H2AU,doi,10.7910,/,Harvard Dataverse,2015-08-04,s3://10.7910/DVN/B4H2AU,dataset,dataset
2672073,DVN/C1FNMU,https://doi.org/10.7910/DVN/C1FNMU,doi,10.7910,/,Harvard Dataverse,2016-07-20,s3://10.7910/DVN/C1FNMU,dataset,dataset
2674702,DVN/SBGZOJ,https://doi.org/10.7910/DVN/SBGZOJ,doi,10.7910,/,Harvard Dataverse,2015-06-25,s3://10.7910/DVN/SBGZOJ,dataset,dataset
2676512,DVN/ITPOOA,https://doi.org/10.7910/DVN/ITPOOA,doi,10.7910,/,Harvard Dataverse,2015-07-27,s3://10.7910/DVN/ITPOOA,dataset,dataset
2676517,DVN/JYCAKM,https://doi.org/10.7910/DVN/JYCAKM,doi,10.7910,/,Harvard Dataverse,2015-08-25,s3://10.7910/DVN/JYCAKM,dataset,dataset
2676566,DVN/OL9VD3,https://doi.org/10.7910/DVN/OL9VD3,doi,10.7910,/,Harvard Dataverse,2015-10-12,s3://10.7910/DVN/OL9VD3,dataset,dataset
2680960,DVN/P4JTOD,https://doi.org/10.7910/DVN/P4JTOD,doi,10.7910,/,Harvard Dataverse,2015-09-29,s3://10.7910/DVN/P4JTOD,dataset,dataset
2682065,DVN/N9ETAF,https://doi.org/10.7910/DVN/N9ETAF,doi,10.7910,/,Harvard Dataverse,2015-08-25,s3://10.7910/DVN/N9ETAF,dataset,dataset
2686272,DVN/WGL5AV,https://doi.org/10.7910/DVN/WGL5AV,doi,10.7910,/,Harvard Dataverse,2015-11-26,s3://10.7910/DVN/WGL5AV,dataset,dataset
2691548,DVN/NIBSUD,https://doi.org/10.7910/DVN/NIBSUD,doi,10.7910,/,Harvard Dataverse,2016-01-26,s3://10.7910/DVN/NIBSUD,dataset,dataset
2692303,DVN/YBT8WZ,https://doi.org/10.7910/DVN/YBT8WZ,doi,10.7910,/,Harvard Dataverse,2015-09-29,s3://10.7910/DVN/YBT8WZ,dataset,dataset
2692691,DVN/UMNENW,https://doi.org/10.7910/DVN/UMNENW,doi,10.7910,/,Harvard Dataverse,2015-09-29,s3://10.7910/DVN/UMNENW,dataset,dataset
2694255,DVN/WJLY7G,https://doi.org/10.7910/DVN/WJLY7G,doi,10.7910,/,Harvard Dataverse,2015-09-29,s3://10.7910/DVN/WJLY7G,dataset,dataset
2695774,DVN/93NQHC,https://doi.org/10.7910/DVN/93NQHC,doi,10.7910,/,Harvard Dataverse,2016-06-30,s3://10.7910/DVN/93NQHC,dataset,dataset
2695960,DVN/WF2CMX,https://doi.org/10.7910/DVN/WF2CMX,doi,10.7910,/,Harvard Dataverse,2016-01-26,s3://10.7910/DVN/WF2CMX,dataset,dataset
2696252,DVN/7W6FBK,https://doi.org/10.7910/DVN/7W6FBK,doi,10.7910,/,Harvard Dataverse,2016-01-26,s3://10.7910/DVN/7W6FBK,dataset,dataset
2696649,DVN/GNGJQR,https://doi.org/10.7910/DVN/GNGJQR,doi,10.7910,/,Harvard Dataverse,2017-04-18,s3://10.7910/DVN/GNGJQR,dataset,dataset
2696705,DVN/MD64FN,https://doi.org/10.7910/DVN/MD64FN,doi,10.7910,/,Harvard Dataverse,2015-11-26,s3://10.7910/DVN/MD64FN,dataset,dataset
2698599,DVN/BMPRPF,https://doi.org/10.7910/DVN/BMPRPF,doi,10.7910,/,Harvard Dataverse,2016-05-23,s3://10.7910/DVN/BMPRPF,dataset,dataset
2704266,DVN/VEBZGW,https://doi.org/10.7910/DVN/VEBZGW,doi,10.7910,/,Harvard Dataverse,2016-01-05,s3://10.7910/DVN/VEBZGW,dataset,dataset
2704461,DVN/PXMGHF,https://doi.org/10.7910/DVN/PXMGHF,doi,10.7910,/,Harvard Dataverse,2016-01-26,s3://10.7910/DVN/PXMGHF,dataset,dataset
2712136,DVN/FAB3FE,https://doi.org/10.7910/DVN/FAB3FE,doi,10.7910,/,Harvard Dataverse,2016-04-21,s3://10.7910/DVN/FAB3FE,dataset,dataset
2717505,DVN/GCPZZB,https://doi.org/10.7910/DVN/GCPZZB,doi,10.7910,/,Harvard Dataverse,2017-06-06,s3://10.7910/DVN/GCPZZB,dataset,dataset
2717954,DVN/TSJXGH,https://doi.org/10.7910/DVN/TSJXGH,doi,10.7910,/,Harvard Dataverse,2017-04-18,s3://10.7910/DVN/TSJXGH,dataset,dataset
2718095,DVN/OWF8RW,https://doi.org/10.7910/DVN/OWF8RW,doi,10.7910,/,Harvard Dataverse,2016-04-21,s3://10.7910/DVN/OWF8RW,dataset,dataset
2719327,DVN/PNDW4P,https://doi.org/10.7910/DVN/PNDW4P,doi,10.7910,/,Harvard Dataverse,2016-04-21,s3://10.7910/DVN/PNDW4P,dataset,dataset
2723015,DVN/AJGNUG,https://doi.org/10.7910/DVN/AJGNUG,doi,10.7910,/,Harvard Dataverse,2016-04-21,s3://10.7910/DVN/AJGNUG,dataset,dataset
2723758,DVN/4OYGZ3,https://doi.org/10.7910/DVN/4OYGZ3,doi,10.7910,/,Harvard Dataverse,2016-01-26,s3://10.7910/DVN/4OYGZ3,dataset,dataset
2728500,DVN/N5LOQN,https://doi.org/10.7910/DVN/N5LOQN,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/N5LOQN,dataset,dataset
2732514,DVN/AMDYRS,https://doi.org/10.7910/DVN/AMDYRS,doi,10.7910,/,Harvard Dataverse,2015-12-03,s3://10.7910/DVN/AMDYRS,dataset,dataset
2735273,DVN/LKWOJL,https://doi.org/10.7910/DVN/LKWOJL,doi,10.7910,/,Harvard Dataverse,2016-04-27,s3://10.7910/DVN/LKWOJL,dataset,dataset
2735282,DVN/J0O94Y,https://doi.org/10.7910/DVN/J0O94Y,doi,10.7910,/,Harvard Dataverse,2016-04-27,s3://10.7910/DVN/J0O94Y,dataset,dataset
2736762,DVN/JDNTRA,https://doi.org/10.7910/DVN/JDNTRA,doi,10.7910,/,Harvard Dataverse,2017-05-30,s3://10.7910/DVN/JDNTRA,dataset,dataset
2738301,DVN/O9TFAQ,https://doi.org/10.7910/DVN/O9TFAQ,doi,10.7910,/,Harvard Dataverse,2016-05-23,s3://10.7910/DVN/O9TFAQ,dataset,dataset
2775811,DVN/AWIHSR,https://doi.org/10.7910/DVN/AWIHSR,doi,10.7910,/,Harvard Dataverse,2016-04-27,s3://10.7910/DVN/AWIHSR,dataset,dataset
2776515,DVN/ZIWLCJ,https://doi.org/10.7910/DVN/ZIWLCJ,doi,10.7910,/,Harvard Dataverse,2016-04-27,s3://10.7910/DVN/ZIWLCJ,dataset,dataset
2779437,DVN/KEJD7R,https://doi.org/10.7910/DVN/KEJD7R,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/KEJD7R,dataset,dataset
2781569,DVN/BGHLAX,https://doi.org/10.7910/DVN/BGHLAX,doi,10.7910,/,Harvard Dataverse,2016-06-07,s3://10.7910/DVN/BGHLAX,dataset,dataset
2781952,DVN/U8NMJZ,https://doi.org/10.7910/DVN/U8NMJZ,doi,10.7910,/,Harvard Dataverse,2017-06-08,s3://10.7910/DVN/U8NMJZ,dataset,dataset
2782209,DVN/NGDQIH,https://doi.org/10.7910/DVN/NGDQIH,doi,10.7910,/,Harvard Dataverse,2016-05-23,s3://10.7910/DVN/NGDQIH,dataset,dataset
2782984,DVN/BS0THS,https://doi.org/10.7910/DVN/BS0THS,doi,10.7910,/,Harvard Dataverse,2016-04-27,s3://10.7910/DVN/BS0THS,dataset,dataset
2783122,DVN/PDYWW5,https://doi.org/10.7910/DVN/PDYWW5,doi,10.7910,/,Harvard Dataverse,2016-04-27,s3://10.7910/DVN/PDYWW5,dataset,dataset
2783739,DVN/MRBUP1,https://doi.org/10.7910/DVN/MRBUP1,doi,10.7910,/,Harvard Dataverse,2017-04-18,s3://10.7910/DVN/MRBUP1,dataset,dataset
2784297,DVN/LZMZIF,https://doi.org/10.7910/DVN/LZMZIF,doi,10.7910,/,Harvard Dataverse,2016-06-30,s3://10.7910/DVN/LZMZIF,dataset,dataset
2784935,DVN/EC0BKU,https://doi.org/10.7910/DVN/EC0BKU,doi,10.7910,/,Harvard Dataverse,2016-06-07,s3://10.7910/DVN/EC0BKU,dataset,dataset
2784954,DVN/ETKANT,https://doi.org/10.7910/DVN/ETKANT,doi,10.7910,/,Harvard Dataverse,2016-06-07,s3://10.7910/DVN/ETKANT,dataset,dataset
2786260,DVN/JRSFS9,https://doi.org/10.7910/DVN/JRSFS9,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/JRSFS9,dataset,dataset
2786311,DVN/PVEK9K,https://doi.org/10.7910/DVN/PVEK9K,doi,10.7910,/,Harvard Dataverse,2016-07-20,s3://10.7910/DVN/PVEK9K,dataset,dataset
2788176,DVN/DR9RZY,https://doi.org/10.7910/DVN/DR9RZY,doi,10.7910,/,Harvard Dataverse,2016-06-30,s3://10.7910/DVN/DR9RZY,dataset,dataset
2789564,DVN/HRDQAJ,https://doi.org/10.7910/DVN/HRDQAJ,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/HRDQAJ,dataset,dataset
2790743,DVN/MR8BVX,https://doi.org/10.7910/DVN/MR8BVX,doi,10.7910,/,Harvard Dataverse,2016-05-23,s3://10.7910/DVN/MR8BVX,dataset,dataset
2791125,DVN/4KAHC1,https://doi.org/10.7910/DVN/4KAHC1,doi,10.7910,/,Harvard Dataverse,2017-06-06,s3://10.7910/DVN/4KAHC1,dataset,dataset
2793027,DVN/LDUGW0,https://doi.org/10.7910/DVN/LDUGW0,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/LDUGW0,dataset,dataset
2801776,DVN/SVWMB5,https://doi.org/10.7910/DVN/SVWMB5,doi,10.7910,/,Harvard Dataverse,2016-07-06,s3://10.7910/DVN/SVWMB5,dataset,dataset
2801862,DVN/9HOT25,https://doi.org/10.7910/DVN/9HOT25,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/9HOT25,dataset,dataset
2804185,DVN/3YCVOF,https://doi.org/10.7910/DVN/3YCVOF,doi,10.7910,/,Harvard Dataverse,2016-06-30,s3://10.7910/DVN/3YCVOF,dataset,dataset
2804277,DVN/XQTCHB,https://doi.org/10.7910/DVN/XQTCHB,doi,10.7910,/,Harvard Dataverse,2017-06-06,s3://10.7910/DVN/XQTCHB,dataset,dataset
2805221,DVN/2WTACJ,https://doi.org/10.7910/DVN/2WTACJ,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/2WTACJ,dataset,dataset
2806931,DVN/HJUKKO,https://doi.org/10.7910/DVN/HJUKKO,doi,10.7910,/,Harvard Dataverse,2017-02-28,s3://10.7910/DVN/HJUKKO,dataset,dataset
