id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3212109,DVN/XSAVNO,https://doi.org/10.7910/DVN/XSAVNO,doi,10.7910,/,Harvard Dataverse,2018-08-29,s3://10.7910/DVN/XSAVNO,dataset,dataset
3212304,DVN/KQ1C5Y,https://doi.org/10.7910/DVN/KQ1C5Y,doi,10.7910,/,Harvard Dataverse,2018-08-31,s3://10.7910/DVN/KQ1C5Y,dataset,dataset
3231407,DVN/Q1164D,https://doi.org/10.7910/DVN/Q1164D,doi,10.7910,/,Harvard Dataverse,2018-10-01,s3://10.7910/DVN/Q1164D,dataset,dataset
3238953,DVN/CVY8JY,https://doi.org/10.7910/DVN/CVY8JY,doi,10.7910,/,Harvard Dataverse,2018-10-10,s3://10.7910/DVN/CVY8JY,dataset,dataset
3241233,DVN/6NSLTP,https://doi.org/10.7910/DVN/6NSLTP,doi,10.7910,/,Harvard Dataverse,2018-10-16,s3://10.7910/DVN/6NSLTP,dataset,dataset
3312483,DVN/JS7FNB,https://doi.org/10.7910/DVN/JS7FNB,doi,10.7910,/,Harvard Dataverse,2018-11-15,s3://10.7910/DVN/JS7FNB,dataset,dataset
3314897,DVN/HOCK83,https://doi.org/10.7910/DVN/HOCK83,doi,10.7910,/,Harvard Dataverse,2018-11-15,s3://10.7910/DVN/HOCK83,dataset,dataset
3317210,DVN/7AW8DS,https://doi.org/10.7910/DVN/7AW8DS,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/7AW8DS,dataset,dataset
3336592,DVN/63UM27,https://doi.org/10.7910/DVN/63UM27,doi,10.7910,/,Harvard Dataverse,2019-01-10,s3://10.7910/DVN/63UM27,dataset,dataset
3357541,DVN/ENX8VL,https://doi.org/10.7910/DVN/ENX8VL,doi,10.7910,/,Harvard Dataverse,2019-02-15,s3://10.7910/DVN/ENX8VL,dataset,dataset
3385641,DVN/2RORMS,https://doi.org/10.7910/DVN/2RORMS,doi,10.7910,/,Harvard Dataverse,2019-04-04,s3://10.7910/DVN/2RORMS,dataset,dataset
3408784,DVN/HX2J6P,https://doi.org/10.7910/DVN/HX2J6P,doi,10.7910,/,Harvard Dataverse,2019-06-28,s3://10.7910/DVN/HX2J6P,dataset,dataset
3436719,DVN/BVL2D9,https://doi.org/10.7910/DVN/BVL2D9,doi,10.7910,/,Harvard Dataverse,2020-06-04,s3://10.7910/DVN/BVL2D9,dataset,dataset
