id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
47377,DVN/3DVDZV,https://doi.org/10.7910/DVN/3DVDZV,doi,10.7910,/,Harvard Dataverse,2010-11-08,s3://10.7910/DVN/3DVDZV,dataset,dataset
47378,DVN/ZBGVYX,https://doi.org/10.7910/DVN/ZBGVYX,doi,10.7910,/,Harvard Dataverse,2010-11-08,s3://10.7910/DVN/ZBGVYX,dataset,dataset
47380,DVN/CUSP4K,https://doi.org/10.7910/DVN/CUSP4K,doi,10.7910,/,Harvard Dataverse,2010-11-08,s3://10.7910/DVN/CUSP4K,dataset,dataset
47381,DVN/VBJNWH,https://doi.org/10.7910/DVN/VBJNWH,doi,10.7910,/,Harvard Dataverse,2010-11-08,s3://1902.1/15287,dataset,dataset
47382,DVN/DFQZIZ,https://doi.org/10.7910/DVN/DFQZIZ,doi,10.7910,/,Harvard Dataverse,2010-11-04,s3://10.7910/DVN/DFQZIZ,dataset,dataset
2777735,DVN/G29DGC,https://doi.org/10.7910/DVN/G29DGC,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/G29DGC,dataset,dataset
2777740,DVN/I3UIG5,https://doi.org/10.7910/DVN/I3UIG5,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/I3UIG5,dataset,dataset
2777895,DVN/3D1GD3,https://doi.org/10.7910/DVN/3D1GD3,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/3D1GD3,dataset,dataset
2777899,DVN/2F3GAT,https://doi.org/10.7910/DVN/2F3GAT,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/2F3GAT,dataset,dataset
2777904,DVN/ZZOJQC,https://doi.org/10.7910/DVN/ZZOJQC,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/ZZOJQC,dataset,dataset
2777911,DVN/CSDWHN,https://doi.org/10.7910/DVN/CSDWHN,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/CSDWHN,dataset,dataset
2777914,DVN/SYWU60,https://doi.org/10.7910/DVN/SYWU60,doi,10.7910,/,Harvard Dataverse,2016-01-23,s3://10.7910/DVN/SYWU60,dataset,dataset
2781597,DVN/LOPO9L,https://doi.org/10.7910/DVN/LOPO9L,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/LOPO9L,dataset,dataset
2781602,DVN/DX4HLQ,https://doi.org/10.7910/DVN/DX4HLQ,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/DX4HLQ,dataset,dataset
2781612,DVN/ZFEBHI,https://doi.org/10.7910/DVN/ZFEBHI,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/ZFEBHI,dataset,dataset
2781616,DVN/9H9ROX,https://doi.org/10.7910/DVN/9H9ROX,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/9H9ROX,dataset,dataset
2781622,DVN/YAAUMQ,https://doi.org/10.7910/DVN/YAAUMQ,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/YAAUMQ,dataset,dataset
2781626,DVN/KMLYEY,https://doi.org/10.7910/DVN/KMLYEY,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/KMLYEY,dataset,dataset
2781629,DVN/J3PK3T,https://doi.org/10.7910/DVN/J3PK3T,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/J3PK3T,dataset,dataset
2781639,DVN/YBO9GM,https://doi.org/10.7910/DVN/YBO9GM,doi,10.7910,/,Harvard Dataverse,2016-01-28,s3://10.7910/DVN/YBO9GM,dataset,dataset
2782709,DVN/ZOYYMJ,https://doi.org/10.7910/DVN/ZOYYMJ,doi,10.7910,/,Harvard Dataverse,2016-02-04,s3://10.7910/DVN/ZOYYMJ,dataset,dataset
2782713,DVN/WL89Q2,https://doi.org/10.7910/DVN/WL89Q2,doi,10.7910,/,Harvard Dataverse,2016-02-04,s3://10.7910/DVN/WL89Q2,dataset,dataset
2782848,DVN/2GKL6J,https://doi.org/10.7910/DVN/2GKL6J,doi,10.7910,/,Harvard Dataverse,2016-04-11,s3://10.7910/DVN/2GKL6J,dataset,dataset
2783108,DVN/UHURK9,https://doi.org/10.7910/DVN/UHURK9,doi,10.7910,/,Harvard Dataverse,2016-04-11,s3://10.7910/DVN/UHURK9,dataset,dataset
2783764,DVN/L6T8GD,https://doi.org/10.7910/DVN/L6T8GD,doi,10.7910,/,Harvard Dataverse,2016-02-13,s3://10.7910/DVN/L6T8GD,dataset,dataset
2783768,DVN/ZTJO4G,https://doi.org/10.7910/DVN/ZTJO4G,doi,10.7910,/,Harvard Dataverse,2016-02-13,s3://10.7910/DVN/ZTJO4G,dataset,dataset
2783771,DVN/GPJ6MA,https://doi.org/10.7910/DVN/GPJ6MA,doi,10.7910,/,Harvard Dataverse,2016-02-13,s3://10.7910/DVN/GPJ6MA,dataset,dataset
2783776,DVN/H1B3TJ,https://doi.org/10.7910/DVN/H1B3TJ,doi,10.7910,/,Harvard Dataverse,2016-02-13,s3://10.7910/DVN/H1B3TJ,dataset,dataset
2783795,DVN/XQQ23M,https://doi.org/10.7910/DVN/XQQ23M,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/XQQ23M,dataset,dataset
2783805,DVN/HKCRBU,https://doi.org/10.7910/DVN/HKCRBU,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/HKCRBU,dataset,dataset
2783808,DVN/IHQMJP,https://doi.org/10.7910/DVN/IHQMJP,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/IHQMJP,dataset,dataset
2783813,DVN/EK1WTZ,https://doi.org/10.7910/DVN/EK1WTZ,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/EK1WTZ,dataset,dataset
2783816,DVN/ELCDQS,https://doi.org/10.7910/DVN/ELCDQS,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/ELCDQS,dataset,dataset
2783820,DVN/EBKYJO,https://doi.org/10.7910/DVN/EBKYJO,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/EBKYJO,dataset,dataset
2783824,DVN/LJXGBB,https://doi.org/10.7910/DVN/LJXGBB,doi,10.7910,/,Harvard Dataverse,2016-02-14,s3://10.7910/DVN/LJXGBB,dataset,dataset
2783831,DVN/BSAARV,https://doi.org/10.7910/DVN/BSAARV,doi,10.7910,/,Harvard Dataverse,2016-02-15,s3://10.7910/DVN/BSAARV,dataset,dataset
2783838,DVN/ZXIDXZ,https://doi.org/10.7910/DVN/ZXIDXZ,doi,10.7910,/,Harvard Dataverse,2016-02-15,s3://10.7910/DVN/ZXIDXZ,dataset,dataset
2783848,DVN/TX160A,https://doi.org/10.7910/DVN/TX160A,doi,10.7910,/,Harvard Dataverse,2016-02-15,s3://10.7910/DVN/TX160A,dataset,dataset
2783853,DVN/SYACXH,https://doi.org/10.7910/DVN/SYACXH,doi,10.7910,/,Harvard Dataverse,2016-02-15,s3://10.7910/DVN/SYACXH,dataset,dataset
2783860,DVN/T27NQO,https://doi.org/10.7910/DVN/T27NQO,doi,10.7910,/,Harvard Dataverse,2016-02-15,s3://10.7910/DVN/T27NQO,dataset,dataset
