id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3347532,DVN/WOKBPF,https://doi.org/10.7910/DVN/WOKBPF,doi,10.7910,/,Harvard Dataverse,2019-01-28,s3://10.7910/DVN/WOKBPF,dataset,dataset
3347607,DVN/J1WQHI,https://doi.org/10.7910/DVN/J1WQHI,doi,10.7910,/,Harvard Dataverse,2019-01-28,s3://10.7910/DVN/J1WQHI,dataset,dataset
3347614,DVN/FD8O8W,https://doi.org/10.7910/DVN/FD8O8W,doi,10.7910,/,Harvard Dataverse,2019-01-28,s3://10.7910/DVN/FD8O8W,dataset,dataset
3347618,DVN/S3K4RH,https://doi.org/10.7910/DVN/S3K4RH,doi,10.7910,/,Harvard Dataverse,2019-01-28,s3://10.7910/DVN/S3K4RH,dataset,dataset
3347625,DVN/ZGM9HF,https://doi.org/10.7910/DVN/ZGM9HF,doi,10.7910,/,Harvard Dataverse,2019-01-28,s3://10.7910/DVN/ZGM9HF,dataset,dataset
3380930,DVN/3LEWIE,https://doi.org/10.7910/DVN/3LEWIE,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/3LEWIE,dataset,dataset
3381307,DVN/W03YWD,https://doi.org/10.7910/DVN/W03YWD,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/W03YWD,dataset,dataset
3382049,DVN/JXGZKX,https://doi.org/10.7910/DVN/JXGZKX,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/JXGZKX,dataset,dataset
3382724,DVN/KYBEM4,https://doi.org/10.7910/DVN/KYBEM4,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/KYBEM4,dataset,dataset
3384206,DVN/WOED4N,https://doi.org/10.7910/DVN/WOED4N,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/WOED4N,dataset,dataset
3397225,DVN/8EHQWP,https://doi.org/10.7910/DVN/8EHQWP,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/8EHQWP,dataset,dataset
3442911,DVN/PDM9UH,https://doi.org/10.7910/DVN/PDM9UH,doi,10.7910,/,Harvard Dataverse,2019-08-15,s3://10.7910/DVN/PDM9UH,dataset,dataset
3443634,DVN/FSNEZY,https://doi.org/10.7910/DVN/FSNEZY,doi,10.7910,/,Harvard Dataverse,2019-08-15,s3://10.7910/DVN/FSNEZY,dataset,dataset
3443965,DVN/3GQTYA,https://doi.org/10.7910/DVN/3GQTYA,doi,10.7910,/,Harvard Dataverse,2019-08-15,s3://10.7910/DVN/3GQTYA,dataset,dataset
3444045,DVN/SY0FXF,https://doi.org/10.7910/DVN/SY0FXF,doi,10.7910,/,Harvard Dataverse,2019-08-15,s3://10.7910/DVN/SY0FXF,dataset,dataset
3450301,DVN/YCSFSC,https://doi.org/10.7910/DVN/YCSFSC,doi,10.7910,/,Harvard Dataverse,2019-08-16,s3://10.7910/DVN/YCSFSC,dataset,dataset
3656343,DVN/SZA9LU,https://doi.org/10.7910/DVN/SZA9LU,doi,10.7910,/,Harvard Dataverse,2020-01-11,s3://10.7910/DVN/SZA9LU,dataset,dataset
3656351,DVN/9HLR8B,https://doi.org/10.7910/DVN/9HLR8B,doi,10.7910,/,Harvard Dataverse,2020-01-11,s3://10.7910/DVN/9HLR8B,dataset,dataset
3656357,DVN/KPRL5U,https://doi.org/10.7910/DVN/KPRL5U,doi,10.7910,/,Harvard Dataverse,2020-01-11,s3://10.7910/DVN/KPRL5U,dataset,dataset
3656376,DVN/26HDEO,https://doi.org/10.7910/DVN/26HDEO,doi,10.7910,/,Harvard Dataverse,2020-01-11,s3://10.7910/DVN/26HDEO,dataset,dataset
3656390,DVN/J4WZGT,https://doi.org/10.7910/DVN/J4WZGT,doi,10.7910,/,Harvard Dataverse,2020-01-11,s3://10.7910/DVN/J4WZGT,dataset,dataset
3656408,DVN/7BLIA3,https://doi.org/10.7910/DVN/7BLIA3,doi,10.7910,/,Harvard Dataverse,2020-01-11,s3://10.7910/DVN/7BLIA3,dataset,dataset
