id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3137489,DVN/QCE1XY,https://doi.org/10.7910/DVN/QCE1XY,doi,10.7910,/,Harvard Dataverse,2018-03-27,s3://10.7910/DVN/QCE1XY,dataset,dataset
3156265,DVN/RDAKQQ,https://doi.org/10.7910/DVN/RDAKQQ,doi,10.7910,/,Harvard Dataverse,2018-06-28,s3://10.7910/DVN/RDAKQQ,dataset,dataset
3181177,DVN/0FTRT2,https://doi.org/10.7910/DVN/0FTRT2,doi,10.7910,/,Harvard Dataverse,2018-09-27,s3://10.7910/DVN/0FTRT2,dataset,dataset
3181248,DVN/AX4LOY,https://doi.org/10.7910/DVN/AX4LOY,doi,10.7910,/,Harvard Dataverse,2018-06-29,s3://10.7910/DVN/AX4LOY,dataset,dataset
3184591,DVN/FBW8O4,https://doi.org/10.7910/DVN/FBW8O4,doi,10.7910,/,Harvard Dataverse,2018-07-10,s3://10.7910/DVN/FBW8O4,dataset,dataset
3225165,DVN/NRIG89,https://doi.org/10.7910/DVN/NRIG89,doi,10.7910,/,Harvard Dataverse,2018-10-01,s3://10.7910/DVN/NRIG89,dataset,dataset
3230690,DVN/E18OOL,https://doi.org/10.7910/DVN/E18OOL,doi,10.7910,/,Harvard Dataverse,2018-09-27,s3://10.7910/DVN/E18OOL,dataset,dataset
3231009,DVN/OD0DW2,https://doi.org/10.7910/DVN/OD0DW2,doi,10.7910,/,Harvard Dataverse,2018-09-27,s3://10.7910/DVN/OD0DW2,dataset,dataset
3231056,DVN/XWOT8A,https://doi.org/10.7910/DVN/XWOT8A,doi,10.7910,/,Harvard Dataverse,2018-09-27,s3://10.7910/DVN/XWOT8A,dataset,dataset
3234079,DVN/H4I4NM,https://doi.org/10.7910/DVN/H4I4NM,doi,10.7910,/,Harvard Dataverse,2018-10-15,s3://10.7910/DVN/H4I4NM,dataset,dataset
3241267,DVN/TKZE5R,https://doi.org/10.7910/DVN/TKZE5R,doi,10.7910,/,Harvard Dataverse,2018-10-18,s3://10.7910/DVN/TKZE5R,dataset,dataset
3242463,DVN/FXRUK2,https://doi.org/10.7910/DVN/FXRUK2,doi,10.7910,/,Harvard Dataverse,2018-11-01,s3://10.7910/DVN/FXRUK2,dataset,dataset
3300252,DVN/JQMMVD,https://doi.org/10.7910/DVN/JQMMVD,doi,10.7910,/,Harvard Dataverse,2018-11-01,s3://10.7910/DVN/JQMMVD,dataset,dataset
3329794,DVN/8EC9FK,https://doi.org/10.7910/DVN/8EC9FK,doi,10.7910,/,Harvard Dataverse,2018-12-13,s3://10.7910/DVN/8EC9FK,dataset,dataset
3344479,DVN/LYC6IJ,https://doi.org/10.7910/DVN/LYC6IJ,doi,10.7910,/,Harvard Dataverse,2019-01-15,s3://10.7910/DVN/LYC6IJ,dataset,dataset
3378462,DVN/I4LNJU,https://doi.org/10.7910/DVN/I4LNJU,doi,10.7910,/,Harvard Dataverse,2019-07-24,s3://10.7910/DVN/I4LNJU,dataset,dataset
3407765,DVN/U2ZFNZ,https://doi.org/10.7910/DVN/U2ZFNZ,doi,10.7910,/,Harvard Dataverse,2019-04-15,s3://10.7910/DVN/U2ZFNZ,dataset,dataset
3431983,DVN/QGHDM3,https://doi.org/10.7910/DVN/QGHDM3,doi,10.7910,/,Harvard Dataverse,2019-05-24,s3://10.7910/DVN/QGHDM3,dataset,dataset
3436308,DVN/GOB7NW,https://doi.org/10.7910/DVN/GOB7NW,doi,10.7910,/,Harvard Dataverse,2019-07-26,s3://10.7910/DVN/GOB7NW,dataset,dataset
3480129,DVN/CNQUN3,https://doi.org/10.7910/DVN/CNQUN3,doi,10.7910,/,Harvard Dataverse,2019-08-02,s3://10.7910/DVN/CNQUN3,dataset,dataset
3490077,DVN/FLXHAZ,https://doi.org/10.7910/DVN/FLXHAZ,doi,10.7910,/,Harvard Dataverse,2019-08-10,s3://10.7910/DVN/FLXHAZ,dataset,dataset
