id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3212208,DVN/WD3IUA,https://doi.org/10.7910/DVN/WD3IUA,doi,10.7910,/,Harvard Dataverse,2018-08-30,s3://10.7910/DVN/WD3IUA,dataset,dataset
3317264,DVN/AT2FEZ,https://doi.org/10.7910/DVN/AT2FEZ,doi,10.7910,/,Harvard Dataverse,2018-11-28,s3://10.7910/DVN/AT2FEZ,dataset,dataset
3345117,DVN/XSRNRB,https://doi.org/10.7910/DVN/XSRNRB,doi,10.7910,/,Harvard Dataverse,2019-01-25,s3://10.7910/DVN/XSRNRB,dataset,dataset
3380809,DVN/KSUWVV,https://doi.org/10.7910/DVN/KSUWVV,doi,10.7910,/,Harvard Dataverse,2019-03-19,s3://10.7910/DVN/KSUWVV,dataset,dataset
3419157,DVN/Z5RSKK,https://doi.org/10.7910/DVN/Z5RSKK,doi,10.7910,/,Harvard Dataverse,2019-04-29,s3://10.7910/DVN/Z5RSKK,dataset,dataset
3429528,DVN/A99NUB,https://doi.org/10.7910/DVN/A99NUB,doi,10.7910,/,Harvard Dataverse,2019-05-24,s3://10.7910/DVN/A99NUB,dataset,dataset
3441750,DVN/QG1DCI,https://doi.org/10.7910/DVN/QG1DCI,doi,10.7910,/,Harvard Dataverse,2019-06-03,s3://10.7910/DVN/QG1DCI,dataset,dataset
3538262,DVN/RYVAL1,https://doi.org/10.7910/DVN/RYVAL1,doi,10.7910,/,Harvard Dataverse,2019-09-10,s3://10.7910/DVN/RYVAL1,dataset,dataset
3590010,DVN/WMGPGZ,https://doi.org/10.7910/DVN/WMGPGZ,doi,10.7910,/,Harvard Dataverse,2019-09-25,s3://10.7910/DVN/WMGPGZ,dataset,dataset
3610698,DVN/BFSGZI,https://doi.org/10.7910/DVN/BFSGZI,doi,10.7910,/,Harvard Dataverse,2019-10-31,s3://10.7910/DVN/BFSGZI,dataset,dataset
3666690,DVN/CFIKXQ,https://doi.org/10.7910/DVN/CFIKXQ,doi,10.7910,/,Harvard Dataverse,2020-02-14,s3://10.7910/DVN/CFIKXQ,dataset,dataset
3724191,DVN/8HHKGT,https://doi.org/10.7910/DVN/8HHKGT,doi,10.7910,/,Harvard Dataverse,2020-02-19,s3://10.7910/DVN/8HHKGT,dataset,dataset
3783267,DVN/PMEJHW,https://doi.org/10.7910/DVN/PMEJHW,doi,10.7910,/,Harvard Dataverse,2020-03-31,s3://10.7910/DVN/PMEJHW,dataset,dataset
3789824,DVN/3JLFKI,https://doi.org/10.7910/DVN/3JLFKI,doi,10.7910,/,Harvard Dataverse,2020-04-04,s3://10.7910/DVN/3JLFKI,dataset,dataset
3824324,DVN/GOWG6K,https://doi.org/10.7910/DVN/GOWG6K,doi,10.7910,/,Harvard Dataverse,2020-05-10,s3://10.7910/DVN/GOWG6K,dataset,dataset
3829235,DVN/1LIIDV,https://doi.org/10.7910/DVN/1LIIDV,doi,10.7910,/,Harvard Dataverse,2020-05-19,s3://10.7910/DVN/1LIIDV,dataset,dataset
3844616,DVN/5W2YFU,https://doi.org/10.7910/DVN/5W2YFU,doi,10.7910,/,Harvard Dataverse,2020-05-28,s3://10.7910/DVN/5W2YFU,dataset,dataset
3878165,DVN/SGCWGY,https://doi.org/10.7910/DVN/SGCWGY,doi,10.7910,/,Harvard Dataverse,2020-06-21,s3://10.7910/DVN/SGCWGY,dataset,dataset
3983626,DVN/7NDIYC,https://doi.org/10.7910/DVN/7NDIYC,doi,10.7910,/,Harvard Dataverse,2020-08-11,s3://10.7910/DVN/7NDIYC,dataset,dataset
3987526,DVN/RXE1XN,https://doi.org/10.7910/DVN/RXE1XN,doi,10.7910,/,Harvard Dataverse,2020-08-04,s3://10.7910/DVN/RXE1XN,dataset,dataset
3987564,DVN/1P1KR5,https://doi.org/10.7910/DVN/1P1KR5,doi,10.7910,/,Harvard Dataverse,2020-07-21,s3://10.7910/DVN/1P1KR5,dataset,dataset
3987885,DVN/4PW95C,https://doi.org/10.7910/DVN/4PW95C,doi,10.7910,/,Harvard Dataverse,2020-08-20,s3://10.7910/DVN/4PW95C,dataset,dataset
4106462,DVN/JCWG2J,https://doi.org/10.7910/DVN/JCWG2J,doi,10.7910,/,Harvard Dataverse,2020-10-11,s3://10.7910/DVN/JCWG2J,dataset,dataset
4158168,DVN/77VVRJ,https://doi.org/10.7910/DVN/77VVRJ,doi,10.7910,/,Harvard Dataverse,2020-11-16,s3://10.7910/DVN/77VVRJ,dataset,dataset
4165749,DVN/LJMSJN,https://doi.org/10.7910/DVN/LJMSJN,doi,10.7910,/,Harvard Dataverse,2020-11-16,s3://10.7910/DVN/LJMSJN,dataset,dataset
4166044,DVN/YGSJLY,https://doi.org/10.7910/DVN/YGSJLY,doi,10.7910,/,Harvard Dataverse,2020-11-16,s3://10.7910/DVN/YGSJLY,dataset,dataset
