id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3379645,DVN/3DWMM6,https://doi.org/10.7910/DVN/3DWMM6,doi,10.7910,/,Harvard Dataverse,2019-03-20,s3://10.7910/DVN/3DWMM6,dataset,dataset
3384142,DVN/0VBRYQ,https://doi.org/10.7910/DVN/0VBRYQ,doi,10.7910,/,Harvard Dataverse,2019-05-09,s3://10.7910/DVN/0VBRYQ,dataset,dataset
3416739,DVN/K1R14D,https://doi.org/10.7910/DVN/K1R14D,doi,10.7910,/,Harvard Dataverse,2019-05-09,s3://10.7910/DVN/K1R14D,dataset,dataset
3422815,DVN/NNP6JG,https://doi.org/10.7910/DVN/NNP6JG,doi,10.7910,/,Harvard Dataverse,2019-05-09,s3://10.7910/DVN/NNP6JG,dataset,dataset
3425455,DVN/HCYPMB,https://doi.org/10.7910/DVN/HCYPMB,doi,10.7910,/,Harvard Dataverse,2019-05-09,s3://10.7910/DVN/HCYPMB,dataset,dataset
3425943,DVN/RPN8JF,https://doi.org/10.7910/DVN/RPN8JF,doi,10.7910,/,Harvard Dataverse,2019-05-13,s3://10.7910/DVN/RPN8JF,dataset,dataset
3427288,DVN/KRWG8E,https://doi.org/10.7910/DVN/KRWG8E,doi,10.7910,/,Harvard Dataverse,2019-05-11,s3://10.7910/DVN/KRWG8E,dataset,dataset
3427338,DVN/OHF34L,https://doi.org/10.7910/DVN/OHF34L,doi,10.7910,/,Harvard Dataverse,2019-05-20,s3://10.7910/DVN/OHF34L,dataset,dataset
3427561,DVN/RKAUZC,https://doi.org/10.7910/DVN/RKAUZC,doi,10.7910,/,Harvard Dataverse,2019-05-20,s3://10.7910/DVN/RKAUZC,dataset,dataset
3441580,DVN/T2ZVKG,https://doi.org/10.7910/DVN/T2ZVKG,doi,10.7910,/,Harvard Dataverse,2019-06-03,s3://10.7910/DVN/T2ZVKG,dataset,dataset
3464827,DVN/3X74LH,https://doi.org/10.7910/DVN/3X74LH,doi,10.7910,/,Harvard Dataverse,2019-07-08,s3://10.7910/DVN/3X74LH,dataset,dataset
3465831,DVN/4KRXD3,https://doi.org/10.7910/DVN/4KRXD3,doi,10.7910,/,Harvard Dataverse,2019-08-01,s3://10.7910/DVN/4KRXD3,dataset,dataset
3475297,DVN/LTGH26,https://doi.org/10.7910/DVN/LTGH26,doi,10.7910,/,Harvard Dataverse,2019-08-01,s3://10.7910/DVN/LTGH26,dataset,dataset
3478943,DVN/KZK409,https://doi.org/10.7910/DVN/KZK409,doi,10.7910,/,Harvard Dataverse,2019-08-01,s3://10.7910/DVN/KZK409,dataset,dataset
3550453,DVN/EOWMKM,https://doi.org/10.7910/DVN/EOWMKM,doi,10.7910,/,Harvard Dataverse,2020-05-05,s3://10.7910/DVN/EOWMKM,dataset,dataset
3550889,DVN/SU0ZL0,https://doi.org/10.7910/DVN/SU0ZL0,doi,10.7910,/,Harvard Dataverse,2019-09-01,s3://10.7910/DVN/SU0ZL0,dataset,dataset
3557160,DVN/OMQMHS,https://doi.org/10.7910/DVN/OMQMHS,doi,10.7910,/,Harvard Dataverse,2019-09-14,s3://10.7910/DVN/OMQMHS,dataset,dataset
3642486,DVN/IOUQ5X,https://doi.org/10.7910/DVN/IOUQ5X,doi,10.7910,/,Harvard Dataverse,2020-05-05,s3://10.7910/DVN/IOUQ5X,dataset,dataset
3736602,DVN/OJ9QPA,https://doi.org/10.7910/DVN/OJ9QPA,doi,10.7910,/,Harvard Dataverse,2020-03-27,s3://10.7910/DVN/OJ9QPA,dataset,dataset
3783200,DVN/DD5IW6,https://doi.org/10.7910/DVN/DD5IW6,doi,10.7910,/,Harvard Dataverse,2020-03-27,s3://10.7910/DVN/DD5IW6,dataset,dataset
3860020,DVN/RTWKRU,https://doi.org/10.7910/DVN/RTWKRU,doi,10.7910,/,Harvard Dataverse,2020-07-01,s3://10.7910/DVN/RTWKRU,dataset,dataset
4165089,DVN/5NC2AV,https://doi.org/10.7910/DVN/5NC2AV,doi,10.7910,/,Harvard Dataverse,2020-11-05,s3://10.7910/DVN/5NC2AV,dataset,dataset
4209575,DVN/FTOZVO,https://doi.org/10.7910/DVN/FTOZVO,doi,10.7910,/,Harvard Dataverse,2021-02-09,s3://10.7910/DVN/FTOZVO,dataset,dataset
4303612,DVN/K27XYA,https://doi.org/10.7910/DVN/K27XYA,doi,10.7910,/,Harvard Dataverse,2021-02-09,s3://10.7910/DVN/K27XYA,dataset,dataset
4383633,DVN/WG2HG7,https://doi.org/10.7910/DVN/WG2HG7,doi,10.7910,/,Harvard Dataverse,2021-02-16,s3://10.7910/DVN/WG2HG7,dataset,dataset
4550983,DVN/FFRIEC,https://doi.org/10.7910/DVN/FFRIEC,doi,10.7910,/,Harvard Dataverse,2021-04-16,s3://10.7910/DVN/FFRIEC,dataset,dataset
4560885,DVN/OK1WFZ,https://doi.org/10.7910/DVN/OK1WFZ,doi,10.7910,/,Harvard Dataverse,2021-04-20,s3://10.7910/DVN/OK1WFZ,dataset,dataset
4561153,DVN/14NNH6,https://doi.org/10.7910/DVN/14NNH6,doi,10.7910,/,Harvard Dataverse,2021-04-20,s3://10.7910/DVN/14NNH6,dataset,dataset
4617571,DVN/RRRW5H,https://doi.org/10.7910/DVN/RRRW5H,doi,10.7910,/,Harvard Dataverse,2023-04-14,s3://10.7910/DVN/RRRW5H,dataset,dataset
4635828,DVN/CK4XM8,https://doi.org/10.7910/DVN/CK4XM8,doi,10.7910,/,Harvard Dataverse,2021-05-13,s3://10.7910/DVN/CK4XM8,dataset,dataset
4642004,DVN/UIFNLT,https://doi.org/10.7910/DVN/UIFNLT,doi,10.7910,/,Harvard Dataverse,2021-05-15,s3://10.7910/DVN/UIFNLT,dataset,dataset
4642219,DVN/JYKQLH,https://doi.org/10.7910/DVN/JYKQLH,doi,10.7910,/,Harvard Dataverse,2021-05-17,s3://10.7910/DVN/JYKQLH,dataset,dataset
4729556,DVN/EW3JWI,https://doi.org/10.7910/DVN/EW3JWI,doi,10.7910,/,Harvard Dataverse,2021-05-26,s3://10.7910/DVN/EW3JWI,dataset,dataset
5110766,DVN/9TULQF,https://doi.org/10.7910/DVN/9TULQF,doi,10.7910,/,Harvard Dataverse,2021-09-08,s3://10.7910/DVN/9TULQF,dataset,dataset
5117154,DVN/KJBRQG,https://doi.org/10.7910/DVN/KJBRQG,doi,10.7910,/,Harvard Dataverse,2021-09-09,s3://10.7910/DVN/KJBRQG,dataset,dataset
5149017,DVN/ZCLECH,https://doi.org/10.7910/DVN/ZCLECH,doi,10.7910,/,Harvard Dataverse,2021-09-14,s3://10.7910/DVN/ZCLECH,dataset,dataset
5153118,DVN/GAWWYW,https://doi.org/10.7910/DVN/GAWWYW,doi,10.7910,/,Harvard Dataverse,2021-09-16,s3://10.7910/DVN/GAWWYW,dataset,dataset
5205493,DVN/82NHR7,https://doi.org/10.7910/DVN/82NHR7,doi,10.7910,/,Harvard Dataverse,2023-04-13,s3://10.7910/DVN/82NHR7,dataset,dataset
5244940,DVN/KRLS8R,https://doi.org/10.7910/DVN/KRLS8R,doi,10.7910,/,Harvard Dataverse,2021-10-12,s3://10.7910/DVN/KRLS8R,dataset,dataset
5255183,DVN/KDRRSX,https://doi.org/10.7910/DVN/KDRRSX,doi,10.7910,/,Harvard Dataverse,2021-10-18,s3://10.7910/DVN/KDRRSX,dataset,dataset
5342702,DVN/W9DAQM,https://doi.org/10.7910/DVN/W9DAQM,doi,10.7910,/,Harvard Dataverse,2021-10-26,s3://10.7910/DVN/W9DAQM,dataset,dataset
5344405,DVN/CFK8FX,https://doi.org/10.7910/DVN/CFK8FX,doi,10.7910,/,Harvard Dataverse,2021-11-19,s3://10.7910/DVN/CFK8FX,dataset,dataset
5374053,DVN/9SUFRU,https://doi.org/10.7910/DVN/9SUFRU,doi,10.7910,/,Harvard Dataverse,2021-11-07,s3://10.7910/DVN/9SUFRU,dataset,dataset
5425335,DVN/OQBNSK,https://doi.org/10.7910/DVN/OQBNSK,doi,10.7910,/,Harvard Dataverse,2021-11-22,s3://10.7910/DVN/OQBNSK,dataset,dataset
5677662,DVN/K5KITX,https://doi.org/10.7910/DVN/K5KITX,doi,10.7910,/,Harvard Dataverse,2021-12-23,s3://10.7910/DVN/K5KITX,dataset,dataset
5707184,DVN/3QFVIB,https://doi.org/10.7910/DVN/3QFVIB,doi,10.7910,/,Harvard Dataverse,2022-02-03,s3://10.7910/DVN/3QFVIB,dataset,dataset
5741664,DVN/NNAWUT,https://doi.org/10.7910/DVN/NNAWUT,doi,10.7910,/,Harvard Dataverse,2022-01-14,s3://10.7910/DVN/NNAWUT,dataset,dataset
5745946,DVN/LMBPJR,https://doi.org/10.7910/DVN/LMBPJR,doi,10.7910,/,Harvard Dataverse,2022-01-19,s3://10.7910/DVN/LMBPJR,dataset,dataset
5810638,DVN/Y1JLXI,https://doi.org/10.7910/DVN/Y1JLXI,doi,10.7910,/,Harvard Dataverse,2022-02-04,s3://10.7910/DVN/Y1JLXI,dataset,dataset
5858009,DVN/ORWDTV,https://doi.org/10.7910/DVN/ORWDTV,doi,10.7910,/,Harvard Dataverse,2022-02-09,s3://10.7910/DVN/ORWDTV,dataset,dataset
6157960,DVN/XM8HMI,https://doi.org/10.7910/DVN/XM8HMI,doi,10.7910,/,Harvard Dataverse,2022-04-07,s3://10.7910/DVN/XM8HMI,dataset,dataset
6182592,DVN/SUHMDP,https://doi.org/10.7910/DVN/SUHMDP,doi,10.7910,/,Harvard Dataverse,2022-05-13,s3://10.7910/DVN/SUHMDP,dataset,dataset
6297675,DVN/XBX5BJ,https://doi.org/10.7910/DVN/XBX5BJ,doi,10.7910,/,Harvard Dataverse,2023-04-14,s3://10.7910/DVN/XBX5BJ,dataset,dataset
6298713,DVN/026MZJ,https://doi.org/10.7910/DVN/026MZJ,doi,10.7910,/,Harvard Dataverse,2022-05-18,s3://10.7910/DVN/026MZJ,dataset,dataset
6298794,DVN/TMUQHM,https://doi.org/10.7910/DVN/TMUQHM,doi,10.7910,/,Harvard Dataverse,2022-05-18,s3://10.7910/DVN/TMUQHM,dataset,dataset
6329910,DVN/IVDSYY,https://doi.org/10.7910/DVN/IVDSYY,doi,10.7910,/,Harvard Dataverse,2022-07-15,s3://10.7910/DVN/IVDSYY,dataset,dataset
6391457,DVN/2QJKP1,https://doi.org/10.7910/DVN/2QJKP1,doi,10.7910,/,Harvard Dataverse,2022-08-20,s3://10.7910/DVN/2QJKP1,dataset,dataset
6421122,DVN/YYKRSI,https://doi.org/10.7910/DVN/YYKRSI,doi,10.7910,/,Harvard Dataverse,2022-08-20,s3://10.7910/DVN/YYKRSI,dataset,dataset
6561425,DVN/P3ORE3,https://doi.org/10.7910/DVN/P3ORE3,doi,10.7910,/,Harvard Dataverse,2022-10-12,s3://10.7910/DVN/P3ORE3,dataset,dataset
6562710,DVN/DSWBH0,https://doi.org/10.7910/DVN/DSWBH0,doi,10.7910,/,Harvard Dataverse,2022-11-01,s3://10.7910/DVN/DSWBH0,dataset,dataset
6705751,DVN/DASEON,https://doi.org/10.7910/DVN/DASEON,doi,10.7910,/,Harvard Dataverse,2022-11-22,s3://10.7910/DVN/DASEON,dataset,dataset
6719669,DVN/FZW7DB,https://doi.org/10.7910/DVN/FZW7DB,doi,10.7910,/,Harvard Dataverse,2022-11-23,s3://10.7910/DVN/FZW7DB,dataset,dataset
6791026,DVN/LNJDVZ,https://doi.org/10.7910/DVN/LNJDVZ,doi,10.7910,/,Harvard Dataverse,2022-12-09,s3://10.7910/DVN/LNJDVZ,dataset,dataset
6908478,DVN/TSEZGZ,https://doi.org/10.7910/DVN/TSEZGZ,doi,10.7910,/,Harvard Dataverse,2023-01-31,s3://10.7910/DVN/TSEZGZ,dataset,dataset
6909090,DVN/AGNOU0,https://doi.org/10.7910/DVN/AGNOU0,doi,10.7910,/,Harvard Dataverse,2023-01-31,s3://10.7910/DVN/AGNOU0,dataset,dataset
6935132,DVN/NZRPJH,https://doi.org/10.7910/DVN/NZRPJH,doi,10.7910,/,Harvard Dataverse,2023-02-15,s3://10.7910/DVN/NZRPJH,dataset,dataset
6959178,DVN/H6CJHK,https://doi.org/10.7910/DVN/H6CJHK,doi,10.7910,/,Harvard Dataverse,2023-03-02,s3://10.7910/DVN/H6CJHK,dataset,dataset
7084295,DVN/Y9C0QC,https://doi.org/10.7910/DVN/Y9C0QC,doi,10.7910,/,Harvard Dataverse,2023-05-01,s3://10.7910/DVN/Y9C0QC,dataset,dataset
7172367,DVN/TBUUDK,https://doi.org/10.7910/DVN/TBUUDK,doi,10.7910,/,Harvard Dataverse,2023-06-14,s3://10.7910/DVN/TBUUDK,dataset,dataset
7246690,DVN/BRZ5U7,https://doi.org/10.7910/DVN/BRZ5U7,doi,10.7910,/,Harvard Dataverse,2023-08-03,s3://10.7910/DVN/BRZ5U7,dataset,dataset
7273770,DVN/TBQMBL,https://doi.org/10.7910/DVN/TBQMBL,doi,10.7910,/,Harvard Dataverse,2023-08-03,s3://10.7910/DVN/TBQMBL,dataset,dataset
7294595,DVN/PFUS9M,https://doi.org/10.7910/DVN/PFUS9M,doi,10.7910,/,Harvard Dataverse,2023-08-16,s3://10.7910/DVN/PFUS9M,dataset,dataset
8544048,DVN/BYAFJR,https://doi.org/10.7910/DVN/BYAFJR,doi,10.7910,/,Harvard Dataverse,2024-02-13,s3://10.7910/DVN/BYAFJR,dataset,dataset
8544446,DVN/J1PYTZ,https://doi.org/10.7910/DVN/J1PYTZ,doi,10.7910,/,Harvard Dataverse,2024-02-15,s3://10.7910/DVN/J1PYTZ,dataset,dataset
10067012,DVN/YUZSDO,https://doi.org/10.7910/DVN/YUZSDO,doi,10.7910,/,Harvard Dataverse,2024-04-08,s3://10.7910/DVN/YUZSDO,dataset,dataset
