id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
6552748,DVN/TNO1AH,https://doi.org/10.7910/DVN/TNO1AH,doi,10.7910,/,Harvard Dataverse,2022-10-11,s3://10.7910/DVN/TNO1AH,dataset,dataset
6558614,DVN/SEL1JP,https://doi.org/10.7910/DVN/SEL1JP,doi,10.7910,/,Harvard Dataverse,2022-10-11,s3://10.7910/DVN/SEL1JP,dataset,dataset
6576801,DVN/VQV9AB,https://doi.org/10.7910/DVN/VQV9AB,doi,10.7910,/,Harvard Dataverse,2022-10-25,s3://10.7910/DVN/VQV9AB,dataset,dataset
6577088,DVN/JWAXBR,https://doi.org/10.7910/DVN/JWAXBR,doi,10.7910,/,Harvard Dataverse,2022-11-07,s3://10.7910/DVN/JWAXBR,dataset,dataset
6719198,DVN/0OMNYW,https://doi.org/10.7910/DVN/0OMNYW,doi,10.7910,/,Harvard Dataverse,2022-11-29,s3://10.7910/DVN/0OMNYW,dataset,dataset
6788019,DVN/MIXXXT,https://doi.org/10.7910/DVN/MIXXXT,doi,10.7910,/,Harvard Dataverse,2022-12-15,s3://10.7910/DVN/MIXXXT,dataset,dataset
6801518,DVN/Z4JOJE,https://doi.org/10.7910/DVN/Z4JOJE,doi,10.7910,/,Harvard Dataverse,2023-01-20,s3://10.7910/DVN/Z4JOJE,dataset,dataset
6866622,DVN/CMBSPF,https://doi.org/10.7910/DVN/CMBSPF,doi,10.7910,/,Harvard Dataverse,2023-01-20,s3://10.7910/DVN/CMBSPF,dataset,dataset
6942129,DVN/TWAA4I,https://doi.org/10.7910/DVN/TWAA4I,doi,10.7910,/,Harvard Dataverse,2023-02-23,s3://10.7910/DVN/TWAA4I,dataset,dataset
6976711,DVN/ZQVFEZ,https://doi.org/10.7910/DVN/ZQVFEZ,doi,10.7910,/,Harvard Dataverse,2023-03-10,s3://10.7910/DVN/ZQVFEZ,dataset,dataset
6987834,DVN/FLAFLQ,https://doi.org/10.7910/DVN/FLAFLQ,doi,10.7910,/,Harvard Dataverse,2023-03-31,s3://10.7910/DVN/FLAFLQ,dataset,dataset
7001734,DVN/1ILIGD,https://doi.org/10.7910/DVN/1ILIGD,doi,10.7910,/,Harvard Dataverse,2023-03-31,s3://10.7910/DVN/1ILIGD,dataset,dataset
7143062,DVN/AWYAP2,https://doi.org/10.7910/DVN/AWYAP2,doi,10.7910,/,Harvard Dataverse,2023-06-06,s3://10.7910/DVN/AWYAP2,dataset,dataset
7176282,DVN/FTVDNH,https://doi.org/10.7910/DVN/FTVDNH,doi,10.7910,/,Harvard Dataverse,2023-06-28,s3://10.7910/DVN/FTVDNH,dataset,dataset
7312203,DVN/RAIBMA,https://doi.org/10.7910/DVN/RAIBMA,doi,10.7910,/,Harvard Dataverse,2023-08-18,s3://10.7910/DVN/RAIBMA,dataset,dataset
7351490,DVN/KFBS7T,https://doi.org/10.7910/DVN/KFBS7T,doi,10.7910,/,Harvard Dataverse,2023-09-04,s3://10.7910/DVN/KFBS7T,dataset,dataset
7356525,DVN/UGWOHH,https://doi.org/10.7910/DVN/UGWOHH,doi,10.7910,/,Harvard Dataverse,2023-09-13,s3://10.7910/DVN/UGWOHH,dataset,dataset
7359265,DVN/SYZPAK,https://doi.org/10.7910/DVN/SYZPAK,doi,10.7910,/,Harvard Dataverse,2023-09-13,s3://10.7910/DVN/SYZPAK,dataset,dataset
7511411,DVN/7RNPPW,https://doi.org/10.7910/DVN/7RNPPW,doi,10.7910,/,Harvard Dataverse,2023-11-02,s3://10.7910/DVN/7RNPPW,dataset,dataset
7612910,DVN/10RLRZ,https://doi.org/10.7910/DVN/10RLRZ,doi,10.7910,/,Harvard Dataverse,2023-12-04,s3://10.7910/DVN/10RLRZ,dataset,dataset
7617520,DVN/DAYU2E,https://doi.org/10.7910/DVN/DAYU2E,doi,10.7910,/,Harvard Dataverse,2023-12-04,s3://10.7910/DVN/DAYU2E,dataset,dataset
7886300,DVN/ZHETX3,https://doi.org/10.7910/DVN/ZHETX3,doi,10.7910,/,Harvard Dataverse,2024-01-09,s3://10.7910/DVN/ZHETX3,dataset,dataset
8551171,DVN/ILPFS3,https://doi.org/10.7910/DVN/ILPFS3,doi,10.7910,/,Harvard Dataverse,2024-02-23,s3://10.7910/DVN/ILPFS3,dataset,dataset
8554721,DVN/YNOZ6Q,https://doi.org/10.7910/DVN/YNOZ6Q,doi,10.7910,/,Harvard Dataverse,2024-02-23,s3://10.7910/DVN/YNOZ6Q,dataset,dataset
8557507,DVN/B5ESOZ,https://doi.org/10.7910/DVN/B5ESOZ,doi,10.7910,/,Harvard Dataverse,2024-02-23,s3://10.7910/DVN/B5ESOZ,dataset,dataset
10141998,DVN/C2ZHKH,https://doi.org/10.7910/DVN/C2ZHKH,doi,10.7910,/,Harvard Dataverse,2024-05-13,s3://10.7910/DVN/C2ZHKH,dataset,dataset
10192304,DVN/QELMQQ,https://doi.org/10.7910/DVN/QELMQQ,doi,10.7910,/,Harvard Dataverse,2024-05-13,s3://10.7910/DVN/QELMQQ,dataset,dataset
10193164,DVN/WZM1RT,https://doi.org/10.7910/DVN/WZM1RT,doi,10.7910,/,Harvard Dataverse,2024-05-13,s3://10.7910/DVN/WZM1RT,dataset,dataset
10277153,DVN/75CZOC,https://doi.org/10.7910/DVN/75CZOC,doi,10.7910,/,Harvard Dataverse,2024-07-12,s3://10.7910/DVN/75CZOC,dataset,dataset
10403593,DVN/CSGNNB,https://doi.org/10.7910/DVN/CSGNNB,doi,10.7910,/,Harvard Dataverse,2024-07-30,s3://10.7910/DVN/CSGNNB,dataset,dataset
10425783,DVN/ITYX1H,https://doi.org/10.7910/DVN/ITYX1H,doi,10.7910,/,Harvard Dataverse,2024-08-08,s3://10.7910/DVN/ITYX1H,dataset,dataset
10484374,DVN/CEAEGR,https://doi.org/10.7910/DVN/CEAEGR,doi,10.7910,/,Harvard Dataverse,2024-09-11,s3://10.7910/DVN/CEAEGR,dataset,dataset
10550163,DVN/1IEHZA,https://doi.org/10.7910/DVN/1IEHZA,doi,10.7910,/,Harvard Dataverse,2024-10-10,s3://10.7910/DVN/1IEHZA,dataset,dataset
10599265,DVN/N01UST,https://doi.org/10.7910/DVN/N01UST,doi,10.7910,/,Harvard Dataverse,2024-11-08,s3://10.7910/DVN/N01UST,dataset,dataset
10675934,DVN/LWRXA9,https://doi.org/10.7910/DVN/LWRXA9,doi,10.7910,/,Harvard Dataverse,2024-11-08,s3://10.7910/DVN/LWRXA9,dataset,dataset
10731611,DVN/IRQW4V,https://doi.org/10.7910/DVN/IRQW4V,doi,10.7910,/,Harvard Dataverse,2024-11-27,s3://10.7910/DVN/IRQW4V,dataset,dataset
10755877,DVN/JFIJ3O,https://doi.org/10.7910/DVN/JFIJ3O,doi,10.7910,/,Harvard Dataverse,2025-01-24,s3://10.7910/DVN/JFIJ3O,dataset,dataset
10778193,DVN/VSEC4F,https://doi.org/10.7910/DVN/VSEC4F,doi,10.7910,/,Harvard Dataverse,2025-01-24,s3://10.7910/DVN/VSEC4F,dataset,dataset
10814893,DVN/3VOFQC,https://doi.org/10.7910/DVN/3VOFQC,doi,10.7910,/,Harvard Dataverse,2025-01-24,s3://10.7910/DVN/3VOFQC,dataset,dataset
10845535,DVN/0HLLID,https://doi.org/10.7910/DVN/0HLLID,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/0HLLID,dataset,dataset
10861072,DVN/YF8PVI,https://doi.org/10.7910/DVN/YF8PVI,doi,10.7910,/,Harvard Dataverse,2025-05-27,s3://10.7910/DVN/YF8PVI,dataset,dataset
10903844,DVN/1D2DIE,https://doi.org/10.7910/DVN/1D2DIE,doi,10.7910,/,Harvard Dataverse,2025-05-27,s3://10.7910/DVN/1D2DIE,dataset,dataset
10912977,DVN/3Z2YUU,https://doi.org/10.7910/DVN/3Z2YUU,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/3Z2YUU,dataset,dataset
10980330,DVN/8B7GUI,https://doi.org/10.7910/DVN/8B7GUI,doi,10.7910,/,Harvard Dataverse,2025-05-28,s3://10.7910/DVN/8B7GUI,dataset,dataset
11117316,DVN/FIGTZG,https://doi.org/10.7910/DVN/FIGTZG,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/FIGTZG,dataset,dataset
11537628,DVN/XYA1MU,https://doi.org/10.7910/DVN/XYA1MU,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/XYA1MU,dataset,dataset
11541465,DVN/EBQ3SZ,https://doi.org/10.7910/DVN/EBQ3SZ,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/EBQ3SZ,dataset,dataset
11551949,DVN/ZO96VP,https://doi.org/10.7910/DVN/ZO96VP,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/ZO96VP,dataset,dataset
11557900,DVN/RKQLX6,https://doi.org/10.7910/DVN/RKQLX6,doi,10.7910,/,Harvard Dataverse,2025-05-22,s3://10.7910/DVN/RKQLX6,dataset,dataset
11597872,DVN/2WIICI,https://doi.org/10.7910/DVN/2WIICI,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/2WIICI,dataset,dataset
11636197,DVN/HJKPPU,https://doi.org/10.7910/DVN/HJKPPU,doi,10.7910,/,Harvard Dataverse,2025-06-15,s3://10.7910/DVN/HJKPPU,dataset,dataset
11677705,DVN/IQYUCA,https://doi.org/10.7910/DVN/IQYUCA,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/IQYUCA,dataset,dataset
11842166,DVN/S2LGB4,https://doi.org/10.7910/DVN/S2LGB4,doi,10.7910,/,Harvard Dataverse,2025-08-26,s3://10.7910/DVN/S2LGB4,dataset,dataset
12065915,DVN/LCSLHP,https://doi.org/10.7910/DVN/LCSLHP,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/LCSLHP,dataset,dataset
12068375,DVN/IZRLTG,https://doi.org/10.7910/DVN/IZRLTG,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/IZRLTG,dataset,dataset
12097874,DVN/XSX0NY,https://doi.org/10.7910/DVN/XSX0NY,doi,10.7910,/,Harvard Dataverse,2025-10-23,s3://10.7910/DVN/XSX0NY,dataset,dataset
