id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
6360630,DVN/X7FTZK,https://doi.org/10.7910/DVN/X7FTZK,doi,10.7910,/,Harvard Dataverse,2022-07-09,s3://10.7910/DVN/X7FTZK,dataset,dataset
6374418,DVN/K30VNE,https://doi.org/10.7910/DVN/K30VNE,doi,10.7910,/,Harvard Dataverse,2022-07-13,s3://10.7910/DVN/K30VNE,dataset,dataset
6415418,DVN/TWKAZ4,https://doi.org/10.7910/DVN/TWKAZ4,doi,10.7910,/,Harvard Dataverse,2022-08-24,s3://10.7910/DVN/TWKAZ4,dataset,dataset
6545882,DVN/T2WBLK,https://doi.org/10.7910/DVN/T2WBLK,doi,10.7910,/,Harvard Dataverse,2022-10-06,s3://10.7910/DVN/T2WBLK,dataset,dataset
6563976,DVN/SGHWJI,https://doi.org/10.7910/DVN/SGHWJI,doi,10.7910,/,Harvard Dataverse,2022-10-11,s3://10.7910/DVN/SGHWJI,dataset,dataset
6563984,DVN/2DQTWI,https://doi.org/10.7910/DVN/2DQTWI,doi,10.7910,/,Harvard Dataverse,2022-10-11,s3://10.7910/DVN/2DQTWI,dataset,dataset
6573528,DVN/IGVOFO,https://doi.org/10.7910/DVN/IGVOFO,doi,10.7910,/,Harvard Dataverse,2022-10-18,s3://10.7910/DVN/IGVOFO,dataset,dataset
6855891,DVN/7FIL2J,https://doi.org/10.7910/DVN/7FIL2J,doi,10.7910,/,Harvard Dataverse,2023-01-20,s3://10.7910/DVN/7FIL2J,dataset,dataset
6930066,DVN/XVT1W2,https://doi.org/10.7910/DVN/XVT1W2,doi,10.7910,/,Harvard Dataverse,2023-02-20,s3://10.7910/DVN/XVT1W2,dataset,dataset
6950392,DVN/TCZ1QR,https://doi.org/10.7910/DVN/TCZ1QR,doi,10.7910,/,Harvard Dataverse,2023-03-31,s3://10.7910/DVN/TCZ1QR,dataset,dataset
6983223,DVN/RENDVH,https://doi.org/10.7910/DVN/RENDVH,doi,10.7910,/,Harvard Dataverse,2023-03-31,s3://10.7910/DVN/RENDVH,dataset,dataset
7127530,DVN/WQI13Q,https://doi.org/10.7910/DVN/WQI13Q,doi,10.7910,/,Harvard Dataverse,2023-06-06,s3://10.7910/DVN/WQI13Q,dataset,dataset
7128647,DVN/ICESNW,https://doi.org/10.7910/DVN/ICESNW,doi,10.7910,/,Harvard Dataverse,2023-06-06,s3://10.7910/DVN/ICESNW,dataset,dataset
7163782,DVN/PZZDSN,https://doi.org/10.7910/DVN/PZZDSN,doi,10.7910,/,Harvard Dataverse,2023-07-17,s3://10.7910/DVN/PZZDSN,dataset,dataset
7219995,DVN/JVFTEG,https://doi.org/10.7910/DVN/JVFTEG,doi,10.7910,/,Harvard Dataverse,2023-07-17,s3://10.7910/DVN/JVFTEG,dataset,dataset
7279104,DVN/L5TWQK,https://doi.org/10.7910/DVN/L5TWQK,doi,10.7910,/,Harvard Dataverse,2023-09-15,s3://10.7910/DVN/L5TWQK,dataset,dataset
7289963,DVN/QYZLHT,https://doi.org/10.7910/DVN/QYZLHT,doi,10.7910,/,Harvard Dataverse,2023-09-15,s3://10.7910/DVN/QYZLHT,dataset,dataset
7291578,DVN/SLUSLO,https://doi.org/10.7910/DVN/SLUSLO,doi,10.7910,/,Harvard Dataverse,2023-09-15,s3://10.7910/DVN/SLUSLO,dataset,dataset
7342031,DVN/BKVSCJ,https://doi.org/10.7910/DVN/BKVSCJ,doi,10.7910,/,Harvard Dataverse,2023-09-15,s3://10.7910/DVN/BKVSCJ,dataset,dataset
7355733,DVN/8DM8KG,https://doi.org/10.7910/DVN/8DM8KG,doi,10.7910,/,Harvard Dataverse,2023-09-15,s3://10.7910/DVN/8DM8KG,dataset,dataset
7677214,DVN/TPVTAW,https://doi.org/10.7910/DVN/TPVTAW,doi,10.7910,/,Harvard Dataverse,2024-01-09,s3://10.7910/DVN/TPVTAW,dataset,dataset
