id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2790514,DVN/KKQOAS,https://doi.org/10.7910/DVN/KKQOAS,doi,10.7910,/,Harvard Dataverse,2016-04-07,s3://10.7910/DVN/KKQOAS,dataset,dataset
2793108,DVN/7UWPDI,https://doi.org/10.7910/DVN/7UWPDI,doi,10.7910,/,Harvard Dataverse,2016-03-22,s3://10.7910/DVN/7UWPDI,dataset,dataset
2846868,DVN/0T5AN0,https://doi.org/10.7910/DVN/0T5AN0,doi,10.7910,/,Harvard Dataverse,2016-07-15,s3://10.7910/DVN/0T5AN0,dataset,dataset
2848563,DVN/YJYPFE,https://doi.org/10.7910/DVN/YJYPFE,doi,10.7910,/,Harvard Dataverse,2016-07-15,s3://10.7910/DVN/YJYPFE,dataset,dataset
2851513,DVN/ZYPHVD,https://doi.org/10.7910/DVN/ZYPHVD,doi,10.7910,/,Harvard Dataverse,2016-07-13,s3://10.7910/DVN/ZYPHVD,dataset,dataset
2852409,DVN/ARVEN3,https://doi.org/10.7910/DVN/ARVEN3,doi,10.7910,/,Harvard Dataverse,2016-07-20,s3://10.7910/DVN/ARVEN3,dataset,dataset
2866877,DVN/PPW3SI,https://doi.org/10.7910/DVN/PPW3SI,doi,10.7910,/,Harvard Dataverse,2017-10-04,file,dataset,dataset
2867050,DVN/JLL5WU,https://doi.org/10.7910/DVN/JLL5WU,doi,10.7910,/,Harvard Dataverse,2016-08-31,s3://10.7910/DVN/JLL5WU,dataset,dataset
2885849,DVN/N61EAI,https://doi.org/10.7910/DVN/N61EAI,doi,10.7910,/,Harvard Dataverse,2016-09-13,s3://10.7910/DVN/N61EAI,dataset,dataset
2887286,DVN/XZUSNT,https://doi.org/10.7910/DVN/XZUSNT,doi,10.7910,/,Harvard Dataverse,2016-09-28,s3://dvn-cloud:10.7910/DVN/XZUSNT,dataset,dataset
2961014,DVN/C79XP7,https://doi.org/10.7910/DVN/C79XP7,doi,10.7910,/,Harvard Dataverse,2017-10-04,s3://10.7910/DVN/C79XP7,dataset,dataset
2964545,DVN/UA2E21,https://doi.org/10.7910/DVN/UA2E21,doi,10.7910,/,Harvard Dataverse,2017-10-04,s3://10.7910/DVN/UA2E21,dataset,dataset
