id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2789796,DVN/TXQZ4Y,https://doi.org/10.7910/DVN/TXQZ4Y,doi,10.7910,/,Harvard Dataverse,2016-03-01,s3://10.7910/DVN/TXQZ4Y,dataset,dataset
2791853,DVN/LQAGXI,https://doi.org/10.7910/DVN/LQAGXI,doi,10.7910,/,Harvard Dataverse,2016-03-23,s3://10.7910/DVN/LQAGXI,dataset,dataset
2795072,DVN/LBYTBQ,https://doi.org/10.7910/DVN/LBYTBQ,doi,10.7910,/,Harvard Dataverse,2016-03-23,s3://10.7910/DVN/LBYTBQ,dataset,dataset
2801740,DVN/HGFWYO,https://doi.org/10.7910/DVN/HGFWYO,doi,10.7910,/,Harvard Dataverse,2016-04-11,s3://10.7910/DVN/HGFWYO,dataset,dataset
2801879,DVN/XGSH1Q,https://doi.org/10.7910/DVN/XGSH1Q,doi,10.7910,/,Harvard Dataverse,2016-04-19,s3://10.7910/DVN/XGSH1Q,dataset,dataset
2802733,DVN/7UVIFY,https://doi.org/10.7910/DVN/7UVIFY,doi,10.7910,/,Harvard Dataverse,2016-04-19,s3://10.7910/DVN/7UVIFY,dataset,dataset
2842813,DVN/X3TNCW,https://doi.org/10.7910/DVN/X3TNCW,doi,10.7910,/,Harvard Dataverse,2016-06-27,s3://10.7910/DVN/X3TNCW,dataset,dataset
2863093,DVN/7KMZ9W,https://doi.org/10.7910/DVN/7KMZ9W,doi,10.7910,/,Harvard Dataverse,2016-08-12,s3://10.7910/DVN/7KMZ9W,dataset,dataset
2863661,DVN/XCRGIK,https://doi.org/10.7910/DVN/XCRGIK,doi,10.7910,/,Harvard Dataverse,2016-08-12,s3://10.7910/DVN/XCRGIK,dataset,dataset
2889927,DVN/TKBUIV,https://doi.org/10.7910/DVN/TKBUIV,doi,10.7910,/,Harvard Dataverse,2016-10-04,s3://10.7910/DVN/TKBUIV,dataset,dataset
