id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
46889,DVN/24896,https://doi.org/10.7910/DVN/24896,doi,10.7910,/,Harvard Dataverse,2015-09-28,s3://10.7910/DVN/24896,dataset,dataset
46890,DVN/27864,https://doi.org/10.7910/DVN/27864,doi,10.7910,/,Harvard Dataverse,2016-03-11,s3://10.7910/DVN/27864,dataset,dataset
46891,DVN/26639,https://doi.org/10.7910/DVN/26639,doi,10.7910,/,Harvard Dataverse,2015-01-16,s3://10.7910/DVN/26639,dataset,dataset
46892,DVN/EVLM9Q,https://doi.org/10.7910/DVN/EVLM9Q,doi,10.7910,/,Harvard Dataverse,2013-09-03,s3://10.7910/DVN/EVLM9Q,dataset,dataset
46893,DVN/24034,https://doi.org/10.7910/DVN/24034,doi,10.7910,/,Harvard Dataverse,2014-01-13,s3://10.7910/DVN/24034,dataset,dataset
46894,DVN/26347,https://doi.org/10.7910/DVN/26347,doi,10.7910,/,Harvard Dataverse,2016-09-12,s3://10.7910/DVN/26347,dataset,dataset
46895,DVN/26129,https://doi.org/10.7910/DVN/26129,doi,10.7910,/,Harvard Dataverse,2014-05-23,s3://10.7910/DVN/26129,dataset,dataset
46896,DVN/25593,https://doi.org/10.7910/DVN/25593,doi,10.7910,/,Harvard Dataverse,2014-11-04,s3://10.7910/DVN/25593,dataset,dataset
46898,DVN/23415,https://doi.org/10.7910/DVN/23415,doi,10.7910,/,Harvard Dataverse,2014-05-19,s3://10.7910/DVN/23415,dataset,dataset
46899,DVN/29401,https://doi.org/10.7910/DVN/29401,doi,10.7910,/,Harvard Dataverse,2015-03-08,s3://10.7910/DVN/29401,dataset,dataset
46900,DVN/25730,https://doi.org/10.7910/DVN/25730,doi,10.7910,/,Harvard Dataverse,2014-11-03,s3://10.7910/DVN/25730,dataset,dataset
46901,DVN/22808,https://doi.org/10.7910/DVN/22808,doi,10.7910,/,Harvard Dataverse,2013-11-29,s3://10.7910/DVN/22808,dataset,dataset
46902,DVN/27455,https://doi.org/10.7910/DVN/27455,doi,10.7910,/,Harvard Dataverse,2015-05-18,s3://10.7910/DVN/27455,dataset,dataset
