id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
48913,DVN/29911,https://doi.org/10.7910/DVN/29911,doi,10.7910,/,Harvard Dataverse,2015-04-06,s3://10.7910/DVN/29911,dataset,dataset
52446,DVN/25582,https://doi.org/10.7910/DVN/25582,doi,10.7910,/,Harvard Dataverse,2014-04-24,s3://10.7910/DVN/25582,dataset,dataset
52883,DVN/27371,https://doi.org/10.7910/DVN/27371,doi,10.7910,/,Harvard Dataverse,2014-09-29,s3://10.7910/DVN/27371,dataset,dataset
52884,DVN/27241,https://doi.org/10.7910/DVN/27241,doi,10.7910,/,Harvard Dataverse,2014-09-03,s3://10.7910/DVN/27241,dataset,dataset
52885,DVN/26936,https://doi.org/10.7910/DVN/26936,doi,10.7910,/,Harvard Dataverse,2014-08-04,s3://10.7910/DVN/26936,dataset,dataset
52886,DVN/27682,https://doi.org/10.7910/DVN/27682,doi,10.7910,/,Harvard Dataverse,2014-10-23,s3://10.7910/DVN/27682,dataset,dataset
52887,DVN/ZMG1IQ,https://doi.org/10.7910/DVN/ZMG1IQ,doi,10.7910,/,Harvard Dataverse,2013-06-11,s3://10.7910/DVN/ZMG1IQ,dataset,dataset
52888,DVN/OMESOW,https://doi.org/10.7910/DVN/OMESOW,doi,10.7910,/,Harvard Dataverse,2012-05-30,s3://1902.1/18254,dataset,dataset
52889,DVN/24975,https://doi.org/10.7910/DVN/24975,doi,10.7910,/,Harvard Dataverse,2014-03-18,s3://10.7910/DVN/24975,dataset,dataset
52890,DVN/29242,https://doi.org/10.7910/DVN/29242,doi,10.7910,/,Harvard Dataverse,2015-02-26,s3://10.7910/DVN/29242,dataset,dataset
52891,DVN/RPD7KA,https://doi.org/10.7910/DVN/RPD7KA,doi,10.7910,/,Harvard Dataverse,2015-05-06,s3://10.7910/DVN/RPD7KA,dataset,dataset
