id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3238360,DVN/EBT3UZ,https://doi.org/10.7910/DVN/EBT3UZ,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/EBT3UZ,dataset,dataset
3238365,DVN/WCBPZM,https://doi.org/10.7910/DVN/WCBPZM,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/WCBPZM,dataset,dataset
3238367,DVN/GYOQMG,https://doi.org/10.7910/DVN/GYOQMG,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/GYOQMG,dataset,dataset
3238369,DVN/GBCYJR,https://doi.org/10.7910/DVN/GBCYJR,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/GBCYJR,dataset,dataset
3238372,DVN/HZPCZ2,https://doi.org/10.7910/DVN/HZPCZ2,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/HZPCZ2,dataset,dataset
3238374,DVN/MITXC3,https://doi.org/10.7910/DVN/MITXC3,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/MITXC3,dataset,dataset
3238376,DVN/CIMSKQ,https://doi.org/10.7910/DVN/CIMSKQ,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/CIMSKQ,dataset,dataset
3238379,DVN/T9XEDQ,https://doi.org/10.7910/DVN/T9XEDQ,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/T9XEDQ,dataset,dataset
3238382,DVN/NUJDIA,https://doi.org/10.7910/DVN/NUJDIA,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/NUJDIA,dataset,dataset
3238385,DVN/4QPQQE,https://doi.org/10.7910/DVN/4QPQQE,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/4QPQQE,dataset,dataset
3238392,DVN/NR3DNK,https://doi.org/10.7910/DVN/NR3DNK,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/NR3DNK,dataset,dataset
3238394,DVN/ZQEHQQ,https://doi.org/10.7910/DVN/ZQEHQQ,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/ZQEHQQ,dataset,dataset
3298539,DVN/7ZR0A3,https://doi.org/10.7910/DVN/7ZR0A3,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/7ZR0A3,dataset,dataset
3298549,DVN/WZWU2D,https://doi.org/10.7910/DVN/WZWU2D,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/WZWU2D,dataset,dataset
3298551,DVN/H74HDE,https://doi.org/10.7910/DVN/H74HDE,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/H74HDE,dataset,dataset
3298554,DVN/UHOFQ6,https://doi.org/10.7910/DVN/UHOFQ6,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/UHOFQ6,dataset,dataset
3298557,DVN/JARRBB,https://doi.org/10.7910/DVN/JARRBB,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/JARRBB,dataset,dataset
3298563,DVN/RC1HHG,https://doi.org/10.7910/DVN/RC1HHG,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/RC1HHG,dataset,dataset
3298565,DVN/BLORG0,https://doi.org/10.7910/DVN/BLORG0,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/BLORG0,dataset,dataset
3298568,DVN/0GRFBN,https://doi.org/10.7910/DVN/0GRFBN,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/0GRFBN,dataset,dataset
3298573,DVN/OJFUOC,https://doi.org/10.7910/DVN/OJFUOC,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/OJFUOC,dataset,dataset
3298577,DVN/AB8MSK,https://doi.org/10.7910/DVN/AB8MSK,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/AB8MSK,dataset,dataset
3298579,DVN/UKKS0P,https://doi.org/10.7910/DVN/UKKS0P,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/UKKS0P,dataset,dataset
3298587,DVN/JX0UJ1,https://doi.org/10.7910/DVN/JX0UJ1,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/JX0UJ1,dataset,dataset
3298590,DVN/AVXVMZ,https://doi.org/10.7910/DVN/AVXVMZ,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/AVXVMZ,dataset,dataset
3298592,DVN/6M4I5V,https://doi.org/10.7910/DVN/6M4I5V,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/6M4I5V,dataset,dataset
3298595,DVN/VEEDAO,https://doi.org/10.7910/DVN/VEEDAO,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/VEEDAO,dataset,dataset
3298599,DVN/C868YD,https://doi.org/10.7910/DVN/C868YD,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/C868YD,dataset,dataset
3298601,DVN/SMGTJC,https://doi.org/10.7910/DVN/SMGTJC,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/SMGTJC,dataset,dataset
3298606,DVN/Q5FOMB,https://doi.org/10.7910/DVN/Q5FOMB,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/Q5FOMB,dataset,dataset
3298608,DVN/3S19DY,https://doi.org/10.7910/DVN/3S19DY,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/3S19DY,dataset,dataset
3298612,DVN/FC3W21,https://doi.org/10.7910/DVN/FC3W21,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/FC3W21,dataset,dataset
3298618,DVN/GNLRDG,https://doi.org/10.7910/DVN/GNLRDG,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/GNLRDG,dataset,dataset
3298621,DVN/TJEWCC,https://doi.org/10.7910/DVN/TJEWCC,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/TJEWCC,dataset,dataset
3298626,DVN/NIWWF6,https://doi.org/10.7910/DVN/NIWWF6,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/NIWWF6,dataset,dataset
3298629,DVN/ELMSWO,https://doi.org/10.7910/DVN/ELMSWO,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/ELMSWO,dataset,dataset
3298634,DVN/RUEF38,https://doi.org/10.7910/DVN/RUEF38,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/RUEF38,dataset,dataset
3298636,DVN/2F4OAO,https://doi.org/10.7910/DVN/2F4OAO,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/2F4OAO,dataset,dataset
3298642,DVN/CXGKBE,https://doi.org/10.7910/DVN/CXGKBE,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/CXGKBE,dataset,dataset
3298646,DVN/WWNWNS,https://doi.org/10.7910/DVN/WWNWNS,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/WWNWNS,dataset,dataset
3298650,DVN/2QCPOI,https://doi.org/10.7910/DVN/2QCPOI,doi,10.7910,/,Harvard Dataverse,2018-10-29,s3://10.7910/DVN/2QCPOI,dataset,dataset
