id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4017527,DVN/LV2CAJ,https://doi.org/10.7910/DVN/LV2CAJ,doi,10.7910,/,Harvard Dataverse,2020-08-14,s3://10.7910/DVN/LV2CAJ,dataset,dataset
4026321,DVN/C6NONY,https://doi.org/10.7910/DVN/C6NONY,doi,10.7910,/,Harvard Dataverse,2020-08-16,s3://10.7910/DVN/C6NONY,dataset,dataset
4026527,DVN/NQ0F7P,https://doi.org/10.7910/DVN/NQ0F7P,doi,10.7910,/,Harvard Dataverse,2020-08-16,s3://10.7910/DVN/NQ0F7P,dataset,dataset
4027753,DVN/QEIICM,https://doi.org/10.7910/DVN/QEIICM,doi,10.7910,/,Harvard Dataverse,2020-08-17,s3://10.7910/DVN/QEIICM,dataset,dataset
4033927,DVN/J4EUVP,https://doi.org/10.7910/DVN/J4EUVP,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/J4EUVP,dataset,dataset
4053743,DVN/NDHS9Q,https://doi.org/10.7910/DVN/NDHS9Q,doi,10.7910,/,Harvard Dataverse,2020-10-11,s3://10.7910/DVN/NDHS9Q,dataset,dataset
4054264,DVN/HEVGTW,https://doi.org/10.7910/DVN/HEVGTW,doi,10.7910,/,Harvard Dataverse,2020-09-01,s3://10.7910/DVN/HEVGTW,dataset,dataset
4086926,DVN/JIZ7I1,https://doi.org/10.7910/DVN/JIZ7I1,doi,10.7910,/,Harvard Dataverse,2020-09-22,s3://10.7910/DVN/JIZ7I1,dataset,dataset
4098093,DVN/DFZFQ2,https://doi.org/10.7910/DVN/DFZFQ2,doi,10.7910,/,Harvard Dataverse,2020-09-29,s3://10.7910/DVN/DFZFQ2,dataset,dataset
4142723,DVN/YWKZHJ,https://doi.org/10.7910/DVN/YWKZHJ,doi,10.7910,/,Harvard Dataverse,2020-10-16,s3://10.7910/DVN/YWKZHJ,dataset,dataset
4149917,DVN/CCHS9C,https://doi.org/10.7910/DVN/CCHS9C,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/CCHS9C,dataset,dataset
4216146,DVN/SVGIJV,https://doi.org/10.7910/DVN/SVGIJV,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/SVGIJV,dataset,dataset
4267329,DVN/BBCAYZ,https://doi.org/10.7910/DVN/BBCAYZ,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/BBCAYZ,dataset,dataset
4271551,DVN/52HSIA,https://doi.org/10.7910/DVN/52HSIA,doi,10.7910,/,Harvard Dataverse,2020-12-21,s3://10.7910/DVN/52HSIA,dataset,dataset
4271664,DVN/PX9A61,https://doi.org/10.7910/DVN/PX9A61,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/PX9A61,dataset,dataset
4272423,DVN/F4GH3L,https://doi.org/10.7910/DVN/F4GH3L,doi,10.7910,/,Harvard Dataverse,2021-01-08,s3://10.7910/DVN/F4GH3L,dataset,dataset
4273456,DVN/LKSG8A,https://doi.org/10.7910/DVN/LKSG8A,doi,10.7910,/,Harvard Dataverse,2020-12-22,s3://10.7910/DVN/LKSG8A,dataset,dataset
4273977,DVN/Z6S26H,https://doi.org/10.7910/DVN/Z6S26H,doi,10.7910,/,Harvard Dataverse,2021-01-08,s3://10.7910/DVN/Z6S26H,dataset,dataset
4279576,DVN/DCAKKT,https://doi.org/10.7910/DVN/DCAKKT,doi,10.7910,/,Harvard Dataverse,2020-12-29,s3://10.7910/DVN/DCAKKT,dataset,dataset
4280183,DVN/CWAOGP,https://doi.org/10.7910/DVN/CWAOGP,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/CWAOGP,dataset,dataset
4285869,DVN/BQDMAD,https://doi.org/10.7910/DVN/BQDMAD,doi,10.7910,/,Harvard Dataverse,2021-01-04,s3://10.7910/DVN/BQDMAD,dataset,dataset
4287947,DVN/RNCIMX,https://doi.org/10.7910/DVN/RNCIMX,doi,10.7910,/,Harvard Dataverse,2021-01-06,s3://10.7910/DVN/RNCIMX,dataset,dataset
4288056,DVN/E0NUUX,https://doi.org/10.7910/DVN/E0NUUX,doi,10.7910,/,Harvard Dataverse,2021-01-07,s3://10.7910/DVN/E0NUUX,dataset,dataset
4288793,DVN/S3LP6O,https://doi.org/10.7910/DVN/S3LP6O,doi,10.7910,/,Harvard Dataverse,2021-01-08,s3://10.7910/DVN/S3LP6O,dataset,dataset
4298525,DVN/OSISYZ,https://doi.org/10.7910/DVN/OSISYZ,doi,10.7910,/,Harvard Dataverse,2021-02-23,s3://10.7910/DVN/OSISYZ,dataset,dataset
4298588,DVN/ZTEIKG,https://doi.org/10.7910/DVN/ZTEIKG,doi,10.7910,/,Harvard Dataverse,2021-01-11,s3://10.7910/DVN/ZTEIKG,dataset,dataset
4298748,DVN/J0FLAQ,https://doi.org/10.7910/DVN/J0FLAQ,doi,10.7910,/,Harvard Dataverse,2021-01-12,s3://10.7910/DVN/J0FLAQ,dataset,dataset
