id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2840076,DVN/XKQOQM,https://doi.org/10.7910/DVN/XKQOQM,doi,10.7910,/,Harvard Dataverse,2016-07-06,s3://10.7910/DVN/XKQOQM,dataset,dataset
2891331,DVN/QMLCPD,https://doi.org/10.7910/DVN/QMLCPD,doi,10.7910,/,Harvard Dataverse,2016-10-18,s3://10.7910/DVN/QMLCPD,dataset,dataset
2891843,DVN/4ZVSKA,https://doi.org/10.7910/DVN/4ZVSKA,doi,10.7910,/,Harvard Dataverse,2016-10-05,s3://10.7910/DVN/4ZVSKA,dataset,dataset
2902684,DVN/EXPXYT,https://doi.org/10.7910/DVN/EXPXYT,doi,10.7910,/,Harvard Dataverse,2016-11-01,s3://10.7910/DVN/EXPXYT,dataset,dataset
2903521,DVN/MUYD7T,https://doi.org/10.7910/DVN/MUYD7T,doi,10.7910,/,Harvard Dataverse,2016-10-18,s3://10.7910/DVN/MUYD7T,dataset,dataset
2914387,DVN/3UXBOJ,https://doi.org/10.7910/DVN/3UXBOJ,doi,10.7910,/,Harvard Dataverse,2016-12-01,s3://10.7910/DVN/3UXBOJ,dataset,dataset
2965986,DVN/5WKTZV,https://doi.org/10.7910/DVN/5WKTZV,doi,10.7910,/,Harvard Dataverse,2016-12-19,s3://10.7910/DVN/5WKTZV,dataset,dataset
3007175,DVN/ERQWPH,https://doi.org/10.7910/DVN/ERQWPH,doi,10.7910,/,Harvard Dataverse,2017-03-28,s3://10.7910/DVN/ERQWPH,dataset,dataset
3013937,DVN/3J38FX,https://doi.org/10.7910/DVN/3J38FX,doi,10.7910,/,Harvard Dataverse,2017-05-01,s3://10.7910/DVN/3J38FX,dataset,dataset
3050554,DVN/MSXKNB,https://doi.org/10.7910/DVN/MSXKNB,doi,10.7910,/,Harvard Dataverse,2017-09-07,s3://10.7910/DVN/MSXKNB,dataset,dataset
3056170,DVN/3QXX29,https://doi.org/10.7910/DVN/3QXX29,doi,10.7910,/,Harvard Dataverse,2017-10-07,s3://10.7910/DVN/3QXX29,dataset,dataset
3079096,DVN/OPMFXZ,https://doi.org/10.7910/DVN/OPMFXZ,doi,10.7910,/,Harvard Dataverse,2017-11-16,s3://10.7910/DVN/OPMFXZ,dataset,dataset
3095065,DVN/ZM2MAN,https://doi.org/10.7910/DVN/ZM2MAN,doi,10.7910,/,Harvard Dataverse,2018-02-10,s3://10.7910/DVN/ZM2MAN,dataset,dataset
3108408,DVN/XHFTUX,https://doi.org/10.7910/DVN/XHFTUX,doi,10.7910,/,Harvard Dataverse,2018-01-25,s3://10.7910/DVN/XHFTUX,dataset,dataset
3108935,DVN/DAKZHR,https://doi.org/10.7910/DVN/DAKZHR,doi,10.7910,/,Harvard Dataverse,2018-05-21,s3://10.7910/DVN/DAKZHR,dataset,dataset
3134813,DVN/FGNBHX,https://doi.org/10.7910/DVN/FGNBHX,doi,10.7910,/,Harvard Dataverse,2018-04-04,s3://10.7910/DVN/FGNBHX,dataset,dataset
3135958,DVN/QOFLEZ,https://doi.org/10.7910/DVN/QOFLEZ,doi,10.7910,/,Harvard Dataverse,2018-03-22,s3://10.7910/DVN/QOFLEZ,dataset,dataset
3155916,DVN/VW13KS,https://doi.org/10.7910/DVN/VW13KS,doi,10.7910,/,Harvard Dataverse,2018-07-13,s3://10.7910/DVN/VW13KS,dataset,dataset
3224968,DVN/UA0XBL,https://doi.org/10.7910/DVN/UA0XBL,doi,10.7910,/,Harvard Dataverse,2018-10-04,s3://10.7910/DVN/UA0XBL,dataset,dataset
3230377,DVN/U5HTNJ,https://doi.org/10.7910/DVN/U5HTNJ,doi,10.7910,/,Harvard Dataverse,2018-10-25,s3://10.7910/DVN/U5HTNJ,dataset,dataset
3312048,DVN/VWCAON,https://doi.org/10.7910/DVN/VWCAON,doi,10.7910,/,Harvard Dataverse,2018-11-09,s3://10.7910/DVN/VWCAON,dataset,dataset
3312612,DVN/D3KFLP,https://doi.org/10.7910/DVN/D3KFLP,doi,10.7910,/,Harvard Dataverse,2018-11-19,s3://10.7910/DVN/D3KFLP,dataset,dataset
3319181,DVN/NFPJAQ,https://doi.org/10.7910/DVN/NFPJAQ,doi,10.7910,/,Harvard Dataverse,2019-01-04,s3://10.7910/DVN/NFPJAQ,dataset,dataset
3319838,DVN/BJNAPD,https://doi.org/10.7910/DVN/BJNAPD,doi,10.7910,/,Harvard Dataverse,2019-01-04,s3://10.7910/DVN/BJNAPD,dataset,dataset
3320510,DVN/FMZYFP,https://doi.org/10.7910/DVN/FMZYFP,doi,10.7910,/,Harvard Dataverse,2018-12-02,s3://10.7910/DVN/FMZYFP,dataset,dataset
