collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/24195,doi,10.7910,DVN/24195,2014-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/7XXMRI,doi,10.7910,DVN/7XXMRI,2012-01-17
restat,dataverse,,https://doi.org/10.7910/DVN/RHHG2B,doi,10.7910,DVN/RHHG2B,2013-09-06
restat,dataverse,,https://doi.org/10.7910/DVN/28098,doi,10.7910,DVN/28098,2014-12-12
restat,dataverse,,https://doi.org/10.7910/DVN/23476,doi,10.7910,DVN/23476,2014-02-06
restat,dataverse,,https://doi.org/10.7910/DVN/CGXCNE,doi,10.7910,DVN/CGXCNE,2012-07-19
restat,dataverse,,https://doi.org/10.7910/DVN/4BJC20,doi,10.7910,DVN/4BJC20,2013-05-22
restat,dataverse,,https://doi.org/10.7910/DVN/27103,doi,10.7910,DVN/27103,2015-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/25391,doi,10.7910,DVN/25391,2014-04-25
restat,dataverse,,https://doi.org/10.7910/DVN/27087,doi,10.7910,DVN/27087,2014-08-19
restat,dataverse,,https://doi.org/10.7910/DVN/DV1NR6,doi,10.7910,DVN/DV1NR6,2013-01-14
restat,dataverse,,https://doi.org/10.7910/DVN/PHQT9R,doi,10.7910,DVN/PHQT9R,2012-07-19
restat,dataverse,,https://doi.org/10.7910/DVN/26944,doi,10.7910,DVN/26944,2015-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/ODMTSB,doi,10.7910,DVN/ODMTSB,2012-08-01
restat,dataverse,,https://doi.org/10.7910/DVN/BYCAFE,doi,10.7910,DVN/BYCAFE,2013-01-14
restat,dataverse,,https://doi.org/10.7910/DVN/CTKI9J,doi,10.7910,DVN/CTKI9J,2013-01-11
restat,dataverse,,https://doi.org/10.7910/DVN/6BEESP,doi,10.7910,DVN/6BEESP,2010-11-23
restat,dataverse,,https://doi.org/10.7910/DVN/ZDKETT,doi,10.7910,DVN/ZDKETT,2013-03-05
restat,dataverse,,https://doi.org/10.7910/DVN/VOFHJA,doi,10.7910,DVN/VOFHJA,2012-05-09
restat,dataverse,,https://doi.org/10.7910/DVN/26061,doi,10.7910,DVN/26061,2014-05-23
restat,dataverse,,https://doi.org/10.7910/DVN/BMCNEW,doi,10.7910,DVN/BMCNEW,2012-12-13
restat,dataverse,,https://doi.org/10.7910/DVN/26402,doi,10.7910,DVN/26402,2014-07-17
restat,dataverse,,https://doi.org/10.7910/DVN/OYVNGX,doi,10.7910,DVN/OYVNGX,2012-10-02
restat,dataverse,,https://doi.org/10.7910/DVN/DLHBZR,doi,10.7910,DVN/DLHBZR,2013-03-18
restat,dataverse,,https://doi.org/10.7910/DVN/7HYIFJ,doi,10.7910,DVN/7HYIFJ,2013-05-13
restat,dataverse,,https://doi.org/10.7910/DVN/W5FQL8,doi,10.7910,DVN/W5FQL8,2012-07-19
