id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
48963,DVN/26980,https://doi.org/10.7910/DVN/26980,doi,10.7910,/,Harvard Dataverse,2014-08-08,s3://10.7910/DVN/26980,dataset,dataset
48964,DVN/29628,https://doi.org/10.7910/DVN/29628,doi,10.7910,/,Harvard Dataverse,2015-04-07,s3://10.7910/DVN/29628,dataset,dataset
48965,DVN/26973,https://doi.org/10.7910/DVN/26973,doi,10.7910,/,Harvard Dataverse,2014-08-08,s3://10.7910/DVN/26973,dataset,dataset
48966,DVN/26868,https://doi.org/10.7910/DVN/26868,doi,10.7910,/,Harvard Dataverse,2014-07-30,s3://10.7910/DVN/26868,dataset,dataset
2701947,DVN/PRK2U1,https://doi.org/10.7910/DVN/PRK2U1,doi,10.7910,/,Harvard Dataverse,2015-09-30,s3://10.7910/DVN/PRK2U1,dataset,dataset
2711993,DVN/KUYSDI,https://doi.org/10.7910/DVN/KUYSDI,doi,10.7910,/,Harvard Dataverse,2015-10-06,s3://10.7910/DVN/KUYSDI,dataset,dataset
2742516,DVN/EXS3F5,https://doi.org/10.7910/DVN/EXS3F5,doi,10.7910,/,Harvard Dataverse,2016-02-10,s3://10.7910/DVN/EXS3F5,dataset,dataset
2743174,DVN/YSFURO,https://doi.org/10.7910/DVN/YSFURO,doi,10.7910,/,Harvard Dataverse,2016-02-03,s3://10.7910/DVN/YSFURO,dataset,dataset
2746266,DVN/7PPEDC,https://doi.org/10.7910/DVN/7PPEDC,doi,10.7910,/,Harvard Dataverse,2016-02-07,s3://10.7910/DVN/7PPEDC,dataset,dataset
2754716,DVN/THM2DN,https://doi.org/10.7910/DVN/THM2DN,doi,10.7910,/,Harvard Dataverse,2016-02-11,s3://10.7910/DVN/THM2DN,dataset,dataset
2776513,DVN/AHYXL9,https://doi.org/10.7910/DVN/AHYXL9,doi,10.7910,/,Harvard Dataverse,2016-04-21,s3://10.7910/DVN/AHYXL9,dataset,dataset
3008842,DVN/SUCU5X,https://doi.org/10.7910/DVN/SUCU5X,doi,10.7910,/,Harvard Dataverse,2017-03-27,s3://10.7910/DVN/SUCU5X,dataset,dataset
3014041,DVN/T41S3V,https://doi.org/10.7910/DVN/T41S3V,doi,10.7910,/,Harvard Dataverse,2017-05-29,s3://10.7910/DVN/T41S3V,dataset,dataset
3181508,DVN/TJTSCM,https://doi.org/10.7910/DVN/TJTSCM,doi,10.7910,/,Harvard Dataverse,2018-06-29,s3://10.7910/DVN/TJTSCM,dataset,dataset
