id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
53516,DVN/IOFHWG,https://doi.org/10.7910/DVN/IOFHWG,doi,10.7910,/,Harvard Dataverse,2012-06-07,s3://10.7910/DVN/IOFHWG,dataset,dataset
53517,DVN/N92AWR,https://doi.org/10.7910/DVN/N92AWR,doi,10.7910,/,Harvard Dataverse,2011-03-30,s3://10.7910/DVN/N92AWR,dataset,dataset
53518,DVN1/22638,https://doi.org/10.7910/DVN1/22638,doi,10.7910,/,Harvard Dataverse,2013-09-30,s3://10.7910/DVN1/22638,dataset,dataset
53519,DVN/NS8V00,https://doi.org/10.7910/DVN/NS8V00,doi,10.7910,/,Harvard Dataverse,2012-09-17,s3://10.7910/DVN/NS8V00,dataset,dataset
53520,DVN/24566,https://doi.org/10.7910/DVN/24566,doi,10.7910,/,Harvard Dataverse,2014-01-30,s3://10.7910/DVN/24566,dataset,dataset
53521,DVN/29105,https://doi.org/10.7910/DVN/29105,doi,10.7910,/,Harvard Dataverse,2015-02-12,s3://10.7910/DVN/29105,dataset,dataset
53522,DVN/YZ388M,https://doi.org/10.7910/DVN/YZ388M,doi,10.7910,/,Harvard Dataverse,2012-10-11,s3://10.7910/DVN/YZ388M,dataset,dataset
53523,DVN/28607,https://doi.org/10.7910/DVN/28607,doi,10.7910,/,Harvard Dataverse,2015-01-07,s3://10.7910/DVN/28607,dataset,dataset
53524,DVN/OVEALH,https://doi.org/10.7910/DVN/OVEALH,doi,10.7910,/,Harvard Dataverse,2012-08-31,s3://1902.1/18747,dataset,dataset
53525,DVN/25385,https://doi.org/10.7910/DVN/25385,doi,10.7910,/,Harvard Dataverse,2014-04-02,s3://10.7910/DVN/25385,dataset,dataset
53526,DVN/4WNLRF,https://doi.org/10.7910/DVN/4WNLRF,doi,10.7910,/,Harvard Dataverse,2012-06-15,s3://10.7910/DVN/4WNLRF,dataset,dataset
53527,DVN/23512,https://doi.org/10.7910/DVN/23512,doi,10.7910,/,Harvard Dataverse,2013-11-25,s3://10.7910/DVN/23512,dataset,dataset
53528,DVN/LOGDTV,https://doi.org/10.7910/DVN/LOGDTV,doi,10.7910,/,Harvard Dataverse,2011-07-14,s3://10.7910/DVN/LOGDTV,dataset,dataset
53529,DVN/0BPRU2,https://doi.org/10.7910/DVN/0BPRU2,doi,10.7910,/,Harvard Dataverse,2011-06-27,s3://10.7910/DVN/0BPRU2,dataset,dataset
53530,DVN/CUSSQM,https://doi.org/10.7910/DVN/CUSSQM,doi,10.7910,/,Harvard Dataverse,2010-05-28,s3://10.7910/DVN/CUSSQM,dataset,dataset
53531,DVN/1VAHJQ,https://doi.org/10.7910/DVN/1VAHJQ,doi,10.7910,/,Harvard Dataverse,2012-11-05,s3://10.7910/DVN/1VAHJQ,dataset,dataset
53532,DVN/26654,https://doi.org/10.7910/DVN/26654,doi,10.7910,/,Harvard Dataverse,2014-07-08,s3://10.7910/DVN/26654,dataset,dataset
53533,DVN/LGIF0V,https://doi.org/10.7910/DVN/LGIF0V,doi,10.7910,/,Harvard Dataverse,2009-11-25,s3://10.7910/DVN/LGIF0V,dataset,dataset
53534,DVN/25405,https://doi.org/10.7910/DVN/25405,doi,10.7910,/,Harvard Dataverse,2014-04-03,s3://10.7910/DVN/25405,dataset,dataset
53535,DVN/29468,https://doi.org/10.7910/DVN/29468,doi,10.7910,/,Harvard Dataverse,2015-03-13,s3://10.7910/DVN/29468,dataset,dataset
53536,DVN/MXN1R8,https://doi.org/10.7910/DVN/MXN1R8,doi,10.7910,/,Harvard Dataverse,2013-01-23,s3://10.7910/DVN/MXN1R8,dataset,dataset
53537,DVN/SZRMAD,https://doi.org/10.7910/DVN/SZRMAD,doi,10.7910,/,Harvard Dataverse,2012-06-11,s3://10.7910/DVN/SZRMAD,dataset,dataset
53538,DVN/TTRH5M,https://doi.org/10.7910/DVN/TTRH5M,doi,10.7910,/,Harvard Dataverse,2010-02-04,s3://10.7910/DVN/TTRH5M,dataset,dataset
53539,DVN/E1QLCF,https://doi.org/10.7910/DVN/E1QLCF,doi,10.7910,/,Harvard Dataverse,2013-01-31,s3://10.7910/DVN/E1QLCF,dataset,dataset
53540,DVN/CEH2KR,https://doi.org/10.7910/DVN/CEH2KR,doi,10.7910,/,Harvard Dataverse,2013-08-21,s3://1902.1/22144,dataset,dataset
53541,DVN/NAIPNN,https://doi.org/10.7910/DVN/NAIPNN,doi,10.7910,/,Harvard Dataverse,2012-03-30,s3://10.7910/DVN/NAIPNN,dataset,dataset
53542,DVN/26723,https://doi.org/10.7910/DVN/26723,doi,10.7910,/,Harvard Dataverse,2014-07-16,s3://10.7910/DVN/26723,dataset,dataset
53543,DVN/ZTCR14,https://doi.org/10.7910/DVN/ZTCR14,doi,10.7910,/,Harvard Dataverse,2013-05-23,s3://10.7910/DVN/ZTCR14,dataset,dataset
53544,DVN/26866,https://doi.org/10.7910/DVN/26866,doi,10.7910,/,Harvard Dataverse,2014-07-30,s3://10.7910/DVN/26866,dataset,dataset
53545,DVN/EWCWRB,https://doi.org/10.7910/DVN/EWCWRB,doi,10.7910,/,Harvard Dataverse,2010-05-05,s3://1902.1/13881,dataset,dataset
53546,DVN/RKSYPZ,https://doi.org/10.7910/DVN/RKSYPZ,doi,10.7910,/,Harvard Dataverse,2012-08-21,s3://1902.1/18706,dataset,dataset
53547,DVN/Z1OQ4A,https://doi.org/10.7910/DVN/Z1OQ4A,doi,10.7910,/,Harvard Dataverse,2013-03-06,s3://1902.1/20447,dataset,dataset
53548,DVN/3CNXYH,https://doi.org/10.7910/DVN/3CNXYH,doi,10.7910,/,Harvard Dataverse,2009-11-25,s3://10.7910/DVN/3CNXYH,dataset,dataset
53549,DVN/0LBK4Q,https://doi.org/10.7910/DVN/0LBK4Q,doi,10.7910,/,Harvard Dataverse,2011-11-28,s3://1902.1/17166,dataset,dataset
53550,DVN/1YUAQC,https://doi.org/10.7910/DVN/1YUAQC,doi,10.7910,/,Harvard Dataverse,2011-08-29,s3://1902.1/16628,dataset,dataset
53551,DVN/23834,https://doi.org/10.7910/DVN/23834,doi,10.7910,/,Harvard Dataverse,2013-12-10,s3://10.7910/DVN/23834,dataset,dataset
53552,DVN/NAG6L0,https://doi.org/10.7910/DVN/NAG6L0,doi,10.7910,/,Harvard Dataverse,2012-07-06,s3://1902.1/18501,dataset,dataset
53553,DVN/KHWHVT,https://doi.org/10.7910/DVN/KHWHVT,doi,10.7910,/,Harvard Dataverse,2013-01-31,s3://10.7910/DVN/KHWHVT,dataset,dataset
53554,DVN/J722WM,https://doi.org/10.7910/DVN/J722WM,doi,10.7910,/,Harvard Dataverse,2012-01-26,s3://10.7910/DVN/J722WM,dataset,dataset
53555,DVN/29239,https://doi.org/10.7910/DVN/29239,doi,10.7910,/,Harvard Dataverse,2015-02-25,s3://10.7910/DVN/29239,dataset,dataset
