collection_id,source,kind,journal_name,discipline,inclusion_reason,verified_at,n_records_declared,notes
es-replication-repository,zenodo,journal,Econometrica; Quantitative Economics; Theoretical Economics,economics,dcas,2026-08-12T06:37:21.580024+00:00,266,
restud-replication,zenodo,journal,Review of Economic Studies,economics,dcas,2026-08-12T06:37:21.580024+00:00,522,
ej-replication-repository,zenodo,journal,Economic Journal,economics,dcas,2026-08-12T06:37:21.580024+00:00,563,
ectj-replication-repository,zenodo,journal,Econometrics Journal,economics,dcas,2026-08-12T06:37:21.580024+00:00,24,
jeea_replication,zenodo,journal,Journal of the European Economic Association,economics,dcas,2026-08-12T06:37:21.580024+00:00,143,
labordynamicsinstitute,zenodo,journal,AEA Data Editor's office (multiple AEA titles),economics,dcas,2026-08-12T06:37:21.580024+00:00,83,
BJPolS,dataverse,journal,BJPolS,social science,dataverse_journal_collection,,724,
EDCC,dataverse,journal,EDCC,social science,dataverse_journal_collection,,108,
FPA,dataverse,journal,FPA,social science,dataverse_journal_collection,,249,
IOJ,dataverse,journal,IOJ,social science,dataverse_journal_collection,,181,
JAERE,dataverse,journal,JAERE,social science,dataverse_journal_collection,,285,
JBPA,dataverse,journal,JBPA,social science,dataverse_journal_collection,,31,
JJPS,dataverse,journal,JJPS,social science,dataverse_journal_collection,,98,
JPE_Macroeconomics,dataverse,journal,JPE_Macroeconomics,social science,dataverse_journal_collection,,56,
JPE_Microeconomics,dataverse,journal,JPE_Microeconomics,social science,dataverse_journal_collection,,97,
JPE,dataverse,journal,JPE,social science,dataverse_journal_collection,,238,
JPublicPolicy,dataverse,journal,JPublicPolicy,social science,dataverse_journal_collection,,181,
LAPS,dataverse,journal,LAPS,social science,dataverse_journal_collection,,48,
LQ,dataverse,journal,LQ,social science,dataverse_journal_collection,,9,
NegotiationJournal,dataverse,journal,NegotiationJournal,social science,dataverse_journal_collection,,9,
PAR,dataverse,journal,PAR,social science,dataverse_journal_collection,,3,
PSRM,dataverse,journal,PSRM,social science,dataverse_journal_collection,,660,
PittJWSR,dataverse,journal,PittJWSR,social science,dataverse_journal_collection,,2,
SOCRATESJOURNAL,dataverse,journal,SOCRATESJOURNAL,social science,dataverse_journal_collection,,5,
YaleJREG,dataverse,journal,YaleJREG,social science,dataverse_journal_collection,,4,
ajps,dataverse,journal,ajps,social science,dataverse_journal_collection,,805,
asyafinajournal,dataverse,journal,asyafinajournal,social science,dataverse_journal_collection,,3,
bpsr,dataverse,journal,bpsr,social science,dataverse_journal_collection,,78,
cjip,dataverse,journal,cjip,social science,dataverse_journal_collection,,1,
cjp,dataverse,journal,cjp,social science,dataverse_journal_collection,,4,
cps,dataverse,journal,cps,social science,dataverse_journal_collection,,386,
cstp,dataverse,journal,cstp,social science,dataverse_journal_collection,,1,
culturalanalytics,dataverse,journal,culturalanalytics,social science,dataverse_journal_collection,,117,
cybergeo,dataverse,journal,cybergeo,social science,dataverse_journal_collection,,7,
dib,dataverse,journal,dib,social science,dataverse_journal_collection,,37,
economics,dataverse,journal,economics,social science,dataverse_journal_collection,,244,
health-psychology-bulletin,dataverse,journal,health-psychology-bulletin,social science,dataverse_journal_collection,,1,
hsscomms,dataverse,journal,hsscomms,social science,dataverse_journal_collection,,129,
internationalinteractions,dataverse,journal,internationalinteractions,social science,dataverse_journal_collection,,347,
ipsr-risp,dataverse,journal,ipsr-risp,social science,dataverse_journal_collection,,127,
isec,dataverse,journal,isec,social science,dataverse_journal_collection,,67,
isq,dataverse,journal,isq,social science,dataverse_journal_collection,,748,
jhpe,dataverse,journal,jhpe,social science,dataverse_journal_collection,,25,
jhr,dataverse,journal,jhr,social science,dataverse_journal_collection,,90,
jlc,dataverse,journal,jlc,social science,dataverse_journal_collection,,136,
jlsc,dataverse,journal,jlsc,social science,dataverse_journal_collection,,9,
joad,dataverse,journal,joad,social science,dataverse_journal_collection,,5,
johd,dataverse,journal,johd,social science,dataverse_journal_collection,,23,
jop,dataverse,journal,jop,social science,dataverse_journal_collection,,1177,
jopd,dataverse,journal,jopd,social science,dataverse_journal_collection,,6,
josum,dataverse,journal,josum,social science,dataverse_journal_collection,,2,
jpipe,dataverse,journal,jpipe,social science,dataverse_journal_collection,,44,
jri,dataverse,journal,jri,social science,dataverse_journal_collection,,16,
lcnapsa,dataverse,journal,lcnapsa,social science,dataverse_journal_collection,,4,
lsq,dataverse,journal,lsq,social science,dataverse_journal_collection,,144,
ntj,dataverse,journal,ntj,social science,dataverse_journal_collection,,52,
opmi,dataverse,journal,opmi,social science,dataverse_journal_collection,,5,
pa,dataverse,journal,pa,social science,dataverse_journal_collection,,37,
pan,dataverse,journal,pan,social science,dataverse_journal_collection,,605,
perspectives,dataverse,journal,perspectives,social science,dataverse_journal_collection,,287,
polbehavior,dataverse,journal,polbehavior,social science,dataverse_journal_collection,,467,
politicsandgender,dataverse,journal,politicsandgender,social science,dataverse_journal_collection,,3,
ps,dataverse,journal,ps,social science,dataverse_journal_collection,,234,
qje,dataverse,journal,qje,social science,dataverse_journal_collection,,385,
rac,dataverse,journal,rac,social science,dataverse_journal_collection,,147,
raps,dataverse,journal,raps,social science,dataverse_journal_collection,,31,
rbcp,dataverse,journal,rbcp,social science,dataverse_journal_collection,,5,
rcfs,dataverse,journal,rcfs,social science,dataverse_journal_collection,,92,
regionalstatistics,dataverse,journal,regionalstatistics,social science,dataverse_journal_collection,,23,
researchandpolitics,dataverse,journal,researchandpolitics,social science,dataverse_journal_collection,,455,
restat,dataverse,journal,restat,social science,dataverse_journal_collection,,1562,
revistadados,dataverse,journal,revistadados,social science,dataverse_journal_collection,,88,
rfs,dataverse,journal,rfs,social science,dataverse_journal_collection,,312,
se,dataverse,journal,se,social science,dataverse_journal_collection,,77,
securitystudies,dataverse,journal,securitystudies,social science,dataverse_journal_collection,,49,
technology_science,dataverse,journal,technology_science,social science,dataverse_journal_collection,,8,
the_review,dataverse,journal,the_review,social science,dataverse_journal_collection,,699,
tpmnewsletter,dataverse,journal,tpmnewsletter,social science,dataverse_journal_collection,,8,
uidergisi,dataverse,journal,uidergisi,social science,dataverse_journal_collection,,26,
world-politics,dataverse,journal,world-politics,social science,dataverse_journal_collection,,125,
xps,dataverse,journal,xps,social science,dataverse_journal_collection,,227,
,,,American Economic Review,economics,dcas,,,unlocated: openICPSR AEA Data and Code Repository
,,,American Economic Review: Insights,economics,dcas,,,unlocated: openICPSR
,,,American Economic Journal: Applied Economics,economics,dcas,,,unlocated: openICPSR
,,,American Economic Journal: Economic Policy,economics,dcas,,,unlocated: openICPSR
,,,American Economic Journal: Macroeconomics,economics,dcas,,,unlocated: openICPSR
,,,American Economic Journal: Microeconomics,economics,dcas,,,unlocated: openICPSR
,,,Journal of Economic Literature,economics,dcas,,,unlocated: openICPSR
,,,Journal of Economic Perspectives,economics,dcas,,,unlocated: openICPSR
,,,Canadian Journal of Economics,economics,dcas,,,unlocated: not located
,,,Economic Inquiry,economics,dcas,,,unlocated: not located
