id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2668691,DVN/HEWGDD,https://doi.org/10.7910/DVN/HEWGDD,doi,10.7910,/,Harvard Dataverse,2015-05-18,s3://10.7910/DVN/HEWGDD,dataset,dataset
2671114,DVN/JVZHFG,https://doi.org/10.7910/DVN/JVZHFG,doi,10.7910,/,Harvard Dataverse,2015-05-18,s3://10.7910/DVN/JVZHFG,dataset,dataset
2694330,DVN/Q8DDM9,https://doi.org/10.7910/DVN/Q8DDM9,doi,10.7910,/,Harvard Dataverse,2015-10-06,s3://10.7910/DVN/Q8DDM9,dataset,dataset
2695650,DVN/NRWQYU,https://doi.org/10.7910/DVN/NRWQYU,doi,10.7910,/,Harvard Dataverse,2015-09-22,s3://10.7910/DVN/NRWQYU,dataset,dataset
2695804,DVN/ELSYXO,https://doi.org/10.7910/DVN/ELSYXO,doi,10.7910,/,Harvard Dataverse,2015-09-15,s3://10.7910/DVN/ELSYXO,dataset,dataset
2710151,DVN/1ZUDJI,https://doi.org/10.7910/DVN/1ZUDJI,doi,10.7910,/,Harvard Dataverse,2015-11-03,s3://10.7910/DVN/1ZUDJI,dataset,dataset
2794183,DVN/EXWJRJ,https://doi.org/10.7910/DVN/EXWJRJ,doi,10.7910,/,Harvard Dataverse,2016-04-26,s3://10.7910/DVN/EXWJRJ,dataset,dataset
2796242,DVN/4CSENJ,https://doi.org/10.7910/DVN/4CSENJ,doi,10.7910,/,Harvard Dataverse,2016-05-17,s3://10.7910/DVN/4CSENJ,dataset,dataset
2799668,DVN/GPLE2D,https://doi.org/10.7910/DVN/GPLE2D,doi,10.7910,/,Harvard Dataverse,2016-05-10,s3://10.7910/DVN/GPLE2D,dataset,dataset
2911018,DVN/GMIXKB,https://doi.org/10.7910/DVN/GMIXKB,doi,10.7910,/,Harvard Dataverse,2016-11-22,s3://10.7910/DVN/GMIXKB,dataset,dataset
3003152,DVN/DB3OXQ,https://doi.org/10.7910/DVN/DB3OXQ,doi,10.7910,/,Harvard Dataverse,2017-03-21,s3://10.7910/DVN/DB3OXQ,dataset,dataset
3007929,DVN/XFGQEX,https://doi.org/10.7910/DVN/XFGQEX,doi,10.7910,/,Harvard Dataverse,2017-04-24,s3://10.7910/DVN/XFGQEX,dataset,dataset
3041275,DVN/DAV4EI,https://doi.org/10.7910/DVN/DAV4EI,doi,10.7910,/,Harvard Dataverse,2017-09-26,s3://10.7910/DVN/DAV4EI,dataset,dataset
3082411,DVN/VGBHTQ,https://doi.org/10.7910/DVN/VGBHTQ,doi,10.7910,/,Harvard Dataverse,2018-01-23,s3://10.7910/DVN/VGBHTQ,dataset,dataset
3141245,DVN/PVPJWM,https://doi.org/10.7910/DVN/PVPJWM,doi,10.7910,/,Harvard Dataverse,2018-06-06,s3://10.7910/DVN/PVPJWM,dataset,dataset
3150868,DVN/N1FRI8,https://doi.org/10.7910/DVN/N1FRI8,doi,10.7910,/,Harvard Dataverse,2018-07-16,s3://10.7910/DVN/N1FRI8,dataset,dataset
3154363,DVN/CWHOIC,https://doi.org/10.7910/DVN/CWHOIC,doi,10.7910,/,Harvard Dataverse,2018-06-25,s3://10.7910/DVN/CWHOIC,dataset,dataset
3157537,DVN/NZ4VQU,https://doi.org/10.7910/DVN/NZ4VQU,doi,10.7910,/,Harvard Dataverse,2018-10-31,s3://10.7910/DVN/NZ4VQU,dataset,dataset
3177099,DVN/MSXKJG,https://doi.org/10.7910/DVN/MSXKJG,doi,10.7910,/,Harvard Dataverse,2018-10-31,s3://10.7910/DVN/MSXKJG,dataset,dataset
3205050,DVN/48BCMJ,https://doi.org/10.7910/DVN/48BCMJ,doi,10.7910,/,Harvard Dataverse,2018-09-04,s3://10.7910/DVN/48BCMJ,dataset,dataset
3225070,DVN/QKGBSE,https://doi.org/10.7910/DVN/QKGBSE,doi,10.7910,/,Harvard Dataverse,2019-03-01,s3://10.7910/DVN/QKGBSE,dataset,dataset
3312257,DVN/SMTX3X,https://doi.org/10.7910/DVN/SMTX3X,doi,10.7910,/,Harvard Dataverse,2019-03-01,s3://10.7910/DVN/SMTX3X,dataset,dataset
