id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
57395,DVN/29531,https://doi.org/10.7910/DVN/29531,doi,10.7910,/,Harvard Dataverse,2015-03-19,s3://10.7910/DVN/29531,dataset,dataset
57396,DVN/23094,https://doi.org/10.7910/DVN/23094,doi,10.7910,/,Harvard Dataverse,2013-10-28,s3://10.7910/DVN/23094,dataset,dataset
57397,DVN/X8FRDM,https://doi.org/10.7910/DVN/X8FRDM,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://10.7910/DVN/X8FRDM,dataset,dataset
57398,DVN/HSLZCJ,https://doi.org/10.7910/DVN/HSLZCJ,doi,10.7910,/,Harvard Dataverse,2012-05-11,s3://10.7910/DVN/HSLZCJ,dataset,dataset
57399,DVN/FIRWJT,https://doi.org/10.7910/DVN/FIRWJT,doi,10.7910,/,Harvard Dataverse,2013-09-02,s3://10.7910/DVN/FIRWJT,dataset,dataset
57400,DVN/C7OPJH,https://doi.org/10.7910/DVN/C7OPJH,doi,10.7910,/,Harvard Dataverse,2011-03-29,s3://10.7910/DVN/C7OPJH,dataset,dataset
57401,DVN/XDHL76,https://doi.org/10.7910/DVN/XDHL76,doi,10.7910,/,Harvard Dataverse,2012-02-15,s3://10.7910/DVN/XDHL76,dataset,dataset
57402,DVN/IEAASS,https://doi.org/10.7910/DVN/IEAASS,doi,10.7910,/,Harvard Dataverse,2012-02-15,s3://10.7910/DVN/IEAASS,dataset,dataset
57403,DVN/UCJUKO,https://doi.org/10.7910/DVN/UCJUKO,doi,10.7910,/,Harvard Dataverse,2012-02-15,s3://10.7910/DVN/UCJUKO,dataset,dataset
57404,DVN/YT42X1,https://doi.org/10.7910/DVN/YT42X1,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://10.7910/DVN/YT42X1,dataset,dataset
57405,DVN/0KHVQZ,https://doi.org/10.7910/DVN/0KHVQZ,doi,10.7910,/,Harvard Dataverse,2012-05-11,s3://10.7910/DVN/0KHVQZ,dataset,dataset
57406,DVN/JN1VBB,https://doi.org/10.7910/DVN/JN1VBB,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://10.7910/DVN/JN1VBB,dataset,dataset
57407,DVN/25575,https://doi.org/10.7910/DVN/25575,doi,10.7910,/,Harvard Dataverse,2014-04-23,s3://10.7910/DVN/25575,dataset,dataset
57408,DVN/29538,https://doi.org/10.7910/DVN/29538,doi,10.7910,/,Harvard Dataverse,2015-03-19,s3://10.7910/DVN/29538,dataset,dataset
57409,DVN/29291,https://doi.org/10.7910/DVN/29291,doi,10.7910,/,Harvard Dataverse,2015-03-02,s3://10.7910/DVN/29291,dataset,dataset
57410,DVN/GMBFFE,https://doi.org/10.7910/DVN/GMBFFE,doi,10.7910,/,Harvard Dataverse,2012-02-15,s3://10.7910/DVN/GMBFFE,dataset,dataset
57411,DVN/29289,https://doi.org/10.7910/DVN/29289,doi,10.7910,/,Harvard Dataverse,2015-03-02,s3://10.7910/DVN/29289,dataset,dataset
57412,DVN/29535,https://doi.org/10.7910/DVN/29535,doi,10.7910,/,Harvard Dataverse,2015-03-19,s3://10.7910/DVN/29535,dataset,dataset
57413,DVN/23093,https://doi.org/10.7910/DVN/23093,doi,10.7910,/,Harvard Dataverse,2013-10-28,s3://10.7910/DVN/23093,dataset,dataset
57414,DVN/29287,https://doi.org/10.7910/DVN/29287,doi,10.7910,/,Harvard Dataverse,2015-03-02,s3://10.7910/DVN/29287,dataset,dataset
57415,DVN/JGATX6,https://doi.org/10.7910/DVN/JGATX6,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://10.7910/DVN/JGATX6,dataset,dataset
57416,DVN/APEUO9,https://doi.org/10.7910/DVN/APEUO9,doi,10.7910,/,Harvard Dataverse,2012-05-11,s3://10.7910/DVN/APEUO9,dataset,dataset
57417,DVN/M7MWLH,https://doi.org/10.7910/DVN/M7MWLH,doi,10.7910,/,Harvard Dataverse,2013-05-10,s3://10.7910/DVN/M7MWLH,dataset,dataset
57418,DVN/ZJB8W4,https://doi.org/10.7910/DVN/ZJB8W4,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://1902.1/20502,dataset,dataset
57419,DVN/29268,https://doi.org/10.7910/DVN/29268,doi,10.7910,/,Harvard Dataverse,2015-02-27,s3://10.7910/DVN/29268,dataset,dataset
57420,DVN/HWGWG7,https://doi.org/10.7910/DVN/HWGWG7,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://10.7910/DVN/HWGWG7,dataset,dataset
57421,DVN/8PKAI0,https://doi.org/10.7910/DVN/8PKAI0,doi,10.7910,/,Harvard Dataverse,2013-03-13,s3://10.7910/DVN/8PKAI0,dataset,dataset
57422,DVN/29331,https://doi.org/10.7910/DVN/29331,doi,10.7910,/,Harvard Dataverse,2015-03-04,s3://10.7910/DVN/29331,dataset,dataset
57424,DVN/FIJCKJ,https://doi.org/10.7910/DVN/FIJCKJ,doi,10.7910,/,Harvard Dataverse,2012-02-15,s3://10.7910/DVN/FIJCKJ,dataset,dataset
