id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
55576,DVN/28131,https://doi.org/10.7910/DVN/28131,doi,10.7910,/,Harvard Dataverse,2014-12-11,s3://10.7910/DVN/28131,dataset,dataset
55577,DVN/29110,https://doi.org/10.7910/DVN/29110,doi,10.7910,/,Harvard Dataverse,2015-02-12,s3://10.7910/DVN/29110,dataset,dataset
55578,DVN/29111,https://doi.org/10.7910/DVN/29111,doi,10.7910,/,Harvard Dataverse,2015-02-13,s3://10.7910/DVN/29111,dataset,dataset
55579,DVN/29133,https://doi.org/10.7910/DVN/29133,doi,10.7910,/,Harvard Dataverse,2015-06-29,s3://10.7910/DVN/29133,dataset,dataset
55580,DVN/29136,https://doi.org/10.7910/DVN/29136,doi,10.7910,/,Harvard Dataverse,2015-06-29,s3://10.7910/DVN/29136,dataset,dataset
55581,DVN/29130,https://doi.org/10.7910/DVN/29130,doi,10.7910,/,Harvard Dataverse,2015-06-29,s3://10.7910/DVN/29130,dataset,dataset
55582,DVN/29112,https://doi.org/10.7910/DVN/29112,doi,10.7910,/,Harvard Dataverse,2015-02-12,s3://10.7910/DVN/29112,dataset,dataset
2692940,DVN/DMDGA1,https://doi.org/10.7910/DVN/DMDGA1,doi,10.7910,/,Harvard Dataverse,2015-07-10,s3://10.7910/DVN/DMDGA1,dataset,dataset
2692946,DVN/3CIIM0,https://doi.org/10.7910/DVN/3CIIM0,doi,10.7910,/,Harvard Dataverse,2015-07-10,s3://10.7910/DVN/3CIIM0,dataset,dataset
2692949,DVN/ZMZDHG,https://doi.org/10.7910/DVN/ZMZDHG,doi,10.7910,/,Harvard Dataverse,2015-07-10,s3://10.7910/DVN/ZMZDHG,dataset,dataset
2692964,DVN/2CJUAX,https://doi.org/10.7910/DVN/2CJUAX,doi,10.7910,/,Harvard Dataverse,2015-07-10,s3://10.7910/DVN/2CJUAX,dataset,dataset
2692967,DVN/XJ6BXM,https://doi.org/10.7910/DVN/XJ6BXM,doi,10.7910,/,Harvard Dataverse,2015-07-10,s3://10.7910/DVN/XJ6BXM,dataset,dataset
2696409,DVN/HTHO4V,https://doi.org/10.7910/DVN/HTHO4V,doi,10.7910,/,Harvard Dataverse,2015-08-06,s3://10.7910/DVN/HTHO4V,dataset,dataset
