id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
47155,DVN/29669,https://doi.org/10.7910/DVN/29669,doi,10.7910,/,Harvard Dataverse,2015-04-23,s3://10.7910/DVN/29669,dataset,dataset
2688849,DVN/U16NEI,https://doi.org/10.7910/DVN/U16NEI,doi,10.7910,/,Harvard Dataverse,2015-06-22,s3://10.7910/DVN/U16NEI,dataset,dataset
2703244,DVN/CBED0J,https://doi.org/10.7910/DVN/CBED0J,doi,10.7910,/,Harvard Dataverse,2015-10-28,s3://10.7910/DVN/CBED0J,dataset,dataset
2717503,DVN/LDDARY,https://doi.org/10.7910/DVN/LDDARY,doi,10.7910,/,Harvard Dataverse,2015-10-28,s3://10.7910/DVN/LDDARY,dataset,dataset
2735312,DVN/FFJISL,https://doi.org/10.7910/DVN/FFJISL,doi,10.7910,/,Harvard Dataverse,2016-01-25,s3://10.7910/DVN/FFJISL,dataset,dataset
2792803,DVN/39DFOI,https://doi.org/10.7910/DVN/39DFOI,doi,10.7910,/,Harvard Dataverse,2016-04-14,s3://10.7910/DVN/39DFOI,dataset,dataset
2809275,DVN/GK6PR2,https://doi.org/10.7910/DVN/GK6PR2,doi,10.7910,/,Harvard Dataverse,2016-07-20,s3://10.7910/DVN/GK6PR2,dataset,dataset
2851556,DVN/SKJMLU,https://doi.org/10.7910/DVN/SKJMLU,doi,10.7910,/,Harvard Dataverse,2016-07-20,s3://10.7910/DVN/SKJMLU,dataset,dataset
2891912,DVN/7Y4TD8,https://doi.org/10.7910/DVN/7Y4TD8,doi,10.7910,/,Harvard Dataverse,2016-11-14,s3://10.7910/DVN/7Y4TD8,dataset,dataset
2999782,DVN/NKZJVT,https://doi.org/10.7910/DVN/NKZJVT,doi,10.7910,/,Harvard Dataverse,2017-04-20,s3://dvn-cloud:10.7910/DVN/NKZJVT,dataset,dataset
3018235,DVN/5PZSJZ,https://doi.org/10.7910/DVN/5PZSJZ,doi,10.7910,/,Harvard Dataverse,2017-07-06,s3://10.7910/DVN/5PZSJZ,dataset,dataset
3041206,DVN/8EMSFK,https://doi.org/10.7910/DVN/8EMSFK,doi,10.7910,/,Harvard Dataverse,2017-10-18,file,dataset,dataset
3072238,DVN/Y6FBSL,https://doi.org/10.7910/DVN/Y6FBSL,doi,10.7910,/,Harvard Dataverse,2018-01-09,file,dataset,dataset
3075387,DVN/GMYGZT,https://doi.org/10.7910/DVN/GMYGZT,doi,10.7910,/,Harvard Dataverse,2018-01-09,file,dataset,dataset
3088421,DVN/JFY5GU,https://doi.org/10.7910/DVN/JFY5GU,doi,10.7910,/,Harvard Dataverse,2018-01-09,file,dataset,dataset
3134994,DVN/AGCWUR,https://doi.org/10.7910/DVN/AGCWUR,doi,10.7910,/,Harvard Dataverse,2018-04-18,s3://10.7910/DVN/AGCWUR,dataset,dataset
3149481,DVN/FIKFCQ,https://doi.org/10.7910/DVN/FIKFCQ,doi,10.7910,/,Harvard Dataverse,2018-08-13,s3://10.7910/DVN/FIKFCQ,dataset,dataset
3155441,DVN/72GCGD,https://doi.org/10.7910/DVN/72GCGD,doi,10.7910,/,Harvard Dataverse,2018-08-13,s3://10.7910/DVN/72GCGD,dataset,dataset
3214151,DVN/58KDCM,https://doi.org/10.7910/DVN/58KDCM,doi,10.7910,/,Harvard Dataverse,2018-11-07,s3://10.7910/DVN/58KDCM,dataset,dataset
3218906,DVN/CXXSTK,https://doi.org/10.7910/DVN/CXXSTK,doi,10.7910,/,Harvard Dataverse,2018-11-07,s3://10.7910/DVN/CXXSTK,dataset,dataset
3225180,DVN/QUKFFH,https://doi.org/10.7910/DVN/QUKFFH,doi,10.7910,/,Harvard Dataverse,2018-11-07,s3://10.7910/DVN/QUKFFH,dataset,dataset
3315173,DVN/EIASGF,https://doi.org/10.7910/DVN/EIASGF,doi,10.7910,/,Harvard Dataverse,2019-02-19,s3://10.7910/DVN/EIASGF,dataset,dataset
3345345,DVN/70TJHT,https://doi.org/10.7910/DVN/70TJHT,doi,10.7910,/,Harvard Dataverse,2019-05-03,s3://10.7910/DVN/70TJHT,dataset,dataset
3358163,DVN/TDWNO9,https://doi.org/10.7910/DVN/TDWNO9,doi,10.7910,/,Harvard Dataverse,2019-04-30,s3://10.7910/DVN/TDWNO9,dataset,dataset
3393561,DVN/7HTIQ1,https://doi.org/10.7910/DVN/7HTIQ1,doi,10.7910,/,Harvard Dataverse,2019-08-05,s3://10.7910/DVN/7HTIQ1,dataset,dataset
3444023,DVN/JIJJYE,https://doi.org/10.7910/DVN/JIJJYE,doi,10.7910,/,Harvard Dataverse,2019-08-05,s3://10.7910/DVN/JIJJYE,dataset,dataset
3452254,DVN/HS2N6A,https://doi.org/10.7910/DVN/HS2N6A,doi,10.7910,/,Harvard Dataverse,2019-08-05,s3://10.7910/DVN/HS2N6A,dataset,dataset
3537144,DVN/CXOB4K,https://doi.org/10.7910/DVN/CXOB4K,doi,10.7910,/,Harvard Dataverse,2020-01-08,s3://10.7910/DVN/CXOB4K,dataset,dataset
3644467,DVN/5EKNJM,https://doi.org/10.7910/DVN/5EKNJM,doi,10.7910,/,Harvard Dataverse,2020-04-15,s3://10.7910/DVN/5EKNJM,dataset,dataset
4441531,DVN/L3W8XF,https://doi.org/10.7910/DVN/L3W8XF,doi,10.7910,/,Harvard Dataverse,2021-04-20,s3://10.7910/DVN/L3W8XF,dataset,dataset
4441534,DVN/TBIELH,https://doi.org/10.7910/DVN/TBIELH,doi,10.7910,/,Harvard Dataverse,2021-04-20,s3://10.7910/DVN/TBIELH,dataset,dataset
