id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
55856,DVN/NOCNU0,https://doi.org/10.7910/DVN/NOCNU0,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/NOCNU0,dataset,dataset
55857,DVN/8NIVGE,https://doi.org/10.7910/DVN/8NIVGE,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/8NIVGE,dataset,dataset
55858,DVN/2KI03M,https://doi.org/10.7910/DVN/2KI03M,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/2KI03M,dataset,dataset
55859,DVN/XSWKAW,https://doi.org/10.7910/DVN/XSWKAW,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/XSWKAW,dataset,dataset
55860,DVN/6CMHW7,https://doi.org/10.7910/DVN/6CMHW7,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://1902.1/10070,dataset,dataset
55861,DVN/HR9GDW,https://doi.org/10.7910/DVN/HR9GDW,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/HR9GDW,dataset,dataset
55862,DVN/HWCSL8,https://doi.org/10.7910/DVN/HWCSL8,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://10.7910/DVN/HWCSL8,dataset,dataset
55863,DVN/QDAGOB,https://doi.org/10.7910/DVN/QDAGOB,doi,10.7910,/,Harvard Dataverse,2008-04-18,s3://10.7910/DVN/QDAGOB,dataset,dataset
55864,DVN/KNKYMB,https://doi.org/10.7910/DVN/KNKYMB,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/KNKYMB,dataset,dataset
55865,DVN/FQNN62,https://doi.org/10.7910/DVN/FQNN62,doi,10.7910,/,Harvard Dataverse,2008-06-06,s3://10.7910/DVN/FQNN62,dataset,dataset
55866,DVN/BKJUDA,https://doi.org/10.7910/DVN/BKJUDA,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/BKJUDA,dataset,dataset
55867,DVN/0V0QRS,https://doi.org/10.7910/DVN/0V0QRS,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/0V0QRS,dataset,dataset
55868,DVN/ED3YHK,https://doi.org/10.7910/DVN/ED3YHK,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/ED3YHK,dataset,dataset
55869,DVN/UE5HBI,https://doi.org/10.7910/DVN/UE5HBI,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/UE5HBI,dataset,dataset
55870,DVN/PBK8DB,https://doi.org/10.7910/DVN/PBK8DB,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/PBK8DB,dataset,dataset
55871,DVN/R0JNJP,https://doi.org/10.7910/DVN/R0JNJP,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/R0JNJP,dataset,dataset
55872,DVN/MST7UF,https://doi.org/10.7910/DVN/MST7UF,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/MST7UF,dataset,dataset
55873,DVN/VA4DNX,https://doi.org/10.7910/DVN/VA4DNX,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://1902.1/12262,dataset,dataset
55874,DVN/IG1WQN,https://doi.org/10.7910/DVN/IG1WQN,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/IG1WQN,dataset,dataset
55875,DVN/ORTPNR,https://doi.org/10.7910/DVN/ORTPNR,doi,10.7910,/,Harvard Dataverse,2008-06-06,s3://10.7910/DVN/ORTPNR,dataset,dataset
55876,DVN/XCCACE,https://doi.org/10.7910/DVN/XCCACE,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/XCCACE,dataset,dataset
55877,DVN/ETMVGL,https://doi.org/10.7910/DVN/ETMVGL,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://1902.1/12270,dataset,dataset
55878,DVN/CZJ6W6,https://doi.org/10.7910/DVN/CZJ6W6,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/CZJ6W6,dataset,dataset
55879,DVN/HMKU95,https://doi.org/10.7910/DVN/HMKU95,doi,10.7910,/,Harvard Dataverse,2008-04-18,s3://1902.1/11379,dataset,dataset
55880,DVN/RBZIEC,https://doi.org/10.7910/DVN/RBZIEC,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://10.7910/DVN/RBZIEC,dataset,dataset
55881,DVN/CDFXAJ,https://doi.org/10.7910/DVN/CDFXAJ,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/CDFXAJ,dataset,dataset
55882,DVN/7P4QMZ,https://doi.org/10.7910/DVN/7P4QMZ,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/7P4QMZ,dataset,dataset
55883,DVN/WQXEML,https://doi.org/10.7910/DVN/WQXEML,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://10.7910/DVN/WQXEML,dataset,dataset
55884,DVN/OSQM4D,https://doi.org/10.7910/DVN/OSQM4D,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://10.7910/DVN/OSQM4D,dataset,dataset
55885,DVN/FFNJJP,https://doi.org/10.7910/DVN/FFNJJP,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/FFNJJP,dataset,dataset
55886,DVN/YHH30L,https://doi.org/10.7910/DVN/YHH30L,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/YHH30L,dataset,dataset
55887,DVN/4OTCJP,https://doi.org/10.7910/DVN/4OTCJP,doi,10.7910,/,Harvard Dataverse,2008-04-18,s3://10.7910/DVN/4OTCJP,dataset,dataset
55888,DVN/R1L6FS,https://doi.org/10.7910/DVN/R1L6FS,doi,10.7910,/,Harvard Dataverse,2009-01-12,s3://10.7910/DVN/R1L6FS,dataset,dataset
55889,DVN/SKVGMK,https://doi.org/10.7910/DVN/SKVGMK,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://1902.1/10031,dataset,dataset
55890,DVN/OEMQGQ,https://doi.org/10.7910/DVN/OEMQGQ,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/OEMQGQ,dataset,dataset
55891,DVN/41MI2U,https://doi.org/10.7910/DVN/41MI2U,doi,10.7910,/,Harvard Dataverse,2008-06-06,s3://10.7910/DVN/41MI2U,dataset,dataset
55892,DVN/O352HJ,https://doi.org/10.7910/DVN/O352HJ,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/O352HJ,dataset,dataset
55893,DVN/V6G2CC,https://doi.org/10.7910/DVN/V6G2CC,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/V6G2CC,dataset,dataset
55894,DVN/1GDHUK,https://doi.org/10.7910/DVN/1GDHUK,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/1GDHUK,dataset,dataset
55895,DVN/TR6EOM,https://doi.org/10.7910/DVN/TR6EOM,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/TR6EOM,dataset,dataset
55896,DVN/CQ1VB2,https://doi.org/10.7910/DVN/CQ1VB2,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/CQ1VB2,dataset,dataset
55897,DVN/07JMQS,https://doi.org/10.7910/DVN/07JMQS,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://1902.1/10062,dataset,dataset
55898,DVN/J4IWDO,https://doi.org/10.7910/DVN/J4IWDO,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/J4IWDO,dataset,dataset
55899,DVN/JAPXJZ,https://doi.org/10.7910/DVN/JAPXJZ,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/JAPXJZ,dataset,dataset
55900,DVN/DHSDFA,https://doi.org/10.7910/DVN/DHSDFA,doi,10.7910,/,Harvard Dataverse,2008-04-18,s3://10.7910/DVN/DHSDFA,dataset,dataset
55901,DVN/LLFJD0,https://doi.org/10.7910/DVN/LLFJD0,doi,10.7910,/,Harvard Dataverse,2007-11-28,s3://10.7910/DVN/LLFJD0,dataset,dataset
55902,DVN/OO3WK1,https://doi.org/10.7910/DVN/OO3WK1,doi,10.7910,/,Harvard Dataverse,2008-04-07,s3://10.7910/DVN/OO3WK1,dataset,dataset
