id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2692459,DVN/NMIVPK,https://doi.org/10.7910/DVN/NMIVPK,doi,10.7910,/,Harvard Dataverse,2015-07-08,s3://10.7910/DVN/NMIVPK,dataset,dataset
2692580,DVN/BXFTCZ,https://doi.org/10.7910/DVN/BXFTCZ,doi,10.7910,/,Harvard Dataverse,2015-07-08,s3://10.7910/DVN/BXFTCZ,dataset,dataset
2692584,DVN/TZ5MOZ,https://doi.org/10.7910/DVN/TZ5MOZ,doi,10.7910,/,Harvard Dataverse,2015-07-08,s3://10.7910/DVN/TZ5MOZ,dataset,dataset
2694271,DVN/QJGKBT,https://doi.org/10.7910/DVN/QJGKBT,doi,10.7910,/,Harvard Dataverse,2015-07-16,s3://10.7910/DVN/QJGKBT,dataset,dataset
2703867,DVN/5GLF9A,https://doi.org/10.7910/DVN/5GLF9A,doi,10.7910,/,Harvard Dataverse,2015-09-21,s3://10.7910/DVN/5GLF9A,dataset,dataset
2710638,DVN/EJ8MS6,https://doi.org/10.7910/DVN/EJ8MS6,doi,10.7910,/,Harvard Dataverse,2015-09-21,s3://10.7910/DVN/EJ8MS6,dataset,dataset
2733940,DVN/OYZFRY,https://doi.org/10.7910/DVN/OYZFRY,doi,10.7910,/,Harvard Dataverse,2016-03-29,s3://10.7910/DVN/OYZFRY,dataset,dataset
2734737,DVN/LW2KXB,https://doi.org/10.7910/DVN/LW2KXB,doi,10.7910,/,Harvard Dataverse,2016-03-29,s3://10.7910/DVN/LW2KXB,dataset,dataset
2738186,DVN/4OWQTP,https://doi.org/10.7910/DVN/4OWQTP,doi,10.7910,/,Harvard Dataverse,2016-03-29,s3://10.7910/DVN/4OWQTP,dataset,dataset
2791836,DVN/5ZXHV7,https://doi.org/10.7910/DVN/5ZXHV7,doi,10.7910,/,Harvard Dataverse,2016-12-01,s3://10.7910/DVN/5ZXHV7,dataset,dataset
2796310,DVN/FCMOFF,https://doi.org/10.7910/DVN/FCMOFF,doi,10.7910,/,Harvard Dataverse,2016-03-24,s3://10.7910/DVN/FCMOFF,dataset,dataset
