id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2804492,DVN/QUBHXU,https://doi.org/10.7910/DVN/QUBHXU,doi,10.7910,/,Harvard Dataverse,2016-04-25,s3://10.7910/DVN/QUBHXU,dataset,dataset
2809583,DVN/QXI3YX,https://doi.org/10.7910/DVN/QXI3YX,doi,10.7910,/,Harvard Dataverse,2016-05-05,s3://10.7910/DVN/QXI3YX,dataset,dataset
2910991,DVN/TBOHO2,https://doi.org/10.7910/DVN/TBOHO2,doi,10.7910,/,Harvard Dataverse,2016-10-31,s3://dvn-cloud:10.7910/DVN/TBOHO2,dataset,dataset
3018589,DVN/WZB1EN,https://doi.org/10.7910/DVN/WZB1EN,doi,10.7910,/,Harvard Dataverse,2018-01-29,s3://10.7910/DVN/WZB1EN,dataset,dataset
3124142,DVN/POOOI2,https://doi.org/10.7910/DVN/POOOI2,doi,10.7910,/,Harvard Dataverse,2020-12-31,s3://10.7910/DVN/POOOI2,dataset,dataset
3124146,DVN/ZXWNWY,https://doi.org/10.7910/DVN/ZXWNWY,doi,10.7910,/,Harvard Dataverse,2020-12-31,s3://10.7910/DVN/ZXWNWY,dataset,dataset
3137355,DVN/8FIENH,https://doi.org/10.7910/DVN/8FIENH,doi,10.7910,/,Harvard Dataverse,2018-03-27,s3://10.7910/DVN/8FIENH,dataset,dataset
3206820,DVN/2FM7Z3,https://doi.org/10.7910/DVN/2FM7Z3,doi,10.7910,/,Harvard Dataverse,2018-08-11,s3://10.7910/DVN/2FM7Z3,dataset,dataset
3206823,DVN/VFXPQG,https://doi.org/10.7910/DVN/VFXPQG,doi,10.7910,/,Harvard Dataverse,2018-08-11,s3://10.7910/DVN/VFXPQG,dataset,dataset
3207797,DVN/UAUEWV,https://doi.org/10.7910/DVN/UAUEWV,doi,10.7910,/,Harvard Dataverse,2018-08-15,s3://10.7910/DVN/UAUEWV,dataset,dataset
3239422,DVN/0SJ0YM,https://doi.org/10.7910/DVN/0SJ0YM,doi,10.7910,/,Harvard Dataverse,2018-10-11,s3://10.7910/DVN/0SJ0YM,dataset,dataset
3242477,DVN/MJG29U,https://doi.org/10.7910/DVN/MJG29U,doi,10.7910,/,Harvard Dataverse,2018-10-22,s3://10.7910/DVN/MJG29U,dataset,dataset
3242480,DVN/DYBF2Y,https://doi.org/10.7910/DVN/DYBF2Y,doi,10.7910,/,Harvard Dataverse,2018-10-22,s3://10.7910/DVN/DYBF2Y,dataset,dataset
3319999,DVN/FKDGRK,https://doi.org/10.7910/DVN/FKDGRK,doi,10.7910,/,Harvard Dataverse,2018-11-28,s3://10.7910/DVN/FKDGRK,dataset,dataset
3347083,DVN/OXIIDD,https://doi.org/10.7910/DVN/OXIIDD,doi,10.7910,/,Harvard Dataverse,2019-01-24,s3://10.7910/DVN/OXIIDD,dataset,dataset
3347538,DVN/ORDSAZ,https://doi.org/10.7910/DVN/ORDSAZ,doi,10.7910,/,Harvard Dataverse,2019-01-25,s3://10.7910/DVN/ORDSAZ,dataset,dataset
3347543,DVN/DZZY7G,https://doi.org/10.7910/DVN/DZZY7G,doi,10.7910,/,Harvard Dataverse,2019-01-25,s3://10.7910/DVN/DZZY7G,dataset,dataset
3348849,DVN/FBP74I,https://doi.org/10.7910/DVN/FBP74I,doi,10.7910,/,Harvard Dataverse,2019-01-29,s3://10.7910/DVN/FBP74I,dataset,dataset
3349426,DVN/T6RHOO,https://doi.org/10.7910/DVN/T6RHOO,doi,10.7910,/,Harvard Dataverse,2019-01-31,s3://10.7910/DVN/T6RHOO,dataset,dataset
3355574,DVN/WQWUAL,https://doi.org/10.7910/DVN/WQWUAL,doi,10.7910,/,Harvard Dataverse,2019-02-09,s3://10.7910/DVN/WQWUAL,dataset,dataset
3357633,DVN/0VIYXT,https://doi.org/10.7910/DVN/0VIYXT,doi,10.7910,/,Harvard Dataverse,2019-02-13,s3://10.7910/DVN/0VIYXT,dataset,dataset
3426331,DVN/WHBK7K,https://doi.org/10.7910/DVN/WHBK7K,doi,10.7910,/,Harvard Dataverse,2019-05-09,s3://10.7910/DVN/WHBK7K,dataset,dataset
3537152,DVN/CVBBDW,https://doi.org/10.7910/DVN/CVBBDW,doi,10.7910,/,Harvard Dataverse,2019-08-13,s3://10.7910/DVN/CVBBDW,dataset,dataset
3558682,DVN/WAO50W,https://doi.org/10.7910/DVN/WAO50W,doi,10.7910,/,Harvard Dataverse,2020-09-23,s3://10.7910/DVN/WAO50W,dataset,dataset
4086789,DVN/FNZICT,https://doi.org/10.7910/DVN/FNZICT,doi,10.7910,/,Harvard Dataverse,2020-09-23,s3://10.7910/DVN/FNZICT,dataset,dataset
4283393,DVN/9CR6Y9,https://doi.org/10.7910/DVN/9CR6Y9,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/9CR6Y9,dataset,dataset
4283395,DVN/ES00J3,https://doi.org/10.7910/DVN/ES00J3,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/ES00J3,dataset,dataset
4283400,DVN/JCKETS,https://doi.org/10.7910/DVN/JCKETS,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/JCKETS,dataset,dataset
4283409,DVN/NZXCT9,https://doi.org/10.7910/DVN/NZXCT9,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/NZXCT9,dataset,dataset
4283414,DVN/3GJUZM,https://doi.org/10.7910/DVN/3GJUZM,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/3GJUZM,dataset,dataset
4283417,DVN/HNOOQP,https://doi.org/10.7910/DVN/HNOOQP,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/HNOOQP,dataset,dataset
4283420,DVN/OBWYRN,https://doi.org/10.7910/DVN/OBWYRN,doi,10.7910,/,Harvard Dataverse,2021-01-02,s3://10.7910/DVN/OBWYRN,dataset,dataset
4285804,DVN/XXVI8G,https://doi.org/10.7910/DVN/XXVI8G,doi,10.7910,/,Harvard Dataverse,2021-01-04,s3://10.7910/DVN/XXVI8G,dataset,dataset
4285807,DVN/ACELL2,https://doi.org/10.7910/DVN/ACELL2,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/ACELL2,dataset,dataset
4285811,DVN/SDFOGJ,https://doi.org/10.7910/DVN/SDFOGJ,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/SDFOGJ,dataset,dataset
4285844,DVN/FTKSYZ,https://doi.org/10.7910/DVN/FTKSYZ,doi,10.7910,/,Harvard Dataverse,2021-01-04,s3://10.7910/DVN/FTKSYZ,dataset,dataset
4287085,DVN/RLVSNF,https://doi.org/10.7910/DVN/RLVSNF,doi,10.7910,/,Harvard Dataverse,2021-01-05,s3://10.7910/DVN/RLVSNF,dataset,dataset
4287093,DVN/YWEIX6,https://doi.org/10.7910/DVN/YWEIX6,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/YWEIX6,dataset,dataset
4302309,DVN/NGPLNC,https://doi.org/10.7910/DVN/NGPLNC,doi,10.7910,/,Harvard Dataverse,2021-01-15,s3://10.7910/DVN/NGPLNC,dataset,dataset
4304932,DVN/L0QWDP,https://doi.org/10.7910/DVN/L0QWDP,doi,10.7910,/,Harvard Dataverse,2021-01-19,s3://10.7910/DVN/L0QWDP,dataset,dataset
4329830,DVN/O7KM7E,https://doi.org/10.7910/DVN/O7KM7E,doi,10.7910,/,Harvard Dataverse,2021-02-17,s3://10.7910/DVN/O7KM7E,dataset,dataset
4460014,DVN/OEZKW4,https://doi.org/10.7910/DVN/OEZKW4,doi,10.7910,/,Harvard Dataverse,2021-03-29,s3://10.7910/DVN/OEZKW4,dataset,dataset
4460073,DVN/VCQOKM,https://doi.org/10.7910/DVN/VCQOKM,doi,10.7910,/,Harvard Dataverse,2021-03-29,s3://10.7910/DVN/VCQOKM,dataset,dataset
4466221,DVN/WKR2KV,https://doi.org/10.7910/DVN/WKR2KV,doi,10.7910,/,Harvard Dataverse,2021-03-29,s3://10.7910/DVN/WKR2KV,dataset,dataset
4491659,DVN/KMRWUS,https://doi.org/10.7910/DVN/KMRWUS,doi,10.7910,/,Harvard Dataverse,2021-04-15,s3://10.7910/DVN/KMRWUS,dataset,dataset
4498412,DVN/JJXMZW,https://doi.org/10.7910/DVN/JJXMZW,doi,10.7910,/,Harvard Dataverse,2021-04-06,s3://10.7910/DVN/JJXMZW,dataset,dataset
4512883,DVN/2YMJTX,https://doi.org/10.7910/DVN/2YMJTX,doi,10.7910,/,Harvard Dataverse,2021-04-15,s3://10.7910/DVN/2YMJTX,dataset,dataset
4599730,DVN/LCULHG,https://doi.org/10.7910/DVN/LCULHG,doi,10.7910,/,Harvard Dataverse,2021-04-28,s3://10.7910/DVN/LCULHG,dataset,dataset
4733684,DVN/U7LLAK,https://doi.org/10.7910/DVN/U7LLAK,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/U7LLAK,dataset,dataset
4750928,DVN/8GBLZV,https://doi.org/10.7910/DVN/8GBLZV,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/8GBLZV,dataset,dataset
4825096,DVN/OMEQT2,https://doi.org/10.7910/DVN/OMEQT2,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/OMEQT2,dataset,dataset
4880213,DVN/NDAAFU,https://doi.org/10.7910/DVN/NDAAFU,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/NDAAFU,dataset,dataset
4887710,DVN/ZSQ6O3,https://doi.org/10.7910/DVN/ZSQ6O3,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/ZSQ6O3,dataset,dataset
4971779,DVN/BVQFPO,https://doi.org/10.7910/DVN/BVQFPO,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/BVQFPO,dataset,dataset
5110297,DVN/MDHSXP,https://doi.org/10.7910/DVN/MDHSXP,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/MDHSXP,dataset,dataset
5137902,DVN/LT7EAC,https://doi.org/10.7910/DVN/LT7EAC,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/LT7EAC,dataset,dataset
5137956,DVN/QY5ZMS,https://doi.org/10.7910/DVN/QY5ZMS,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/QY5ZMS,dataset,dataset
5149295,DVN/CNOEJX,https://doi.org/10.7910/DVN/CNOEJX,doi,10.7910,/,Harvard Dataverse,2021-12-07,s3://10.7910/DVN/CNOEJX,dataset,dataset
