id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
66299,DVN/29108,https://doi.org/10.7910/DVN/29108,doi,10.7910,/,Harvard Dataverse,2015-02-13,s3://10.7910/DVN/29108,dataset,dataset
66300,DVN/29566,https://doi.org/10.7910/DVN/29566,doi,10.7910,/,Harvard Dataverse,2015-03-23,s3://10.7910/DVN/29566,dataset,dataset
66301,DVN/29446,https://doi.org/10.7910/DVN/29446,doi,10.7910,/,Harvard Dataverse,2015-03-10,s3://10.7910/DVN/29446,dataset,dataset
66302,DVN/29101,https://doi.org/10.7910/DVN/29101,doi,10.7910,/,Harvard Dataverse,2015-02-12,s3://10.7910/DVN/29101,dataset,dataset
66303,DVN/29487,https://doi.org/10.7910/DVN/29487,doi,10.7910,/,Harvard Dataverse,2015-03-17,s3://10.7910/DVN/29487,dataset,dataset
66304,DVN/29259,https://doi.org/10.7910/DVN/29259,doi,10.7910,/,Harvard Dataverse,2015-02-27,s3://10.7910/DVN/29259,dataset,dataset
66305,DVN/29231,https://doi.org/10.7910/DVN/29231,doi,10.7910,/,Harvard Dataverse,2015-02-25,s3://10.7910/DVN/29231,dataset,dataset
66306,DVN/29076,https://doi.org/10.7910/DVN/29076,doi,10.7910,/,Harvard Dataverse,2015-02-11,s3://10.7910/DVN/29076,dataset,dataset
66307,DVN/29743,https://doi.org/10.7910/DVN/29743,doi,10.7910,/,Harvard Dataverse,2015-04-03,s3://10.7910/DVN/29743,dataset,dataset
66308,DVN/29205,https://doi.org/10.7910/DVN/29205,doi,10.7910,/,Harvard Dataverse,2015-02-23,s3://10.7910/DVN/29205,dataset,dataset
66309,DVN/29026,https://doi.org/10.7910/DVN/29026,doi,10.7910,/,Harvard Dataverse,2015-02-05,s3://10.7910/DVN/29026,dataset,dataset
66310,DVN/29286,https://doi.org/10.7910/DVN/29286,doi,10.7910,/,Harvard Dataverse,2015-03-03,s3://10.7910/DVN/29286,dataset,dataset
66311,DVN/29427,https://doi.org/10.7910/DVN/29427,doi,10.7910,/,Harvard Dataverse,2015-03-09,s3://10.7910/DVN/29427,dataset,dataset
66312,DVN/28930,https://doi.org/10.7910/DVN/28930,doi,10.7910,/,Harvard Dataverse,2015-01-29,s3://10.7910/DVN/28930,dataset,dataset
66313,DVN/29314,https://doi.org/10.7910/DVN/29314,doi,10.7910,/,Harvard Dataverse,2015-03-06,s3://10.7910/DVN/29314,dataset,dataset
66314,DVN/29179,https://doi.org/10.7910/DVN/29179,doi,10.7910,/,Harvard Dataverse,2015-02-27,s3://10.7910/DVN/29179,dataset,dataset
66315,DVN/28929,https://doi.org/10.7910/DVN/28929,doi,10.7910,/,Harvard Dataverse,2015-01-30,s3://10.7910/DVN/28929,dataset,dataset
66316,DVN/29559,https://doi.org/10.7910/DVN/29559,doi,10.7910,/,Harvard Dataverse,2015-03-20,s3://10.7910/DVN/29559,dataset,dataset
66318,DVN/29117,https://doi.org/10.7910/DVN/29117,doi,10.7910,/,Harvard Dataverse,2015-02-13,s3://10.7910/DVN/29117,dataset,dataset
66319,DVN/29379,https://doi.org/10.7910/DVN/29379,doi,10.7910,/,Harvard Dataverse,2015-03-09,s3://10.7910/DVN/29379,dataset,dataset
2668847,DVN/DGHX1E,https://doi.org/10.7910/DVN/DGHX1E,doi,10.7910,/,Harvard Dataverse,2015-04-22,s3://10.7910/DVN/DGHX1E,dataset,dataset
2671182,DVN/PAKFM8,https://doi.org/10.7910/DVN/PAKFM8,doi,10.7910,/,Harvard Dataverse,2015-04-30,s3://10.7910/DVN/PAKFM8,dataset,dataset
2674233,DVN/GKWF0N,https://doi.org/10.7910/DVN/GKWF0N,doi,10.7910,/,Harvard Dataverse,2015-05-07,s3://10.7910/DVN/GKWF0N,dataset,dataset
