id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4434780,DVN/ECPBXD,https://doi.org/10.7910/DVN/ECPBXD,doi,10.7910,/,Harvard Dataverse,2021-04-20,s3://10.7910/DVN/ECPBXD,dataset,dataset
4620901,DVN/0KXQAK,https://doi.org/10.7910/DVN/0KXQAK,doi,10.7910,/,Harvard Dataverse,2021-05-04,s3://10.7910/DVN/0KXQAK,dataset,dataset
4806531,DVN/NASKWX,https://doi.org/10.7910/DVN/NASKWX,doi,10.7910,/,Harvard Dataverse,2021-06-16,s3://10.7910/DVN/NASKWX,dataset,dataset
4963018,DVN/KWKZ2C,https://doi.org/10.7910/DVN/KWKZ2C,doi,10.7910,/,Harvard Dataverse,2021-08-07,s3://10.7910/DVN/KWKZ2C,dataset,dataset
4972550,DVN/T01QZ3,https://doi.org/10.7910/DVN/T01QZ3,doi,10.7910,/,Harvard Dataverse,2021-08-12,s3://10.7910/DVN/T01QZ3,dataset,dataset
5378942,DVN/A3IWTT,https://doi.org/10.7910/DVN/A3IWTT,doi,10.7910,/,Harvard Dataverse,2021-11-10,s3://10.7910/DVN/A3IWTT,dataset,dataset
5612708,DVN/AFJBNX,https://doi.org/10.7910/DVN/AFJBNX,doi,10.7910,/,Harvard Dataverse,2021-12-04,s3://10.7910/DVN/AFJBNX,dataset,dataset
5618550,DVN/QVAKLO,https://doi.org/10.7910/DVN/QVAKLO,doi,10.7910,/,Harvard Dataverse,2021-12-13,s3://10.7910/DVN/QVAKLO,dataset,dataset
5741299,DVN/R31MC2,https://doi.org/10.7910/DVN/R31MC2,doi,10.7910,/,Harvard Dataverse,2022-01-12,s3://10.7910/DVN/R31MC2,dataset,dataset
5858489,DVN/CLJHWO,https://doi.org/10.7910/DVN/CLJHWO,doi,10.7910,/,Harvard Dataverse,2022-02-09,s3://10.7910/DVN/CLJHWO,dataset,dataset
5863368,DVN/0ILLXT,https://doi.org/10.7910/DVN/0ILLXT,doi,10.7910,/,Harvard Dataverse,2022-02-11,s3://10.7910/DVN/0ILLXT,dataset,dataset
6321871,DVN/RCWNKU,https://doi.org/10.7910/DVN/RCWNKU,doi,10.7910,/,Harvard Dataverse,2022-06-15,s3://10.7910/DVN/RCWNKU,dataset,dataset
6336423,DVN/ZXFJKH,https://doi.org/10.7910/DVN/ZXFJKH,doi,10.7910,/,Harvard Dataverse,2022-07-24,s3://10.7910/DVN/ZXFJKH,dataset,dataset
6388416,DVN/28M7YG,https://doi.org/10.7910/DVN/28M7YG,doi,10.7910,/,Harvard Dataverse,2022-07-20,s3://10.7910/DVN/28M7YG,dataset,dataset
6702522,DVN/RNDZS3,https://doi.org/10.7910/DVN/RNDZS3,doi,10.7910,/,Harvard Dataverse,2022-11-12,s3://10.7910/DVN/RNDZS3,dataset,dataset
6896678,DVN/NJQ95L,https://doi.org/10.7910/DVN/NJQ95L,doi,10.7910,/,Harvard Dataverse,2023-01-17,s3://10.7910/DVN/NJQ95L,dataset,dataset
6971486,DVN/UG0LGE,https://doi.org/10.7910/DVN/UG0LGE,doi,10.7910,/,Harvard Dataverse,2023-03-08,s3://10.7910/DVN/UG0LGE,dataset,dataset
6979945,DVN/RD5C66,https://doi.org/10.7910/DVN/RD5C66,doi,10.7910,/,Harvard Dataverse,2023-03-12,s3://10.7910/DVN/RD5C66,dataset,dataset
7094831,DVN/W02COQ,https://doi.org/10.7910/DVN/W02COQ,doi,10.7910,/,Harvard Dataverse,2023-05-08,s3://10.7910/DVN/W02COQ,dataset,dataset
7101454,DVN/B2BISA,https://doi.org/10.7910/DVN/B2BISA,doi,10.7910,/,Harvard Dataverse,2023-05-11,s3://10.7910/DVN/B2BISA,dataset,dataset
