id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3204533,DVN/ALFLK6,https://doi.org/10.7910/DVN/ALFLK6,doi,10.7910,/,Harvard Dataverse,2018-08-07,s3://10.7910/DVN/ALFLK6,dataset,dataset
3204598,DVN/X3ZNP8,https://doi.org/10.7910/DVN/X3ZNP8,doi,10.7910,/,Harvard Dataverse,2018-08-07,s3://10.7910/DVN/X3ZNP8,dataset,dataset
3208153,DVN/2AQ0RX,https://doi.org/10.7910/DVN/2AQ0RX,doi,10.7910,/,Harvard Dataverse,2020-06-17,s3://10.7910/DVN/2AQ0RX,dataset,dataset
3214164,DVN/DFGVTD,https://doi.org/10.7910/DVN/DFGVTD,doi,10.7910,/,Harvard Dataverse,2020-11-14,s3://10.7910/DVN/DFGVTD,dataset,dataset
3227753,DVN/OESR62,https://doi.org/10.7910/DVN/OESR62,doi,10.7910,/,Harvard Dataverse,2018-09-23,s3://10.7910/DVN/OESR62,dataset,dataset
3234420,DVN/D9H5LH,https://doi.org/10.7910/DVN/D9H5LH,doi,10.7910,/,Harvard Dataverse,2018-10-04,s3://10.7910/DVN/D9H5LH,dataset,dataset
3320323,DVN/FXKNCC,https://doi.org/10.7910/DVN/FXKNCC,doi,10.7910,/,Harvard Dataverse,2020-11-14,s3://10.7910/DVN/FXKNCC,dataset,dataset
3355628,DVN/6QE7NN,https://doi.org/10.7910/DVN/6QE7NN,doi,10.7910,/,Harvard Dataverse,2019-02-10,s3://10.7910/DVN/6QE7NN,dataset,dataset
3355850,DVN/754J03,https://doi.org/10.7910/DVN/754J03,doi,10.7910,/,Harvard Dataverse,2019-08-06,s3://10.7910/DVN/754J03,dataset,dataset
3409511,DVN/LGBXWX,https://doi.org/10.7910/DVN/LGBXWX,doi,10.7910,/,Harvard Dataverse,2019-04-16,s3://10.7910/DVN/LGBXWX,dataset,dataset
3427122,DVN/0K6LWF,https://doi.org/10.7910/DVN/0K6LWF,doi,10.7910,/,Harvard Dataverse,2019-05-12,s3://10.7910/DVN/0K6LWF,dataset,dataset
3441652,DVN/IWMH4T,https://doi.org/10.7910/DVN/IWMH4T,doi,10.7910,/,Harvard Dataverse,2019-06-01,s3://10.7910/DVN/IWMH4T,dataset,dataset
3451047,DVN/OVSONU,https://doi.org/10.7910/DVN/OVSONU,doi,10.7910,/,Harvard Dataverse,2020-11-14,s3://10.7910/DVN/OVSONU,dataset,dataset
3452316,DVN/XHGDPA,https://doi.org/10.7910/DVN/XHGDPA,doi,10.7910,/,Harvard Dataverse,2019-06-18,s3://10.7910/DVN/XHGDPA,dataset,dataset
3462600,DVN/SGXVVT,https://doi.org/10.7910/DVN/SGXVVT,doi,10.7910,/,Harvard Dataverse,2019-07-03,s3://10.7910/DVN/SGXVVT,dataset,dataset
3555971,DVN/HVMSDE,https://doi.org/10.7910/DVN/HVMSDE,doi,10.7910,/,Harvard Dataverse,2019-09-04,s3://10.7910/DVN/HVMSDE,dataset,dataset
3582410,DVN/D6YWGL,https://doi.org/10.7910/DVN/D6YWGL,doi,10.7910,/,Harvard Dataverse,2019-09-18,s3://10.7910/DVN/D6YWGL,dataset,dataset
3597698,DVN/HVYB4W,https://doi.org/10.7910/DVN/HVYB4W,doi,10.7910,/,Harvard Dataverse,2020-11-14,s3://10.7910/DVN/HVYB4W,dataset,dataset
