id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4416922,DVN/YEUHVM,https://doi.org/10.7910/DVN/YEUHVM,doi,10.7910,/,Harvard Dataverse,2021-02-26,s3://10.7910/DVN/YEUHVM,dataset,dataset
4468005,DVN/1NQPEZ,https://doi.org/10.7910/DVN/1NQPEZ,doi,10.7910,/,Harvard Dataverse,2021-03-31,s3://10.7910/DVN/1NQPEZ,dataset,dataset
4513192,DVN/LIGARA,https://doi.org/10.7910/DVN/LIGARA,doi,10.7910,/,Harvard Dataverse,2021-04-22,s3://10.7910/DVN/LIGARA,dataset,dataset
4574061,DVN/6ZYXML,https://doi.org/10.7910/DVN/6ZYXML,doi,10.7910,/,Harvard Dataverse,2021-04-22,s3://10.7910/DVN/6ZYXML,dataset,dataset
4600575,DVN/WOO84X,https://doi.org/10.7910/DVN/WOO84X,doi,10.7910,/,Harvard Dataverse,2021-05-06,s3://10.7910/DVN/WOO84X,dataset,dataset
4788758,DVN/CA49EU,https://doi.org/10.7910/DVN/CA49EU,doi,10.7910,/,Harvard Dataverse,2021-07-08,s3://10.7910/DVN/CA49EU,dataset,dataset
5420049,DVN/UVSSNN,https://doi.org/10.7910/DVN/UVSSNN,doi,10.7910,/,Harvard Dataverse,2021-12-03,s3://10.7910/DVN/UVSSNN,dataset,dataset
5616370,DVN/XDN7ZU,https://doi.org/10.7910/DVN/XDN7ZU,doi,10.7910,/,Harvard Dataverse,2022-04-19,s3://10.7910/DVN/XDN7ZU,dataset,dataset
5707064,DVN/ON64O7,https://doi.org/10.7910/DVN/ON64O7,doi,10.7910,/,Harvard Dataverse,2022-01-27,s3://10.7910/DVN/ON64O7,dataset,dataset
6023965,DVN/9SVDSC,https://doi.org/10.7910/DVN/9SVDSC,doi,10.7910,/,Harvard Dataverse,2022-03-25,s3://10.7910/DVN/9SVDSC,dataset,dataset
6078168,DVN/3MFCSF,https://doi.org/10.7910/DVN/3MFCSF,doi,10.7910,/,Harvard Dataverse,2022-05-01,s3://10.7910/DVN/3MFCSF,dataset,dataset
6166570,DVN/WLPPRE,https://doi.org/10.7910/DVN/WLPPRE,doi,10.7910,/,Harvard Dataverse,2022-05-01,s3://10.7910/DVN/WLPPRE,dataset,dataset
6179358,DVN/HGYXKL,https://doi.org/10.7910/DVN/HGYXKL,doi,10.7910,/,Harvard Dataverse,2022-08-21,s3://10.7910/DVN/HGYXKL,dataset,dataset
6359695,DVN/ITHPKV,https://doi.org/10.7910/DVN/ITHPKV,doi,10.7910,/,Harvard Dataverse,2022-08-21,s3://10.7910/DVN/ITHPKV,dataset,dataset
6370131,DVN/SQSNFY,https://doi.org/10.7910/DVN/SQSNFY,doi,10.7910,/,Harvard Dataverse,2022-08-21,s3://10.7910/DVN/SQSNFY,dataset,dataset
6434649,DVN/GJBK15,https://doi.org/10.7910/DVN/GJBK15,doi,10.7910,/,Harvard Dataverse,2022-11-04,s3://10.7910/DVN/GJBK15,dataset,dataset
6457688,DVN/TMVUAN,https://doi.org/10.7910/DVN/TMVUAN,doi,10.7910,/,Harvard Dataverse,2022-09-12,s3://10.7910/DVN/TMVUAN,dataset,dataset
6673138,DVN/4AACQE,https://doi.org/10.7910/DVN/4AACQE,doi,10.7910,/,Harvard Dataverse,2022-12-22,s3://10.7910/DVN/4AACQE,dataset,dataset
6689133,DVN/ZT9R5W,https://doi.org/10.7910/DVN/ZT9R5W,doi,10.7910,/,Harvard Dataverse,2022-12-22,s3://10.7910/DVN/ZT9R5W,dataset,dataset
6714136,DVN/H6RNW3,https://doi.org/10.7910/DVN/H6RNW3,doi,10.7910,/,Harvard Dataverse,2023-01-07,s3://10.7910/DVN/H6RNW3,dataset,dataset
6900439,DVN/OPMHRS,https://doi.org/10.7910/DVN/OPMHRS,doi,10.7910,/,Harvard Dataverse,2023-02-15,s3://10.7910/DVN/OPMHRS,dataset,dataset
7084528,DVN/Q05W7G,https://doi.org/10.7910/DVN/Q05W7G,doi,10.7910,/,Harvard Dataverse,2023-06-29,s3://10.7910/DVN/Q05W7G,dataset,dataset
7236236,DVN/IPRSTZ,https://doi.org/10.7910/DVN/IPRSTZ,doi,10.7910,/,Harvard Dataverse,2023-07-09,s3://10.7910/DVN/IPRSTZ,dataset,dataset
7280201,DVN/Q2WLFS,https://doi.org/10.7910/DVN/Q2WLFS,doi,10.7910,/,Harvard Dataverse,2023-10-17,s3://10.7910/DVN/Q2WLFS,dataset,dataset
7280272,DVN/C5GTZV,https://doi.org/10.7910/DVN/C5GTZV,doi,10.7910,/,Harvard Dataverse,2023-10-17,s3://10.7910/DVN/C5GTZV,dataset,dataset
7339941,DVN/H7OKEJ,https://doi.org/10.7910/DVN/H7OKEJ,doi,10.7910,/,Harvard Dataverse,2023-10-17,s3://10.7910/DVN/H7OKEJ,dataset,dataset
7449975,DVN/JLHLJG,https://doi.org/10.7910/DVN/JLHLJG,doi,10.7910,/,Harvard Dataverse,2023-10-17,s3://10.7910/DVN/JLHLJG,dataset,dataset
7673933,DVN/RQQE0O,https://doi.org/10.7910/DVN/RQQE0O,doi,10.7910,/,Harvard Dataverse,2024-02-23,s3://10.7910/DVN/RQQE0O,dataset,dataset
8118709,DVN/DJ989N,https://doi.org/10.7910/DVN/DJ989N,doi,10.7910,/,Harvard Dataverse,2024-02-23,s3://10.7910/DVN/DJ989N,dataset,dataset
10101161,DVN/BWYGKL,https://doi.org/10.7910/DVN/BWYGKL,doi,10.7910,/,Harvard Dataverse,2024-04-11,s3://10.7910/DVN/BWYGKL,dataset,dataset
10224842,DVN/SSTKS8,https://doi.org/10.7910/DVN/SSTKS8,doi,10.7910,/,Harvard Dataverse,2024-07-12,s3://10.7910/DVN/SSTKS8,dataset,dataset
10422112,DVN/5EP8XS,https://doi.org/10.7910/DVN/5EP8XS,doi,10.7910,/,Harvard Dataverse,2024-08-11,s3://10.7910/DVN/5EP8XS,dataset,dataset
10547922,DVN/BGT4ZB,https://doi.org/10.7910/DVN/BGT4ZB,doi,10.7910,/,Harvard Dataverse,2025-07-03,s3://10.7910/DVN/BGT4ZB,dataset,dataset
11225785,DVN/T7QTAY,https://doi.org/10.7910/DVN/T7QTAY,doi,10.7910,/,Harvard Dataverse,2025-05-20,s3://10.7910/DVN/T7QTAY,dataset,dataset
11647367,DVN/MIYFN4,https://doi.org/10.7910/DVN/MIYFN4,doi,10.7910,/,Harvard Dataverse,2025-08-11,s3://10.7910/DVN/MIYFN4,dataset,dataset
11809370,DVN/KGMIB3,https://doi.org/10.7910/DVN/KGMIB3,doi,10.7910,/,Harvard Dataverse,2025-08-11,s3://10.7910/DVN/KGMIB3,dataset,dataset
13163505,DVN/ZWXLEO,https://doi.org/10.7910/DVN/ZWXLEO,doi,10.7910,/,Harvard Dataverse,2025-12-05,s3://10.7910/DVN/ZWXLEO,dataset,dataset
