id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
47572,DVN/KUE8ZX,https://doi.org/10.7910/DVN/KUE8ZX,doi,10.7910,/,Harvard Dataverse,2011-03-13,s3://1902.1/15633,dataset,dataset
47573,DVN/28575,https://doi.org/10.7910/DVN/28575,doi,10.7910,/,Harvard Dataverse,2015-01-21,s3://10.7910/DVN/28575,dataset,dataset
47574,DVN/K8FN9V,https://doi.org/10.7910/DVN/K8FN9V,doi,10.7910,/,Harvard Dataverse,2011-03-15,s3://10.7910/DVN/K8FN9V,dataset,dataset
47575,DVN/ZUXL7C,https://doi.org/10.7910/DVN/ZUXL7C,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14001,dataset,dataset
47576,DVN/UCFNHX,https://doi.org/10.7910/DVN/UCFNHX,doi,10.7910,/,Harvard Dataverse,2013-07-09,s3://10.7910/DVN/UCFNHX,dataset,dataset
47577,DVN/H2BRR1,https://doi.org/10.7910/DVN/H2BRR1,doi,10.7910,/,Harvard Dataverse,2013-07-23,s3://10.7910/DVN/H2BRR1,dataset,dataset
47578,DVN/4C5GJN,https://doi.org/10.7910/DVN/4C5GJN,doi,10.7910,/,Harvard Dataverse,2009-12-21,s3://10.7910/DVN/4C5GJN,dataset,dataset
47579,DVN/GB1ROX,https://doi.org/10.7910/DVN/GB1ROX,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/13979,dataset,dataset
47580,DVN/O4PJRG,https://doi.org/10.7910/DVN/O4PJRG,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14257,dataset,dataset
47581,DVN/GIJFIK,https://doi.org/10.7910/DVN/GIJFIK,doi,10.7910,/,Harvard Dataverse,2011-06-16,s3://10.7910/DVN/GIJFIK,dataset,dataset
47582,DVN/2PISVQ,https://doi.org/10.7910/DVN/2PISVQ,doi,10.7910,/,Harvard Dataverse,2011-11-22,s3://10.7910/DVN/2PISVQ,dataset,dataset
47583,DVN/M3GYD0,https://doi.org/10.7910/DVN/M3GYD0,doi,10.7910,/,Harvard Dataverse,2012-09-10,s3://10.7910/DVN/M3GYD0,dataset,dataset
47584,DVN/PCPVWB,https://doi.org/10.7910/DVN/PCPVWB,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/14255,dataset,dataset
47585,DVN/5TYA0H,https://doi.org/10.7910/DVN/5TYA0H,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14254,dataset,dataset
47586,DVN/DBLESX,https://doi.org/10.7910/DVN/DBLESX,doi,10.7910,/,Harvard Dataverse,2011-03-09,s3://10.7910/DVN/DBLESX,dataset,dataset
47587,DVN/PNZI2S,https://doi.org/10.7910/DVN/PNZI2S,doi,10.7910,/,Harvard Dataverse,2010-02-24,s3://1902.1/14315,dataset,dataset
47588,DVN/DQC9KV,https://doi.org/10.7910/DVN/DQC9KV,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/14271,dataset,dataset
47589,DVN/PXM0ES,https://doi.org/10.7910/DVN/PXM0ES,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/14267,dataset,dataset
47590,DVN/PWU257,https://doi.org/10.7910/DVN/PWU257,doi,10.7910,/,Harvard Dataverse,2012-05-29,s3://1902.1/18182,dataset,dataset
47591,DVN/HQ3I8K,https://doi.org/10.7910/DVN/HQ3I8K,doi,10.7910,/,Harvard Dataverse,2011-08-31,s3://10.7910/DVN/HQ3I8K,dataset,dataset
47592,DVN/HJCPDK,https://doi.org/10.7910/DVN/HJCPDK,doi,10.7910,/,Harvard Dataverse,2011-12-27,s3://10.7910/DVN/HJCPDK,dataset,dataset
47593,DVN/23248,https://doi.org/10.7910/DVN/23248,doi,10.7910,/,Harvard Dataverse,2013-12-02,s3://10.7910/DVN/23248,dataset,dataset
47594,DVN/23025,https://doi.org/10.7910/DVN/23025,doi,10.7910,/,Harvard Dataverse,2014-07-29,s3://10.7910/DVN/23025,dataset,dataset
47595,DVN/KLW6KY,https://doi.org/10.7910/DVN/KLW6KY,doi,10.7910,/,Harvard Dataverse,2012-01-10,s3://10.7910/DVN/KLW6KY,dataset,dataset
47596,DVN/25430,https://doi.org/10.7910/DVN/25430,doi,10.7910,/,Harvard Dataverse,2014-04-08,s3://10.7910/DVN/25430,dataset,dataset
47597,DVN/IGWWFE,https://doi.org/10.7910/DVN/IGWWFE,doi,10.7910,/,Harvard Dataverse,2010-03-11,s3://1902.1/14394,dataset,dataset
47598,DVN/5DL20N,https://doi.org/10.7910/DVN/5DL20N,doi,10.7910,/,Harvard Dataverse,2009-12-21,s3://10.7910/DVN/5DL20N,dataset,dataset
47599,DVN/26966,https://doi.org/10.7910/DVN/26966,doi,10.7910,/,Harvard Dataverse,2014-08-15,s3://10.7910/DVN/26966,dataset,dataset
47600,DVN/IVOFSM,https://doi.org/10.7910/DVN/IVOFSM,doi,10.7910,/,Harvard Dataverse,2012-04-17,s3://10.7910/DVN/IVOFSM,dataset,dataset
47601,DVN/23773,https://doi.org/10.7910/DVN/23773,doi,10.7910,/,Harvard Dataverse,2013-12-16,s3://10.7910/DVN/23773,dataset,dataset
47603,DVN/BZZM2E,https://doi.org/10.7910/DVN/BZZM2E,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://1902.1/14364,dataset,dataset
47605,DVN/23107,https://doi.org/10.7910/DVN/23107,doi,10.7910,/,Harvard Dataverse,2013-11-21,s3://10.7910/DVN/23107,dataset,dataset
47606,DVN/FKAQXS,https://doi.org/10.7910/DVN/FKAQXS,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://1902.1/14363,dataset,dataset
47607,DVN/AX9NVH,https://doi.org/10.7910/DVN/AX9NVH,doi,10.7910,/,Harvard Dataverse,2013-11-13,s3://10.7910/DVN/AX9NVH,dataset,dataset
47608,DVN/RXPLJ6,https://doi.org/10.7910/DVN/RXPLJ6,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14252,dataset,dataset
47609,DVN/X8MGC3,https://doi.org/10.7910/DVN/X8MGC3,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/14265,dataset,dataset
47610,DVN/Z90FRS,https://doi.org/10.7910/DVN/Z90FRS,doi,10.7910,/,Harvard Dataverse,2011-04-16,s3://10.7910/DVN/Z90FRS,dataset,dataset
47611,DVN/G4EH2B,https://doi.org/10.7910/DVN/G4EH2B,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://10.7910/DVN/G4EH2B,dataset,dataset
47612,DVN/AIVBZQ,https://doi.org/10.7910/DVN/AIVBZQ,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14264,dataset,dataset
47613,DVN/29488,https://doi.org/10.7910/DVN/29488,doi,10.7910,/,Harvard Dataverse,2015-03-19,s3://10.7910/DVN/29488,dataset,dataset
47614,DVN/24274,https://doi.org/10.7910/DVN/24274,doi,10.7910,/,Harvard Dataverse,2014-01-22,s3://10.7910/DVN/24274,dataset,dataset
47615,DVN/WS0OLY,https://doi.org/10.7910/DVN/WS0OLY,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://1902.1/14289,dataset,dataset
47616,DVN/VOSEXQ,https://doi.org/10.7910/DVN/VOSEXQ,doi,10.7910,/,Harvard Dataverse,2011-10-28,s3://10.7910/DVN/VOSEXQ,dataset,dataset
47617,DVN/S38FOU,https://doi.org/10.7910/DVN/S38FOU,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/14352,dataset,dataset
47618,DVN/4KJZJL,https://doi.org/10.7910/DVN/4KJZJL,doi,10.7910,/,Harvard Dataverse,2011-10-13,s3://10.7910/DVN/4KJZJL,dataset,dataset
47619,DVN/24094,https://doi.org/10.7910/DVN/24094,doi,10.7910,/,Harvard Dataverse,2014-01-21,s3://10.7910/DVN/24094,dataset,dataset
47620,DVN/KGAYVB,https://doi.org/10.7910/DVN/KGAYVB,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14208,dataset,dataset
47621,DVN/JDZ3P5,https://doi.org/10.7910/DVN/JDZ3P5,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/13967,dataset,dataset
47622,DVN/PJ7CVB,https://doi.org/10.7910/DVN/PJ7CVB,doi,10.7910,/,Harvard Dataverse,2009-12-21,s3://10.7910/DVN/PJ7CVB,dataset,dataset
47624,DVN/ECFTA0,https://doi.org/10.7910/DVN/ECFTA0,doi,10.7910,/,Harvard Dataverse,2012-10-17,s3://10.7910/DVN/ECFTA0,dataset,dataset
47625,DVN/HUPTER,https://doi.org/10.7910/DVN/HUPTER,doi,10.7910,/,Harvard Dataverse,2011-06-07,s3://1902.1/16052,dataset,dataset
47626,DVN/KVL45X,https://doi.org/10.7910/DVN/KVL45X,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://10.7910/DVN/KVL45X,dataset,dataset
47627,DVN/TS0UJQ,https://doi.org/10.7910/DVN/TS0UJQ,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/11197,dataset,dataset
47628,DVN/RRDHGR,https://doi.org/10.7910/DVN/RRDHGR,doi,10.7910,/,Harvard Dataverse,2013-09-12,s3://10.7910/DVN/RRDHGR,dataset,dataset
47629,DVN/BUNHD4,https://doi.org/10.7910/DVN/BUNHD4,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14200,dataset,dataset
47630,DVN/CSYEPJ,https://doi.org/10.7910/DVN/CSYEPJ,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://1902.1/14288,dataset,dataset
47631,DVN/QFNUJO,https://doi.org/10.7910/DVN/QFNUJO,doi,10.7910,/,Harvard Dataverse,2010-03-04,s3://1902.1/14273,dataset,dataset
47632,DVN/LNAQQF,https://doi.org/10.7910/DVN/LNAQQF,doi,10.7910,/,Harvard Dataverse,2012-04-20,s3://10.7910/DVN/LNAQQF,dataset,dataset
47633,DVN/09YAWL,https://doi.org/10.7910/DVN/09YAWL,doi,10.7910,/,Harvard Dataverse,2010-03-11,s3://1902.1/14403,dataset,dataset
47636,DVN/TMWJYL,https://doi.org/10.7910/DVN/TMWJYL,doi,10.7910,/,Harvard Dataverse,2011-06-24,s3://10.7910/DVN/TMWJYL,dataset,dataset
47637,DVN/SVYYAP,https://doi.org/10.7910/DVN/SVYYAP,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://10.7910/DVN/SVYYAP,dataset,dataset
47638,DVN/T7MJHV,https://doi.org/10.7910/DVN/T7MJHV,doi,10.7910,/,Harvard Dataverse,2013-07-24,s3://10.7910/DVN/T7MJHV,dataset,dataset
47639,DVN/F06OSQ,https://doi.org/10.7910/DVN/F06OSQ,doi,10.7910,/,Harvard Dataverse,2010-02-18,s3://10.7910/DVN/F06OSQ,dataset,dataset
47640,DVN/LJGY40,https://doi.org/10.7910/DVN/LJGY40,doi,10.7910,/,Harvard Dataverse,2010-03-11,s3://1902.1/14401,dataset,dataset
47641,DVN/22893,https://doi.org/10.7910/DVN/22893,doi,10.7910,/,Harvard Dataverse,2013-10-31,s3://10.7910/DVN/22893,dataset,dataset
47642,DVN/1SUXPY,https://doi.org/10.7910/DVN/1SUXPY,doi,10.7910,/,Harvard Dataverse,2010-03-08,s3://10.7910/DVN/1SUXPY,dataset,dataset
47643,DVN/V3OMR2,https://doi.org/10.7910/DVN/V3OMR2,doi,10.7910,/,Harvard Dataverse,2011-12-06,s3://10.7910/DVN/V3OMR2,dataset,dataset
47644,DVN/OMXKJQ,https://doi.org/10.7910/DVN/OMXKJQ,doi,10.7910,/,Harvard Dataverse,2009-12-21,s3://10.7910/DVN/OMXKJQ,dataset,dataset
47645,DVN/MEQCZU,https://doi.org/10.7910/DVN/MEQCZU,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14262,dataset,dataset
47646,DVN/NMMYYW,https://doi.org/10.7910/DVN/NMMYYW,doi,10.7910,/,Harvard Dataverse,2011-03-02,s3://10.7910/DVN/NMMYYW,dataset,dataset
47647,DVN/H3XPCI,https://doi.org/10.7910/DVN/H3XPCI,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/14263,dataset,dataset
47648,DVN/24672,https://doi.org/10.7910/DVN/24672,doi,10.7910,/,Harvard Dataverse,2014-02-07,s3://10.7910/DVN/24672,dataset,dataset
47649,DVN/29603,https://doi.org/10.7910/DVN/29603,doi,10.7910,/,Harvard Dataverse,2015-03-25,s3://10.7910/DVN/29603,dataset,dataset
47650,DVN/UT9WBM,https://doi.org/10.7910/DVN/UT9WBM,doi,10.7910,/,Harvard Dataverse,2010-03-11,s3://10.7910/DVN/UT9WBM,dataset,dataset
47651,DVN/23113,https://doi.org/10.7910/DVN/23113,doi,10.7910,/,Harvard Dataverse,2013-11-08,s3://10.7910/DVN/23113,dataset,dataset
47652,DVN/MVSBR0,https://doi.org/10.7910/DVN/MVSBR0,doi,10.7910,/,Harvard Dataverse,2013-06-15,s3://10.7910/DVN/MVSBR0,dataset,dataset
47653,DVN/QWPDQJ,https://doi.org/10.7910/DVN/QWPDQJ,doi,10.7910,/,Harvard Dataverse,2013-02-28,s3://10.7910/DVN/QWPDQJ,dataset,dataset
47654,DVN/DRTT1H,https://doi.org/10.7910/DVN/DRTT1H,doi,10.7910,/,Harvard Dataverse,2010-02-16,s3://1902.1/11199,dataset,dataset
47655,DVN/EMUICK,https://doi.org/10.7910/DVN/EMUICK,doi,10.7910,/,Harvard Dataverse,2012-10-17,s3://10.7910/DVN/EMUICK,dataset,dataset
