id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3124089,DVN/LOUVM2,https://doi.org/10.7910/DVN/LOUVM2,doi,10.7910,/,Harvard Dataverse,2018-02-22,s3://10.7910/DVN/LOUVM2,dataset,dataset
3126548,DVN/L2GSK6,https://doi.org/10.7910/DVN/L2GSK6,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/L2GSK6,dataset,dataset
3126566,DVN/TZTW1J,https://doi.org/10.7910/DVN/TZTW1J,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/TZTW1J,dataset,dataset
3126580,DVN/4S83QX,https://doi.org/10.7910/DVN/4S83QX,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/4S83QX,dataset,dataset
3126599,DVN/BYC7DS,https://doi.org/10.7910/DVN/BYC7DS,doi,10.7910,/,Harvard Dataverse,2018-02-22,s3://10.7910/DVN/BYC7DS,dataset,dataset
3126638,DVN/PBACES,https://doi.org/10.7910/DVN/PBACES,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/PBACES,dataset,dataset
3126987,DVN/L1E3F6,https://doi.org/10.7910/DVN/L1E3F6,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/L1E3F6,dataset,dataset
3127903,DVN/WGMX7V,https://doi.org/10.7910/DVN/WGMX7V,doi,10.7910,/,Harvard Dataverse,2018-02-22,s3://10.7910/DVN/WGMX7V,dataset,dataset
3128451,DVN/CC8VFT,https://doi.org/10.7910/DVN/CC8VFT,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/CC8VFT,dataset,dataset
3129662,DVN/SLXBX2,https://doi.org/10.7910/DVN/SLXBX2,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/SLXBX2,dataset,dataset
3137682,DVN/1WDVZB,https://doi.org/10.7910/DVN/1WDVZB,doi,10.7910,/,Harvard Dataverse,2018-08-30,s3://10.7910/DVN/1WDVZB,dataset,dataset
3141415,DVN/Z09KDS,https://doi.org/10.7910/DVN/Z09KDS,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/Z09KDS,dataset,dataset
3141774,DVN/MWGOZS,https://doi.org/10.7910/DVN/MWGOZS,doi,10.7910,/,Harvard Dataverse,2018-08-30,s3://10.7910/DVN/MWGOZS,dataset,dataset
3143653,DVN/QOOFYS,https://doi.org/10.7910/DVN/QOOFYS,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/QOOFYS,dataset,dataset
3143735,DVN/VZSO5S,https://doi.org/10.7910/DVN/VZSO5S,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/VZSO5S,dataset,dataset
3154029,DVN/1KYJ3N,https://doi.org/10.7910/DVN/1KYJ3N,doi,10.7910,/,Harvard Dataverse,2019-02-15,s3://10.7910/DVN/1KYJ3N,dataset,dataset
3157902,DVN/Q8YTNL,https://doi.org/10.7910/DVN/Q8YTNL,doi,10.7910,/,Harvard Dataverse,2018-08-30,s3://10.7910/DVN/Q8YTNL,dataset,dataset
3180799,DVN/UGKVTJ,https://doi.org/10.7910/DVN/UGKVTJ,doi,10.7910,/,Harvard Dataverse,2018-10-31,s3://10.7910/DVN/UGKVTJ,dataset,dataset
3181239,DVN/RRF7EU,https://doi.org/10.7910/DVN/RRF7EU,doi,10.7910,/,Harvard Dataverse,2019-02-15,s3://10.7910/DVN/RRF7EU,dataset,dataset
3182108,DVN/QTWGXI,https://doi.org/10.7910/DVN/QTWGXI,doi,10.7910,/,Harvard Dataverse,2019-02-15,s3://10.7910/DVN/QTWGXI,dataset,dataset
3182434,DVN/V1OVVA,https://doi.org/10.7910/DVN/V1OVVA,doi,10.7910,/,Harvard Dataverse,2019-02-15,s3://10.7910/DVN/V1OVVA,dataset,dataset
3185124,DVN/HM5XCO,https://doi.org/10.7910/DVN/HM5XCO,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/HM5XCO,dataset,dataset
3205162,DVN/KE2AQU,https://doi.org/10.7910/DVN/KE2AQU,doi,10.7910,/,Harvard Dataverse,2019-02-15,s3://10.7910/DVN/KE2AQU,dataset,dataset
3212883,DVN/YFQE9W,https://doi.org/10.7910/DVN/YFQE9W,doi,10.7910,/,Harvard Dataverse,2019-03-26,s3://10.7910/DVN/YFQE9W,dataset,dataset
3213871,DVN/IB504I,https://doi.org/10.7910/DVN/IB504I,doi,10.7910,/,Harvard Dataverse,2019-03-27,s3://10.7910/DVN/IB504I,dataset,dataset
3213887,DVN/IEMA1T,https://doi.org/10.7910/DVN/IEMA1T,doi,10.7910,/,Harvard Dataverse,2018-10-31,s3://10.7910/DVN/IEMA1T,dataset,dataset
3220732,DVN/CNTPVV,https://doi.org/10.7910/DVN/CNTPVV,doi,10.7910,/,Harvard Dataverse,2019-03-27,s3://10.7910/DVN/CNTPVV,dataset,dataset
3226235,DVN/ZELWZ7,https://doi.org/10.7910/DVN/ZELWZ7,doi,10.7910,/,Harvard Dataverse,2019-11-18,s3://10.7910/DVN/ZELWZ7,dataset,dataset
