type,id,title,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType
dataverse,2715959,"Replication data for: ""Intra-Party Politics and Public Opinion: How Candidate Selection Processes affect Citizens' Satisfaction with Democracy"" Dataverse",,,,,,,,,
dataverse,2892146,Clifford and Piston Disgust and Opinion About Homelessness Policy Dataverse,,,,,,,,,
dataset,2710805,,DVN/MCMKKT,https://doi.org/10.7910/DVN/MCMKKT,doi,10.7910,/,Harvard Dataverse,2015-09-22,s3://10.7910/DVN/MCMKKT,dataset
dataset,2711360,,DVN/JC2QJ0,https://doi.org/10.7910/DVN/JC2QJ0,doi,10.7910,/,Harvard Dataverse,2018-04-14,s3://10.7910/DVN/JC2QJ0,dataset
dataset,2711909,,DVN/12SK8B,https://doi.org/10.7910/DVN/12SK8B,doi,10.7910,/,Harvard Dataverse,2015-10-08,s3://10.7910/DVN/12SK8B,dataset
dataset,2712052,,DVN/B9OYRP,https://doi.org/10.7910/DVN/B9OYRP,doi,10.7910,/,Harvard Dataverse,2015-10-07,s3://10.7910/DVN/B9OYRP,dataset
dataset,2717180,,DVN/KJCN21,https://doi.org/10.7910/DVN/KJCN21,doi,10.7910,/,Harvard Dataverse,2016-07-22,s3://10.7910/DVN/KJCN21,dataset
dataset,2719088,,DVN/MFJMQN,https://doi.org/10.7910/DVN/MFJMQN,doi,10.7910,/,Harvard Dataverse,2015-10-26,s3://10.7910/DVN/MFJMQN,dataset
dataset,2728461,,DVN/5JS2AB,https://doi.org/10.7910/DVN/5JS2AB,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/5JS2AB,dataset
dataset,2745523,,DVN/2B9T2H,https://doi.org/10.7910/DVN/2B9T2H,doi,10.7910,/,Harvard Dataverse,2015-12-18,s3://10.7910/DVN/2B9T2H,dataset
dataset,2769716,,DVN/C5OXWN,https://doi.org/10.7910/DVN/C5OXWN,doi,10.7910,/,Harvard Dataverse,2016-01-04,s3://10.7910/DVN/C5OXWN,dataset
dataset,2784419,,DVN/MCV1LU,https://doi.org/10.7910/DVN/MCV1LU,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/MCV1LU,dataset
dataset,2796151,,DVN/PEXMHA,https://doi.org/10.7910/DVN/PEXMHA,doi,10.7910,/,Harvard Dataverse,2016-03-24,s3://10.7910/DVN/PEXMHA,dataset
dataset,2797846,,DVN/XIPZQT,https://doi.org/10.7910/DVN/XIPZQT,doi,10.7910,/,Harvard Dataverse,2016-03-29,s3://10.7910/DVN/XIPZQT,dataset
dataset,2809490,,DVN/D155SP,https://doi.org/10.7910/DVN/D155SP,doi,10.7910,/,Harvard Dataverse,2016-11-18,s3://10.7910/DVN/D155SP,dataset
dataset,2826346,,DVN/NBTRGA,https://doi.org/10.7910/DVN/NBTRGA,doi,10.7910,/,Harvard Dataverse,2016-05-26,s3://10.7910/DVN/NBTRGA,dataset
dataset,2829686,,DVN/TGKZ2T,https://doi.org/10.7910/DVN/TGKZ2T,doi,10.7910,/,Harvard Dataverse,2016-05-18,s3://10.7910/DVN/TGKZ2T,dataset
dataset,2836406,,DVN/XFHBPO,https://doi.org/10.7910/DVN/XFHBPO,doi,10.7910,/,Harvard Dataverse,2016-05-26,s3://10.7910/DVN/XFHBPO,dataset
dataset,2839516,,DVN/EXVUEA,https://doi.org/10.7910/DVN/EXVUEA,doi,10.7910,/,Harvard Dataverse,2016-06-06,s3://10.7910/DVN/EXVUEA,dataset
dataset,2841388,,DVN/CEAAAT,https://doi.org/10.7910/DVN/CEAAAT,doi,10.7910,/,Harvard Dataverse,2016-06-16,s3://10.7910/DVN/CEAAAT,dataset
dataset,2848223,,DVN/SING1G,https://doi.org/10.7910/DVN/SING1G,doi,10.7910,/,Harvard Dataverse,2016-06-30,s3://10.7910/DVN/SING1G,dataset
dataset,2851414,,DVN/NW4LIO,https://doi.org/10.7910/DVN/NW4LIO,doi,10.7910,/,Harvard Dataverse,2016-07-11,s3://10.7910/DVN/NW4LIO,dataset
dataset,2851666,,DVN/UYUZYA,https://doi.org/10.7910/DVN/UYUZYA,doi,10.7910,/,Harvard Dataverse,2016-07-13,s3://10.7910/DVN/UYUZYA,dataset
dataset,2853238,,DVN/QGEQCQ,https://doi.org/10.7910/DVN/QGEQCQ,doi,10.7910,/,Harvard Dataverse,2016-11-07,s3://10.7910/DVN/QGEQCQ,dataset
dataset,2862402,,DVN/DIIQF7,https://doi.org/10.7910/DVN/DIIQF7,doi,10.7910,/,Harvard Dataverse,2016-08-02,s3://10.7910/DVN/DIIQF7,dataset
dataset,2865305,,DVN/EDEJND,https://doi.org/10.7910/DVN/EDEJND,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/EDEJND,dataset
dataset,2865471,,DVN/SCN9LA,https://doi.org/10.7910/DVN/SCN9LA,doi,10.7910,/,Harvard Dataverse,2016-11-16,s3://10.7910/DVN/SCN9LA,dataset
dataset,2886123,,DVN/G7EOGT,https://doi.org/10.7910/DVN/G7EOGT,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/G7EOGT,dataset
dataset,2887406,,DVN/BP5G4Q,https://doi.org/10.7910/DVN/BP5G4Q,doi,10.7910,/,Harvard Dataverse,2016-09-25,s3://10.7910/DVN/BP5G4Q,dataset
dataset,2887441,,DVN/ERNXOP,https://doi.org/10.7910/DVN/ERNXOP,doi,10.7910,/,Harvard Dataverse,2016-09-26,s3://10.7910/DVN/ERNXOP,dataset
dataset,2902783,,DVN/5VJF4S,https://doi.org/10.7910/DVN/5VJF4S,doi,10.7910,/,Harvard Dataverse,2016-10-14,s3://10.7910/DVN/5VJF4S,dataset
dataset,2908476,,DVN/T5FLOH,https://doi.org/10.7910/DVN/T5FLOH,doi,10.7910,/,Harvard Dataverse,2016-10-26,s3://10.7910/DVN/T5FLOH,dataset
dataset,2962621,,DVN/MBAVJW,https://doi.org/10.7910/DVN/MBAVJW,doi,10.7910,/,Harvard Dataverse,2016-12-03,s3://10.7910/DVN/MBAVJW,dataset
dataset,2963367,,DVN/P9SUH8,https://doi.org/10.7910/DVN/P9SUH8,doi,10.7910,/,Harvard Dataverse,2016-12-08,s3://10.7910/DVN/P9SUH8,dataset
dataset,2968461,,DVN/XCLNIE,https://doi.org/10.7910/DVN/XCLNIE,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/XCLNIE,dataset
dataset,2969994,,DVN/AHUIEC,https://doi.org/10.7910/DVN/AHUIEC,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/AHUIEC,dataset
dataset,2970234,,DVN/HRUGSI,https://doi.org/10.7910/DVN/HRUGSI,doi,10.7910,/,Harvard Dataverse,2017-01-12,s3://10.7910/DVN/HRUGSI,dataset
dataset,2970342,,DVN/SGKPSH,https://doi.org/10.7910/DVN/SGKPSH,doi,10.7910,/,Harvard Dataverse,2017-01-13,s3://10.7910/DVN/SGKPSH,dataset
