id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3644631,DVN/L55JBL,https://doi.org/10.7910/DVN/L55JBL,doi,10.7910,/,Harvard Dataverse,2019-12-11,s3://10.7910/DVN/L55JBL,dataset,dataset
3723145,DVN/6XCLRY,https://doi.org/10.7910/DVN/6XCLRY,doi,10.7910,/,Harvard Dataverse,2020-02-13,s3://10.7910/DVN/6XCLRY,dataset,dataset
3830868,DVN/3DIX8E,https://doi.org/10.7910/DVN/3DIX8E,doi,10.7910,/,Harvard Dataverse,2020-05-11,s3://10.7910/DVN/3DIX8E,dataset,dataset
3835325,DVN/B3Y1GZ,https://doi.org/10.7910/DVN/B3Y1GZ,doi,10.7910,/,Harvard Dataverse,2020-05-19,s3://10.7910/DVN/B3Y1GZ,dataset,dataset
3852340,DVN/5UVZOS,https://doi.org/10.7910/DVN/5UVZOS,doi,10.7910,/,Harvard Dataverse,2020-05-28,s3://10.7910/DVN/5UVZOS,dataset,dataset
3875187,DVN/TL3BLS,https://doi.org/10.7910/DVN/TL3BLS,doi,10.7910,/,Harvard Dataverse,2020-06-17,s3://10.7910/DVN/TL3BLS,dataset,dataset
3979532,DVN/D2PMWV,https://doi.org/10.7910/DVN/D2PMWV,doi,10.7910,/,Harvard Dataverse,2020-07-15,s3://10.7910/DVN/D2PMWV,dataset,dataset
3984559,DVN/DVBL0A,https://doi.org/10.7910/DVN/DVBL0A,doi,10.7910,/,Harvard Dataverse,2020-07-15,s3://10.7910/DVN/DVBL0A,dataset,dataset
3994244,DVN/2ASZ9B,https://doi.org/10.7910/DVN/2ASZ9B,doi,10.7910,/,Harvard Dataverse,2020-07-27,s3://10.7910/DVN/2ASZ9B,dataset,dataset
3997608,DVN/JYJBPG,https://doi.org/10.7910/DVN/JYJBPG,doi,10.7910,/,Harvard Dataverse,2020-07-30,s3://10.7910/DVN/JYJBPG,dataset,dataset
4026520,DVN/T6FKLQ,https://doi.org/10.7910/DVN/T6FKLQ,doi,10.7910,/,Harvard Dataverse,2020-08-17,s3://10.7910/DVN/T6FKLQ,dataset,dataset
4027307,DVN/JCO5EI,https://doi.org/10.7910/DVN/JCO5EI,doi,10.7910,/,Harvard Dataverse,2020-08-17,s3://10.7910/DVN/JCO5EI,dataset,dataset
4031676,DVN/ZHYKSD,https://doi.org/10.7910/DVN/ZHYKSD,doi,10.7910,/,Harvard Dataverse,2020-08-24,s3://10.7910/DVN/ZHYKSD,dataset,dataset
4034064,DVN/NAH0FD,https://doi.org/10.7910/DVN/NAH0FD,doi,10.7910,/,Harvard Dataverse,2020-08-26,s3://10.7910/DVN/NAH0FD,dataset,dataset
4034452,DVN/S1594S,https://doi.org/10.7910/DVN/S1594S,doi,10.7910,/,Harvard Dataverse,2020-08-26,s3://10.7910/DVN/S1594S,dataset,dataset
4034563,DVN/RLECFV,https://doi.org/10.7910/DVN/RLECFV,doi,10.7910,/,Harvard Dataverse,2020-08-26,s3://10.7910/DVN/RLECFV,dataset,dataset
4034577,DVN/MHUC8C,https://doi.org/10.7910/DVN/MHUC8C,doi,10.7910,/,Harvard Dataverse,2020-08-26,s3://10.7910/DVN/MHUC8C,dataset,dataset
4034647,DVN/IBFHRE,https://doi.org/10.7910/DVN/IBFHRE,doi,10.7910,/,Harvard Dataverse,2020-09-23,s3://10.7910/DVN/IBFHRE,dataset,dataset
4034694,DVN/ADMBN9,https://doi.org/10.7910/DVN/ADMBN9,doi,10.7910,/,Harvard Dataverse,2020-08-27,s3://10.7910/DVN/ADMBN9,dataset,dataset
4034887,DVN/A3PNXK,https://doi.org/10.7910/DVN/A3PNXK,doi,10.7910,/,Harvard Dataverse,2020-08-27,s3://10.7910/DVN/A3PNXK,dataset,dataset
4060797,DVN/JYIZ73,https://doi.org/10.7910/DVN/JYIZ73,doi,10.7910,/,Harvard Dataverse,2020-09-08,s3://10.7910/DVN/JYIZ73,dataset,dataset
4064799,DVN/6GWHQB,https://doi.org/10.7910/DVN/6GWHQB,doi,10.7910,/,Harvard Dataverse,2020-09-18,s3://10.7910/DVN/6GWHQB,dataset,dataset
4076070,DVN/PGBDNS,https://doi.org/10.7910/DVN/PGBDNS,doi,10.7910,/,Harvard Dataverse,2020-09-18,s3://10.7910/DVN/PGBDNS,dataset,dataset
4077806,DVN/OGTHTO,https://doi.org/10.7910/DVN/OGTHTO,doi,10.7910,/,Harvard Dataverse,2020-09-18,s3://10.7910/DVN/OGTHTO,dataset,dataset
4082632,DVN/QUPBSR,https://doi.org/10.7910/DVN/QUPBSR,doi,10.7910,/,Harvard Dataverse,2020-09-23,s3://10.7910/DVN/QUPBSR,dataset,dataset
4082641,DVN/NQWLFH,https://doi.org/10.7910/DVN/NQWLFH,doi,10.7910,/,Harvard Dataverse,2020-09-23,s3://10.7910/DVN/NQWLFH,dataset,dataset
4104199,DVN/FVKAGM,https://doi.org/10.7910/DVN/FVKAGM,doi,10.7910,/,Harvard Dataverse,2020-10-05,s3://10.7910/DVN/FVKAGM,dataset,dataset
4142652,DVN/CJQROH,https://doi.org/10.7910/DVN/CJQROH,doi,10.7910,/,Harvard Dataverse,2020-10-16,s3://10.7910/DVN/CJQROH,dataset,dataset
4145106,DVN/MSC8DO,https://doi.org/10.7910/DVN/MSC8DO,doi,10.7910,/,Harvard Dataverse,2021-02-18,s3://10.7910/DVN/MSC8DO,dataset,dataset
4145731,DVN/PXLWBZ,https://doi.org/10.7910/DVN/PXLWBZ,doi,10.7910,/,Harvard Dataverse,2021-02-09,s3://10.7910/DVN/PXLWBZ,dataset,dataset
4152759,DVN/1VCMGG,https://doi.org/10.7910/DVN/1VCMGG,doi,10.7910,/,Harvard Dataverse,2021-01-21,s3://10.7910/DVN/1VCMGG,dataset,dataset
4298585,DVN/7HRZOW,https://doi.org/10.7910/DVN/7HRZOW,doi,10.7910,/,Harvard Dataverse,2021-01-22,s3://10.7910/DVN/7HRZOW,dataset,dataset
4306459,DVN/TQYV0I,https://doi.org/10.7910/DVN/TQYV0I,doi,10.7910,/,Harvard Dataverse,2021-01-22,s3://10.7910/DVN/TQYV0I,dataset,dataset
4361806,DVN/21CU9M,https://doi.org/10.7910/DVN/21CU9M,doi,10.7910,/,Harvard Dataverse,2021-04-06,s3://10.7910/DVN/21CU9M,dataset,dataset
4382915,DVN/EM2GAO,https://doi.org/10.7910/DVN/EM2GAO,doi,10.7910,/,Harvard Dataverse,2021-02-17,s3://10.7910/DVN/EM2GAO,dataset,dataset
4411752,DVN/JLLFGK,https://doi.org/10.7910/DVN/JLLFGK,doi,10.7910,/,Harvard Dataverse,2021-02-22,s3://10.7910/DVN/JLLFGK,dataset,dataset
4416674,DVN/VCFQDZ,https://doi.org/10.7910/DVN/VCFQDZ,doi,10.7910,/,Harvard Dataverse,2021-02-22,s3://10.7910/DVN/VCFQDZ,dataset,dataset
4422602,DVN/X0NO0K,https://doi.org/10.7910/DVN/X0NO0K,doi,10.7910,/,Harvard Dataverse,2021-02-26,s3://10.7910/DVN/X0NO0K,dataset,dataset
4463179,DVN/KAPQWT,https://doi.org/10.7910/DVN/KAPQWT,doi,10.7910,/,Harvard Dataverse,2021-03-23,s3://10.7910/DVN/KAPQWT,dataset,dataset
4514883,DVN/YRSZNE,https://doi.org/10.7910/DVN/YRSZNE,doi,10.7910,/,Harvard Dataverse,2021-04-12,s3://10.7910/DVN/YRSZNE,dataset,dataset
4570462,DVN/PUYM1K,https://doi.org/10.7910/DVN/PUYM1K,doi,10.7910,/,Harvard Dataverse,2021-04-22,s3://10.7910/DVN/PUYM1K,dataset,dataset
4639350,DVN/DGQ73Y,https://doi.org/10.7910/DVN/DGQ73Y,doi,10.7910,/,Harvard Dataverse,2021-05-14,s3://10.7910/DVN/DGQ73Y,dataset,dataset
4793753,DVN/BSQWOU,https://doi.org/10.7910/DVN/BSQWOU,doi,10.7910,/,Harvard Dataverse,2021-06-16,s3://10.7910/DVN/BSQWOU,dataset,dataset
4808201,DVN/KHLK5S,https://doi.org/10.7910/DVN/KHLK5S,doi,10.7910,/,Harvard Dataverse,2021-06-24,s3://10.7910/DVN/KHLK5S,dataset,dataset
4808464,DVN/WVTI2K,https://doi.org/10.7910/DVN/WVTI2K,doi,10.7910,/,Harvard Dataverse,2021-06-22,s3://10.7910/DVN/WVTI2K,dataset,dataset
4808512,DVN/EDTKNW,https://doi.org/10.7910/DVN/EDTKNW,doi,10.7910,/,Harvard Dataverse,2021-06-22,s3://10.7910/DVN/EDTKNW,dataset,dataset
4811062,DVN/KWTJJV,https://doi.org/10.7910/DVN/KWTJJV,doi,10.7910,/,Harvard Dataverse,2021-06-24,s3://10.7910/DVN/KWTJJV,dataset,dataset
4815148,DVN/M2SCN0,https://doi.org/10.7910/DVN/M2SCN0,doi,10.7910,/,Harvard Dataverse,2021-06-30,s3://10.7910/DVN/M2SCN0,dataset,dataset
4822992,DVN/LMDUEQ,https://doi.org/10.7910/DVN/LMDUEQ,doi,10.7910,/,Harvard Dataverse,2021-06-24,s3://10.7910/DVN/LMDUEQ,dataset,dataset
4826285,DVN/KCMSB0,https://doi.org/10.7910/DVN/KCMSB0,doi,10.7910,/,Harvard Dataverse,2021-06-25,s3://10.7910/DVN/KCMSB0,dataset,dataset
4871328,DVN/YEFLJZ,https://doi.org/10.7910/DVN/YEFLJZ,doi,10.7910,/,Harvard Dataverse,2021-07-06,s3://10.7910/DVN/YEFLJZ,dataset,dataset
4899130,DVN/IJUVUG,https://doi.org/10.7910/DVN/IJUVUG,doi,10.7910,/,Harvard Dataverse,2021-07-26,s3://10.7910/DVN/IJUVUG,dataset,dataset
4899561,DVN/XAXMVK,https://doi.org/10.7910/DVN/XAXMVK,doi,10.7910,/,Harvard Dataverse,2021-07-19,s3://10.7910/DVN/XAXMVK,dataset,dataset
4915870,DVN/JQLNCT,https://doi.org/10.7910/DVN/JQLNCT,doi,10.7910,/,Harvard Dataverse,2021-07-26,s3://10.7910/DVN/JQLNCT,dataset,dataset
4962901,DVN/C5FOW7,https://doi.org/10.7910/DVN/C5FOW7,doi,10.7910,/,Harvard Dataverse,2021-08-09,s3://10.7910/DVN/C5FOW7,dataset,dataset
