id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
2804943,DVN/M2GAZN,https://doi.org/10.7910/DVN/M2GAZN,doi,10.7910,/,Harvard Dataverse,2017-01-12,s3://10.7910/DVN/M2GAZN,dataset,dataset
2839356,DVN/GDFBG1,https://doi.org/10.7910/DVN/GDFBG1,doi,10.7910,/,Harvard Dataverse,2017-01-12,s3://10.7910/DVN/GDFBG1,dataset,dataset
3021659,DVN/DUPJLM,https://doi.org/10.7910/DVN/DUPJLM,doi,10.7910,/,Harvard Dataverse,2017-07-12,s3://10.7910/DVN/DUPJLM,dataset,dataset
3021688,DVN/FEDKGY,https://doi.org/10.7910/DVN/FEDKGY,doi,10.7910,/,Harvard Dataverse,2017-08-09,s3://10.7910/DVN/FEDKGY,dataset,dataset
3021704,DVN/KHNXYJ,https://doi.org/10.7910/DVN/KHNXYJ,doi,10.7910,/,Harvard Dataverse,2017-08-09,file,dataset,dataset
3021875,DVN/FGRWIG,https://doi.org/10.7910/DVN/FGRWIG,doi,10.7910,/,Harvard Dataverse,2017-08-30,file,dataset,dataset
3021893,DVN/53F81R,https://doi.org/10.7910/DVN/53F81R,doi,10.7910,/,Harvard Dataverse,2017-08-07,s3://10.7910/DVN/53F81R,dataset,dataset
3021965,DVN/1HUQRM,https://doi.org/10.7910/DVN/1HUQRM,doi,10.7910,/,Harvard Dataverse,2017-08-07,s3://10.7910/DVN/1HUQRM,dataset,dataset
3021969,DVN/LLARSN,https://doi.org/10.7910/DVN/LLARSN,doi,10.7910,/,Harvard Dataverse,2017-08-09,s3://10.7910/DVN/LLARSN,dataset,dataset
3021972,DVN/CYPKZH,https://doi.org/10.7910/DVN/CYPKZH,doi,10.7910,/,Harvard Dataverse,2017-08-08,s3://10.7910/DVN/CYPKZH,dataset,dataset
3030586,DVN/67KTKX,https://doi.org/10.7910/DVN/67KTKX,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/67KTKX,dataset,dataset
3033756,DVN/TJ0NZZ,https://doi.org/10.7910/DVN/TJ0NZZ,doi,10.7910,/,Harvard Dataverse,2017-08-08,file,dataset,dataset
3036062,DVN/QZU6HZ,https://doi.org/10.7910/DVN/QZU6HZ,doi,10.7910,/,Harvard Dataverse,2017-08-08,s3://10.7910/DVN/QZU6HZ,dataset,dataset
3036221,DVN/MO6RJT,https://doi.org/10.7910/DVN/MO6RJT,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/MO6RJT,dataset,dataset
3036349,DVN/VPHMNT,https://doi.org/10.7910/DVN/VPHMNT,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/VPHMNT,dataset,dataset
3036354,DVN/PI7RWJ,https://doi.org/10.7910/DVN/PI7RWJ,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/PI7RWJ,dataset,dataset
3042663,DVN/LD67JZ,https://doi.org/10.7910/DVN/LD67JZ,doi,10.7910,/,Harvard Dataverse,2017-08-24,s3://10.7910/DVN/LD67JZ,dataset,dataset
3042762,DVN/8YZT9K,https://doi.org/10.7910/DVN/8YZT9K,doi,10.7910,/,Harvard Dataverse,2017-08-12,s3://10.7910/DVN/8YZT9K,dataset,dataset
3042907,DVN/VWDGHT,https://doi.org/10.7910/DVN/VWDGHT,doi,10.7910,/,Harvard Dataverse,2017-09-01,s3://10.7910/DVN/VWDGHT,dataset,dataset
3043057,DVN/MLOGDL,https://doi.org/10.7910/DVN/MLOGDL,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/MLOGDL,dataset,dataset
3043060,DVN/WCHA2J,https://doi.org/10.7910/DVN/WCHA2J,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/WCHA2J,dataset,dataset
3044328,DVN/JA8CFG,https://doi.org/10.7910/DVN/JA8CFG,doi,10.7910,/,Harvard Dataverse,2017-08-30,s3://10.7910/DVN/JA8CFG,dataset,dataset
3049140,DVN/OJFYSR,https://doi.org/10.7910/DVN/OJFYSR,doi,10.7910,/,Harvard Dataverse,2018-01-22,s3://10.7910/DVN/OJFYSR,dataset,dataset
3049180,DVN/F4WUD6,https://doi.org/10.7910/DVN/F4WUD6,doi,10.7910,/,Harvard Dataverse,2017-10-17,s3://10.7910/DVN/F4WUD6,dataset,dataset
3050550,DVN/MTVM5O,https://doi.org/10.7910/DVN/MTVM5O,doi,10.7910,/,Harvard Dataverse,2017-10-17,s3://10.7910/DVN/MTVM5O,dataset,dataset
3055396,DVN/VUUZJK,https://doi.org/10.7910/DVN/VUUZJK,doi,10.7910,/,Harvard Dataverse,2017-10-17,s3://10.7910/DVN/VUUZJK,dataset,dataset
3055401,DVN/SLXCUJ,https://doi.org/10.7910/DVN/SLXCUJ,doi,10.7910,/,Harvard Dataverse,2017-10-01,s3://10.7910/DVN/SLXCUJ,dataset,dataset
3055403,DVN/DWPXXT,https://doi.org/10.7910/DVN/DWPXXT,doi,10.7910,/,Harvard Dataverse,2017-10-17,s3://10.7910/DVN/DWPXXT,dataset,dataset
3056539,DVN/XAR1WZ,https://doi.org/10.7910/DVN/XAR1WZ,doi,10.7910,/,Harvard Dataverse,2017-10-17,s3://10.7910/DVN/XAR1WZ,dataset,dataset
3074436,DVN/TNCU8K,https://doi.org/10.7910/DVN/TNCU8K,doi,10.7910,/,Harvard Dataverse,2017-11-07,s3://10.7910/DVN/TNCU8K,dataset,dataset
3074671,DVN/SH1KE7,https://doi.org/10.7910/DVN/SH1KE7,doi,10.7910,/,Harvard Dataverse,2017-11-09,s3://10.7910/DVN/SH1KE7,dataset,dataset
3079381,DVN/IPIBQP,https://doi.org/10.7910/DVN/IPIBQP,doi,10.7910,/,Harvard Dataverse,2017-11-16,s3://10.7910/DVN/IPIBQP,dataset,dataset
3088121,DVN/UXMULN,https://doi.org/10.7910/DVN/UXMULN,doi,10.7910,/,Harvard Dataverse,2017-12-08,s3://10.7910/DVN/UXMULN,dataset,dataset
3088130,DVN/5ZX8ZI,https://doi.org/10.7910/DVN/5ZX8ZI,doi,10.7910,/,Harvard Dataverse,2017-12-11,s3://10.7910/DVN/5ZX8ZI,dataset,dataset
3088142,DVN/O0FPHS,https://doi.org/10.7910/DVN/O0FPHS,doi,10.7910,/,Harvard Dataverse,2017-12-08,s3://10.7910/DVN/O0FPHS,dataset,dataset
3094540,DVN/DBITKA,https://doi.org/10.7910/DVN/DBITKA,doi,10.7910,/,Harvard Dataverse,2017-12-30,s3://10.7910/DVN/DBITKA,dataset,dataset
3097318,DVN/Y954OM,https://doi.org/10.7910/DVN/Y954OM,doi,10.7910,/,Harvard Dataverse,2018-01-07,s3://10.7910/DVN/Y954OM,dataset,dataset
3106693,DVN/HZOXKN,https://doi.org/10.7910/DVN/HZOXKN,doi,10.7910,/,Harvard Dataverse,2018-01-18,s3://10.7910/DVN/HZOXKN,dataset,dataset
3106799,DVN/NDPRGO,https://doi.org/10.7910/DVN/NDPRGO,doi,10.7910,/,Harvard Dataverse,2018-01-18,s3://10.7910/DVN/NDPRGO,dataset,dataset
3108249,DVN/CEMFTJ,https://doi.org/10.7910/DVN/CEMFTJ,doi,10.7910,/,Harvard Dataverse,2018-01-24,s3://10.7910/DVN/CEMFTJ,dataset,dataset
3108481,DVN/RJIUNE,https://doi.org/10.7910/DVN/RJIUNE,doi,10.7910,/,Harvard Dataverse,2018-04-10,s3://10.7910/DVN/RJIUNE,dataset,dataset
3126206,DVN/QULALN,https://doi.org/10.7910/DVN/QULALN,doi,10.7910,/,Harvard Dataverse,2018-05-18,s3://10.7910/DVN/QULALN,dataset,dataset
3144789,DVN/KE9TEQ,https://doi.org/10.7910/DVN/KE9TEQ,doi,10.7910,/,Harvard Dataverse,2018-04-21,s3://10.7910/DVN/KE9TEQ,dataset,dataset
3154922,DVN/HH8DV4,https://doi.org/10.7910/DVN/HH8DV4,doi,10.7910,/,Harvard Dataverse,2018-05-18,s3://10.7910/DVN/HH8DV4,dataset,dataset
3155568,DVN/REUOXC,https://doi.org/10.7910/DVN/REUOXC,doi,10.7910,/,Harvard Dataverse,2018-05-22,s3://10.7910/DVN/REUOXC,dataset,dataset
3157547,DVN/4PJ6GS,https://doi.org/10.7910/DVN/4PJ6GS,doi,10.7910,/,Harvard Dataverse,2018-05-29,s3://10.7910/DVN/4PJ6GS,dataset,dataset
3178860,DVN/JOZY2I,https://doi.org/10.7910/DVN/JOZY2I,doi,10.7910,/,Harvard Dataverse,2018-06-20,s3://10.7910/DVN/JOZY2I,dataset,dataset
3179975,DVN/WRSSWP,https://doi.org/10.7910/DVN/WRSSWP,doi,10.7910,/,Harvard Dataverse,2018-06-22,s3://10.7910/DVN/WRSSWP,dataset,dataset
3201334,DVN/DVGSZS,https://doi.org/10.7910/DVN/DVGSZS,doi,10.7910,/,Harvard Dataverse,2018-07-31,s3://10.7910/DVN/DVGSZS,dataset,dataset
3202154,DVN/2JRHN6,https://doi.org/10.7910/DVN/2JRHN6,doi,10.7910,/,Harvard Dataverse,2018-08-02,s3://10.7910/DVN/2JRHN6,dataset,dataset
3208399,DVN/ERXASS,https://doi.org/10.7910/DVN/ERXASS,doi,10.7910,/,Harvard Dataverse,2018-08-17,s3://10.7910/DVN/ERXASS,dataset,dataset
3211815,DVN/GETNJK,https://doi.org/10.7910/DVN/GETNJK,doi,10.7910,/,Harvard Dataverse,2018-09-06,s3://10.7910/DVN/GETNJK,dataset,dataset
3223955,DVN/XCB9F9,https://doi.org/10.7910/DVN/XCB9F9,doi,10.7910,/,Harvard Dataverse,2018-09-24,s3://10.7910/DVN/XCB9F9,dataset,dataset
3224689,DVN/C8ZOAS,https://doi.org/10.7910/DVN/C8ZOAS,doi,10.7910,/,Harvard Dataverse,2018-09-16,s3://10.7910/DVN/C8ZOAS,dataset,dataset
3230881,DVN/ML1155,https://doi.org/10.7910/DVN/ML1155,doi,10.7910,/,Harvard Dataverse,2018-11-06,s3://10.7910/DVN/ML1155,dataset,dataset
3238357,DVN/XETZ8B,https://doi.org/10.7910/DVN/XETZ8B,doi,10.7910,/,Harvard Dataverse,2018-10-20,s3://10.7910/DVN/XETZ8B,dataset,dataset
3239597,DVN/XW6OJT,https://doi.org/10.7910/DVN/XW6OJT,doi,10.7910,/,Harvard Dataverse,2018-10-15,s3://10.7910/DVN/XW6OJT,dataset,dataset
3240194,DVN/QVVHOM,https://doi.org/10.7910/DVN/QVVHOM,doi,10.7910,/,Harvard Dataverse,2018-12-07,s3://10.7910/DVN/QVVHOM,dataset,dataset
3314757,DVN/UITDYS,https://doi.org/10.7910/DVN/UITDYS,doi,10.7910,/,Harvard Dataverse,2018-11-15,s3://10.7910/DVN/UITDYS,dataset,dataset
3314766,DVN/JX6HCJ,https://doi.org/10.7910/DVN/JX6HCJ,doi,10.7910,/,Harvard Dataverse,2018-11-15,s3://10.7910/DVN/JX6HCJ,dataset,dataset
3319128,DVN/KWNCND,https://doi.org/10.7910/DVN/KWNCND,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/KWNCND,dataset,dataset
3319133,DVN/JXGYOB,https://doi.org/10.7910/DVN/JXGYOB,doi,10.7910,/,Harvard Dataverse,2018-11-26,s3://10.7910/DVN/JXGYOB,dataset,dataset
3335930,DVN/C8UMQP,https://doi.org/10.7910/DVN/C8UMQP,doi,10.7910,/,Harvard Dataverse,2018-12-23,s3://10.7910/DVN/C8UMQP,dataset,dataset
3335939,DVN/JX1OIU,https://doi.org/10.7910/DVN/JX1OIU,doi,10.7910,/,Harvard Dataverse,2018-12-26,s3://10.7910/DVN/JX1OIU,dataset,dataset
3335941,DVN/IDEXPY,https://doi.org/10.7910/DVN/IDEXPY,doi,10.7910,/,Harvard Dataverse,2018-12-29,s3://10.7910/DVN/IDEXPY,dataset,dataset
3336263,DVN/CMBISS,https://doi.org/10.7910/DVN/CMBISS,doi,10.7910,/,Harvard Dataverse,2019-01-14,s3://10.7910/DVN/CMBISS,dataset,dataset
3344804,DVN/DKWB2P,https://doi.org/10.7910/DVN/DKWB2P,doi,10.7910,/,Harvard Dataverse,2019-01-15,s3://10.7910/DVN/DKWB2P,dataset,dataset
3344889,DVN/GVOMUR,https://doi.org/10.7910/DVN/GVOMUR,doi,10.7910,/,Harvard Dataverse,2019-01-16,s3://10.7910/DVN/GVOMUR,dataset,dataset
3345156,DVN/NIBLSO,https://doi.org/10.7910/DVN/NIBLSO,doi,10.7910,/,Harvard Dataverse,2019-01-26,s3://10.7910/DVN/NIBLSO,dataset,dataset
