id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3554092,DVN/3OQBBA,https://doi.org/10.7910/DVN/3OQBBA,doi,10.7910,/,Harvard Dataverse,2019-09-02,s3://10.7910/DVN/3OQBBA,dataset,dataset
3554094,DVN/J9WQ0A,https://doi.org/10.7910/DVN/J9WQ0A,doi,10.7910,/,Harvard Dataverse,2019-09-02,s3://10.7910/DVN/J9WQ0A,dataset,dataset
3554174,DVN/CUZXI2,https://doi.org/10.7910/DVN/CUZXI2,doi,10.7910,/,Harvard Dataverse,2019-09-02,s3://10.7910/DVN/CUZXI2,dataset,dataset
3554176,DVN/I9JSHV,https://doi.org/10.7910/DVN/I9JSHV,doi,10.7910,/,Harvard Dataverse,2019-09-02,s3://10.7910/DVN/I9JSHV,dataset,dataset
3554178,DVN/DYA9TN,https://doi.org/10.7910/DVN/DYA9TN,doi,10.7910,/,Harvard Dataverse,2019-09-02,s3://10.7910/DVN/DYA9TN,dataset,dataset
3554180,DVN/THJFJA,https://doi.org/10.7910/DVN/THJFJA,doi,10.7910,/,Harvard Dataverse,2019-09-02,s3://10.7910/DVN/THJFJA,dataset,dataset
3554269,DVN/JJ7SY2,https://doi.org/10.7910/DVN/JJ7SY2,doi,10.7910,/,Harvard Dataverse,2019-09-03,s3://10.7910/DVN/JJ7SY2,dataset,dataset
3554271,DVN/5DKBOK,https://doi.org/10.7910/DVN/5DKBOK,doi,10.7910,/,Harvard Dataverse,2019-09-03,s3://10.7910/DVN/5DKBOK,dataset,dataset
3555922,DVN/8RO1VW,https://doi.org/10.7910/DVN/8RO1VW,doi,10.7910,/,Harvard Dataverse,2019-09-04,s3://10.7910/DVN/8RO1VW,dataset,dataset
3557381,DVN/GQGMGA,https://doi.org/10.7910/DVN/GQGMGA,doi,10.7910,/,Harvard Dataverse,2019-09-07,s3://10.7910/DVN/GQGMGA,dataset,dataset
3557413,DVN/KWTMWT,https://doi.org/10.7910/DVN/KWTMWT,doi,10.7910,/,Harvard Dataverse,2019-09-07,s3://10.7910/DVN/KWTMWT,dataset,dataset
3557416,DVN/NPOX7L,https://doi.org/10.7910/DVN/NPOX7L,doi,10.7910,/,Harvard Dataverse,2019-09-07,s3://10.7910/DVN/NPOX7L,dataset,dataset
