id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
6828145,DVN/IFJWMS,https://doi.org/10.7910/DVN/IFJWMS,doi,10.7910,/,Harvard Dataverse,2022-12-22,s3://10.7910/DVN/IFJWMS,dataset,dataset
6900061,DVN/WPS0SU,https://doi.org/10.7910/DVN/WPS0SU,doi,10.7910,/,Harvard Dataverse,2023-01-20,s3://10.7910/DVN/WPS0SU,dataset,dataset
6908315,DVN/KFHV5H,https://doi.org/10.7910/DVN/KFHV5H,doi,10.7910,/,Harvard Dataverse,2023-01-30,s3://10.7910/DVN/KFHV5H,dataset,dataset
7060803,DVN/1O8QMM,https://doi.org/10.7910/DVN/1O8QMM,doi,10.7910,/,Harvard Dataverse,2023-06-23,s3://10.7910/DVN/1O8QMM,dataset,dataset
7223237,DVN/DHIZKQ,https://doi.org/10.7910/DVN/DHIZKQ,doi,10.7910,/,Harvard Dataverse,2023-06-28,s3://10.7910/DVN/DHIZKQ,dataset,dataset
7425113,DVN/BDDDO1,https://doi.org/10.7910/DVN/BDDDO1,doi,10.7910,/,Harvard Dataverse,2023-09-27,s3://10.7910/DVN/BDDDO1,dataset,dataset
7449248,DVN/MMZAV8,https://doi.org/10.7910/DVN/MMZAV8,doi,10.7910,/,Harvard Dataverse,2023-10-06,s3://10.7910/DVN/MMZAV8,dataset,dataset
7477996,DVN/KIEKS3,https://doi.org/10.7910/DVN/KIEKS3,doi,10.7910,/,Harvard Dataverse,2023-10-23,s3://10.7910/DVN/KIEKS3,dataset,dataset
7612969,DVN/JVWIVL,https://doi.org/10.7910/DVN/JVWIVL,doi,10.7910,/,Harvard Dataverse,2023-12-01,s3://10.7910/DVN/JVWIVL,dataset,dataset
7677376,DVN/CKKEQV,https://doi.org/10.7910/DVN/CKKEQV,doi,10.7910,/,Harvard Dataverse,2023-12-18,s3://10.7910/DVN/CKKEQV,dataset,dataset
8092285,DVN/A3E9AT,https://doi.org/10.7910/DVN/A3E9AT,doi,10.7910,/,Harvard Dataverse,2024-01-09,s3://10.7910/DVN/A3E9AT,dataset,dataset
8123013,DVN/LK4DCN,https://doi.org/10.7910/DVN/LK4DCN,doi,10.7910,/,Harvard Dataverse,2024-03-13,s3://10.7910/DVN/LK4DCN,dataset,dataset
8125360,DVN/OX1QSB,https://doi.org/10.7910/DVN/OX1QSB,doi,10.7910,/,Harvard Dataverse,2024-01-22,s3://10.7910/DVN/OX1QSB,dataset,dataset
8145209,DVN/LMWZSU,https://doi.org/10.7910/DVN/LMWZSU,doi,10.7910,/,Harvard Dataverse,2024-01-31,s3://10.7910/DVN/LMWZSU,dataset,dataset
10059937,DVN/EXGMIQ,https://doi.org/10.7910/DVN/EXGMIQ,doi,10.7910,/,Harvard Dataverse,2024-04-04,s3://10.7910/DVN/EXGMIQ,dataset,dataset
10274809,DVN/OFM8ZA,https://doi.org/10.7910/DVN/OFM8ZA,doi,10.7910,/,Harvard Dataverse,2024-06-18,s3://10.7910/DVN/OFM8ZA,dataset,dataset
10437698,DVN/ESWCHP,https://doi.org/10.7910/DVN/ESWCHP,doi,10.7910,/,Harvard Dataverse,2024-08-13,s3://10.7910/DVN/ESWCHP,dataset,dataset
10466305,DVN/7GODO2,https://doi.org/10.7910/DVN/7GODO2,doi,10.7910,/,Harvard Dataverse,2024-08-22,s3://10.7910/DVN/7GODO2,dataset,dataset
10547536,DVN/XYOYYU,https://doi.org/10.7910/DVN/XYOYYU,doi,10.7910,/,Harvard Dataverse,2024-10-02,s3://10.7910/DVN/XYOYYU,dataset,dataset
