id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4986615,DVN/9MKICD,https://doi.org/10.7910/DVN/9MKICD,doi,10.7910,/,Harvard Dataverse,2021-08-17,s3://10.7910/DVN/9MKICD,dataset,dataset
5209484,DVN/MZDAQS,https://doi.org/10.7910/DVN/MZDAQS,doi,10.7910,/,Harvard Dataverse,2021-10-05,s3://10.7910/DVN/MZDAQS,dataset,dataset
5257176,DVN/94UBSL,https://doi.org/10.7910/DVN/94UBSL,doi,10.7910,/,Harvard Dataverse,2021-10-21,s3://10.7910/DVN/94UBSL,dataset,dataset
5371786,DVN/MEL2JV,https://doi.org/10.7910/DVN/MEL2JV,doi,10.7910,/,Harvard Dataverse,2021-11-19,s3://10.7910/DVN/MEL2JV,dataset,dataset
5744714,DVN/OUUBKG,https://doi.org/10.7910/DVN/OUUBKG,doi,10.7910,/,Harvard Dataverse,2022-01-18,s3://10.7910/DVN/OUUBKG,dataset,dataset
5747959,DVN/UMM235,https://doi.org/10.7910/DVN/UMM235,doi,10.7910,/,Harvard Dataverse,2022-02-03,s3://10.7910/DVN/UMM235,dataset,dataset
5811301,DVN/BC17YC,https://doi.org/10.7910/DVN/BC17YC,doi,10.7910,/,Harvard Dataverse,2022-02-04,s3://10.7910/DVN/BC17YC,dataset,dataset
5857679,DVN/JJFRR0,https://doi.org/10.7910/DVN/JJFRR0,doi,10.7910,/,Harvard Dataverse,2022-05-03,s3://10.7910/DVN/JJFRR0,dataset,dataset
6179317,DVN/ERSSQD,https://doi.org/10.7910/DVN/ERSSQD,doi,10.7910,/,Harvard Dataverse,2022-04-21,s3://10.7910/DVN/ERSSQD,dataset,dataset
6180188,DVN/1AFDSP,https://doi.org/10.7910/DVN/1AFDSP,doi,10.7910,/,Harvard Dataverse,2022-05-03,s3://10.7910/DVN/1AFDSP,dataset,dataset
6192973,DVN/YEU3D2,https://doi.org/10.7910/DVN/YEU3D2,doi,10.7910,/,Harvard Dataverse,2022-05-03,s3://10.7910/DVN/YEU3D2,dataset,dataset
6193616,DVN/T1AJKS,https://doi.org/10.7910/DVN/T1AJKS,doi,10.7910,/,Harvard Dataverse,2022-05-03,s3://10.7910/DVN/T1AJKS,dataset,dataset
6310614,DVN/YOOVZA,https://doi.org/10.7910/DVN/YOOVZA,doi,10.7910,/,Harvard Dataverse,2022-06-17,s3://10.7910/DVN/YOOVZA,dataset,dataset
