id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
61035,DVN/27258,https://doi.org/10.7910/DVN/27258,doi,10.7910,/,Harvard Dataverse,2014-09-03,s3://10.7910/DVN/27258,dataset,dataset
61036,DVN/25637,https://doi.org/10.7910/DVN/25637,doi,10.7910,/,Harvard Dataverse,2014-05-02,s3://10.7910/DVN/25637,dataset,dataset
61037,DVN/27379,https://doi.org/10.7910/DVN/27379,doi,10.7910,/,Harvard Dataverse,2014-09-28,s3://10.7910/DVN/27379,dataset,dataset
61038,DVN/26635,https://doi.org/10.7910/DVN/26635,doi,10.7910,/,Harvard Dataverse,2014-07-02,s3://10.7910/DVN/26635,dataset,dataset
61039,DVN/28372,https://doi.org/10.7910/DVN/28372,doi,10.7910,/,Harvard Dataverse,2014-12-20,s3://10.7910/DVN/28372,dataset,dataset
61040,DVN/29945,https://doi.org/10.7910/DVN/29945,doi,10.7910,/,Harvard Dataverse,2015-05-01,s3://10.7910/DVN/29945,dataset,dataset
61041,DVN/27676,https://doi.org/10.7910/DVN/27676,doi,10.7910,/,Harvard Dataverse,2014-10-26,s3://10.7910/DVN/27676,dataset,dataset
61042,DVN/24354,https://doi.org/10.7910/DVN/24354,doi,10.7910,/,Harvard Dataverse,2014-01-22,s3://10.7910/DVN/24354,dataset,dataset
61043,DVN/27444,https://doi.org/10.7910/DVN/27444,doi,10.7910,/,Harvard Dataverse,2014-09-28,s3://10.7910/DVN/27444,dataset,dataset
61044,DVN/27771,https://doi.org/10.7910/DVN/27771,doi,10.7910,/,Harvard Dataverse,2014-11-18,s3://10.7910/DVN/27771,dataset,dataset
61045,DVN/29473,https://doi.org/10.7910/DVN/29473,doi,10.7910,/,Harvard Dataverse,2015-03-20,s3://10.7910/DVN/29473,dataset,dataset
61046,DVN/26655,https://doi.org/10.7910/DVN/26655,doi,10.7910,/,Harvard Dataverse,2014-07-08,s3://10.7910/DVN/26655,dataset,dataset
61047,DVN/28946,https://doi.org/10.7910/DVN/28946,doi,10.7910,/,Harvard Dataverse,2015-02-05,s3://10.7910/DVN/28946,dataset,dataset
61048,DVN/29744,https://doi.org/10.7910/DVN/29744,doi,10.7910,/,Harvard Dataverse,2015-05-01,s3://10.7910/DVN/29744,dataset,dataset
61049,DVN/29361,https://doi.org/10.7910/DVN/29361,doi,10.7910,/,Harvard Dataverse,2015-03-20,s3://10.7910/DVN/29361,dataset,dataset
61050,DVN/27749,https://doi.org/10.7910/DVN/27749,doi,10.7910,/,Harvard Dataverse,2014-11-04,s3://10.7910/DVN/27749,dataset,dataset
61051,DVN/29501,https://doi.org/10.7910/DVN/29501,doi,10.7910,/,Harvard Dataverse,2015-03-20,s3://10.7910/DVN/29501,dataset,dataset
61052,DVN/27841,https://doi.org/10.7910/DVN/27841,doi,10.7910,/,Harvard Dataverse,2014-11-18,s3://10.7910/DVN/27841,dataset,dataset
61053,DVN/26459,https://doi.org/10.7910/DVN/26459,doi,10.7910,/,Harvard Dataverse,2014-06-13,s3://10.7910/DVN/26459,dataset,dataset
61054,DVN/26650,https://doi.org/10.7910/DVN/26650,doi,10.7910,/,Harvard Dataverse,2014-07-08,s3://10.7910/DVN/26650,dataset,dataset
61055,DVN/29221,https://doi.org/10.7910/DVN/29221,doi,10.7910,/,Harvard Dataverse,2015-02-24,s3://10.7910/DVN/29221,dataset,dataset
61056,DVN/25879,https://doi.org/10.7910/DVN/25879,doi,10.7910,/,Harvard Dataverse,2014-05-19,s3://10.7910/DVN/25879,dataset,dataset
61057,DVN/24941,https://doi.org/10.7910/DVN/24941,doi,10.7910,/,Harvard Dataverse,2014-05-02,s3://10.7910/DVN/24941,dataset,dataset
61058,DVN/25894,https://doi.org/10.7910/DVN/25894,doi,10.7910,/,Harvard Dataverse,2014-05-19,s3://10.7910/DVN/25894,dataset,dataset
61059,DVN/28493,https://doi.org/10.7910/DVN/28493,doi,10.7910,/,Harvard Dataverse,2015-02-05,s3://10.7910/DVN/28493,dataset,dataset
61060,DVN/25853,https://doi.org/10.7910/DVN/25853,doi,10.7910,/,Harvard Dataverse,2014-05-19,s3://10.7910/DVN/25853,dataset,dataset
61061,DVN/26637,https://doi.org/10.7910/DVN/26637,doi,10.7910,/,Harvard Dataverse,2014-07-02,s3://10.7910/DVN/26637,dataset,dataset
2670914,DVN/IMLVVG,https://doi.org/10.7910/DVN/IMLVVG,doi,10.7910,/,Harvard Dataverse,2015-05-01,s3://10.7910/DVN/IMLVVG,dataset,dataset
2672241,DVN/TNQSVS,https://doi.org/10.7910/DVN/TNQSVS,doi,10.7910,/,Harvard Dataverse,2015-05-11,s3://10.7910/DVN/TNQSVS,dataset,dataset
2674420,DVN/KN0U9W,https://doi.org/10.7910/DVN/KN0U9W,doi,10.7910,/,Harvard Dataverse,2015-05-11,s3://10.7910/DVN/KN0U9W,dataset,dataset
2677326,DVN/LVYOKM,https://doi.org/10.7910/DVN/LVYOKM,doi,10.7910,/,Harvard Dataverse,2015-05-19,s3://10.7910/DVN/LVYOKM,dataset,dataset
2695633,DVN/SY5NEY,https://doi.org/10.7910/DVN/SY5NEY,doi,10.7910,/,Harvard Dataverse,2015-07-25,s3://10.7910/DVN/SY5NEY,dataset,dataset
2695870,DVN/6LBE2R,https://doi.org/10.7910/DVN/6LBE2R,doi,10.7910,/,Harvard Dataverse,2015-07-25,s3://10.7910/DVN/6LBE2R,dataset,dataset
2696699,DVN/SWTEAN,https://doi.org/10.7910/DVN/SWTEAN,doi,10.7910,/,Harvard Dataverse,2015-08-13,s3://10.7910/DVN/SWTEAN,dataset,dataset
