id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
54379,DVN/RLCDQM,https://doi.org/10.7910/DVN/RLCDQM,doi,10.7910,/,Harvard Dataverse,2010-11-23,s3://10.7910/DVN/RLCDQM,dataset,dataset
54381,DVN/27616,https://doi.org/10.7910/DVN/27616,doi,10.7910,/,Harvard Dataverse,2014-10-17,s3://10.7910/DVN/27616,dataset,dataset
54382,DVN/24747,https://doi.org/10.7910/DVN/24747,doi,10.7910,/,Harvard Dataverse,2014-02-19,s3://10.7910/DVN/24747,dataset,dataset
54383,DVN/9W8D9R,https://doi.org/10.7910/DVN/9W8D9R,doi,10.7910,/,Harvard Dataverse,2012-04-17,s3://10.7910/DVN/9W8D9R,dataset,dataset
54384,DVN/24195,https://doi.org/10.7910/DVN/24195,doi,10.7910,/,Harvard Dataverse,2014-03-26,s3://10.7910/DVN/24195,dataset,dataset
54385,DVN/EPF255,https://doi.org/10.7910/DVN/EPF255,doi,10.7910,/,Harvard Dataverse,2012-01-13,s3://10.7910/DVN/EPF255,dataset,dataset
54386,DVN/26764,https://doi.org/10.7910/DVN/26764,doi,10.7910,/,Harvard Dataverse,2015-03-13,s3://10.7910/DVN/26764,dataset,dataset
54387,DVN/25020,https://doi.org/10.7910/DVN/25020,doi,10.7910,/,Harvard Dataverse,2014-03-21,s3://10.7910/DVN/25020,dataset,dataset
54388,DVN/7XXMRI,https://doi.org/10.7910/DVN/7XXMRI,doi,10.7910,/,Harvard Dataverse,2012-01-17,s3://10.7910/DVN/7XXMRI,dataset,dataset
54389,DVN/26789,https://doi.org/10.7910/DVN/26789,doi,10.7910,/,Harvard Dataverse,2014-07-24,s3://10.7910/DVN/26789,dataset,dataset
54390,DVN/RHHG2B,https://doi.org/10.7910/DVN/RHHG2B,doi,10.7910,/,Harvard Dataverse,2013-08-28,s3://10.7910/DVN/RHHG2B,dataset,dataset
54391,DVN/CUIXDH,https://doi.org/10.7910/DVN/CUIXDH,doi,10.7910,/,Harvard Dataverse,2013-02-22,s3://10.7910/DVN/CUIXDH,dataset,dataset
54392,DVN/28098,https://doi.org/10.7910/DVN/28098,doi,10.7910,/,Harvard Dataverse,2014-12-12,s3://10.7910/DVN/28098,dataset,dataset
54393,DVN/U17HOB,https://doi.org/10.7910/DVN/U17HOB,doi,10.7910,/,Harvard Dataverse,2013-07-31,s3://1902.1/21970,dataset,dataset
54394,DVN/27461,https://doi.org/10.7910/DVN/27461,doi,10.7910,/,Harvard Dataverse,2014-09-29,s3://10.7910/DVN/27461,dataset,dataset
54395,DVN/23476,https://doi.org/10.7910/DVN/23476,doi,10.7910,/,Harvard Dataverse,2013-11-21,s3://10.7910/DVN/23476,dataset,dataset
54396,DVN/XKETSJ,https://doi.org/10.7910/DVN/XKETSJ,doi,10.7910,/,Harvard Dataverse,2012-01-13,s3://10.7910/DVN/XKETSJ,dataset,dataset
54397,DVN/27138,https://doi.org/10.7910/DVN/27138,doi,10.7910,/,Harvard Dataverse,2014-08-25,s3://10.7910/DVN/27138,dataset,dataset
54398,DVN/CGXCNE,https://doi.org/10.7910/DVN/CGXCNE,doi,10.7910,/,Harvard Dataverse,2012-07-19,s3://1902.1/18556,dataset,dataset
54399,DVN/28802,https://doi.org/10.7910/DVN/28802,doi,10.7910,/,Harvard Dataverse,2015-01-30,s3://10.7910/DVN/28802,dataset,dataset
54400,DVN/26742,https://doi.org/10.7910/DVN/26742,doi,10.7910,/,Harvard Dataverse,2014-07-24,s3://10.7910/DVN/26742,dataset,dataset
54402,DVN/EN03L3,https://doi.org/10.7910/DVN/EN03L3,doi,10.7910,/,Harvard Dataverse,2013-08-21,s3://10.7910/DVN/EN03L3,dataset,dataset
54403,DVN/AW2UQU,https://doi.org/10.7910/DVN/AW2UQU,doi,10.7910,/,Harvard Dataverse,2013-08-14,s3://10.7910/DVN/AW2UQU,dataset,dataset
54404,DVN/27291,https://doi.org/10.7910/DVN/27291,doi,10.7910,/,Harvard Dataverse,2014-09-12,s3://10.7910/DVN/27291,dataset,dataset
54405,DVN/G7AOIO,https://doi.org/10.7910/DVN/G7AOIO,doi,10.7910,/,Harvard Dataverse,2013-07-24,s3://10.7910/DVN/G7AOIO,dataset,dataset
54406,DVN/YQDVSL,https://doi.org/10.7910/DVN/YQDVSL,doi,10.7910,/,Harvard Dataverse,2012-03-20,s3://10.7910/DVN/YQDVSL,dataset,dataset
54407,DVN/9QM7KX,https://doi.org/10.7910/DVN/9QM7KX,doi,10.7910,/,Harvard Dataverse,2010-09-17,s3://10.7910/DVN/9QM7KX,dataset,dataset
54408,DVN/26909,https://doi.org/10.7910/DVN/26909,doi,10.7910,/,Harvard Dataverse,2014-11-18,s3://10.7910/DVN/26909,dataset,dataset
54409,DVN/IRNEGM,https://doi.org/10.7910/DVN/IRNEGM,doi,10.7910,/,Harvard Dataverse,2013-02-11,s3://10.7910/DVN/IRNEGM,dataset,dataset
54410,DVN/7QPEIP,https://doi.org/10.7910/DVN/7QPEIP,doi,10.7910,/,Harvard Dataverse,2012-01-13,s3://10.7910/DVN/7QPEIP,dataset,dataset
54411,DVN/ZZ48BK,https://doi.org/10.7910/DVN/ZZ48BK,doi,10.7910,/,Harvard Dataverse,2014-05-21,s3://10.7910/DVN/ZZ48BK,dataset,dataset
