id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4298822,DVN/INRVNM,https://doi.org/10.7910/DVN/INRVNM,doi,10.7910,/,Harvard Dataverse,2021-01-12,s3://10.7910/DVN/INRVNM,dataset,dataset
4304354,DVN/6384NR,https://doi.org/10.7910/DVN/6384NR,doi,10.7910,/,Harvard Dataverse,2021-01-18,s3://10.7910/DVN/6384NR,dataset,dataset
4373000,DVN/PRQYOA,https://doi.org/10.7910/DVN/PRQYOA,doi,10.7910,/,Harvard Dataverse,2021-02-08,s3://10.7910/DVN/PRQYOA,dataset,dataset
4428141,DVN/T1U0Y6,https://doi.org/10.7910/DVN/T1U0Y6,doi,10.7910,/,Harvard Dataverse,2021-02-27,s3://10.7910/DVN/T1U0Y6,dataset,dataset
5130724,DVN/MP2BJR,https://doi.org/10.7910/DVN/MP2BJR,doi,10.7910,/,Harvard Dataverse,2021-09-10,s3://10.7910/DVN/MP2BJR,dataset,dataset
5158291,DVN/LMQKMA,https://doi.org/10.7910/DVN/LMQKMA,doi,10.7910,/,Harvard Dataverse,2024-09-17,s3://10.7910/DVN/LMQKMA,dataset,dataset
5158299,DVN/CKDFB8,https://doi.org/10.7910/DVN/CKDFB8,doi,10.7910,/,Harvard Dataverse,2021-09-16,s3://10.7910/DVN/CKDFB8,dataset,dataset
5192540,DVN/PWNHRW,https://doi.org/10.7910/DVN/PWNHRW,doi,10.7910,/,Harvard Dataverse,2021-09-21,s3://10.7910/DVN/PWNHRW,dataset,dataset
5210526,DVN/HKSTMU,https://doi.org/10.7910/DVN/HKSTMU,doi,10.7910,/,Harvard Dataverse,2021-10-04,s3://10.7910/DVN/HKSTMU,dataset,dataset
5794690,DVN/RZO69L,https://doi.org/10.7910/DVN/RZO69L,doi,10.7910,/,Harvard Dataverse,2022-01-27,s3://10.7910/DVN/RZO69L,dataset,dataset
6040289,DVN/SFT3RT,https://doi.org/10.7910/DVN/SFT3RT,doi,10.7910,/,Harvard Dataverse,2022-02-23,s3://10.7910/DVN/SFT3RT,dataset,dataset
