id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4034719,DVN/GNTGZX,https://doi.org/10.7910/DVN/GNTGZX,doi,10.7910,/,Harvard Dataverse,2020-08-27,s3://10.7910/DVN/GNTGZX,dataset,dataset
4329873,DVN/PNHXF6,https://doi.org/10.7910/DVN/PNHXF6,doi,10.7910,/,Harvard Dataverse,2021-02-18,s3://10.7910/DVN/PNHXF6,dataset,dataset
4412143,DVN/EKOMYU,https://doi.org/10.7910/DVN/EKOMYU,doi,10.7910,/,Harvard Dataverse,2021-02-19,s3://10.7910/DVN/EKOMYU,dataset,dataset
4416996,DVN/LQPRIA,https://doi.org/10.7910/DVN/LQPRIA,doi,10.7910,/,Harvard Dataverse,2021-02-23,s3://10.7910/DVN/LQPRIA,dataset,dataset
4423504,DVN/BF6WSC,https://doi.org/10.7910/DVN/BF6WSC,doi,10.7910,/,Harvard Dataverse,2021-02-26,s3://10.7910/DVN/BF6WSC,dataset,dataset
4435246,DVN/9UUJII,https://doi.org/10.7910/DVN/9UUJII,doi,10.7910,/,Harvard Dataverse,2021-03-03,s3://10.7910/DVN/9UUJII,dataset,dataset
4435259,DVN/3GZJEA,https://doi.org/10.7910/DVN/3GZJEA,doi,10.7910,/,Harvard Dataverse,2021-03-03,s3://10.7910/DVN/3GZJEA,dataset,dataset
4435261,DVN/5ZYWHF,https://doi.org/10.7910/DVN/5ZYWHF,doi,10.7910,/,Harvard Dataverse,2021-03-03,s3://10.7910/DVN/5ZYWHF,dataset,dataset
4437235,DVN/TAC0HZ,https://doi.org/10.7910/DVN/TAC0HZ,doi,10.7910,/,Harvard Dataverse,2021-03-05,s3://10.7910/DVN/TAC0HZ,dataset,dataset
4466155,DVN/AOY9Y7,https://doi.org/10.7910/DVN/AOY9Y7,doi,10.7910,/,Harvard Dataverse,2021-03-23,s3://10.7910/DVN/AOY9Y7,dataset,dataset
4489204,DVN/3YV9XZ,https://doi.org/10.7910/DVN/3YV9XZ,doi,10.7910,/,Harvard Dataverse,2021-04-01,s3://10.7910/DVN/3YV9XZ,dataset,dataset
4493097,DVN/BTC5HD,https://doi.org/10.7910/DVN/BTC5HD,doi,10.7910,/,Harvard Dataverse,2021-04-01,s3://10.7910/DVN/BTC5HD,dataset,dataset
4596506,DVN/A9979J,https://doi.org/10.7910/DVN/A9979J,doi,10.7910,/,Harvard Dataverse,2021-04-27,s3://10.7910/DVN/A9979J,dataset,dataset
4655406,DVN/BB3P1Y,https://doi.org/10.7910/DVN/BB3P1Y,doi,10.7910,/,Harvard Dataverse,2021-05-20,s3://10.7910/DVN/BB3P1Y,dataset,dataset
4750839,DVN/614CWY,https://doi.org/10.7910/DVN/614CWY,doi,10.7910,/,Harvard Dataverse,2021-06-01,s3://10.7910/DVN/614CWY,dataset,dataset
4772307,DVN/Y7OJ9D,https://doi.org/10.7910/DVN/Y7OJ9D,doi,10.7910,/,Harvard Dataverse,2021-06-01,s3://10.7910/DVN/Y7OJ9D,dataset,dataset
4824790,DVN/IOLEBA,https://doi.org/10.7910/DVN/IOLEBA,doi,10.7910,/,Harvard Dataverse,2021-08-23,s3://10.7910/DVN/IOLEBA,dataset,dataset
4864815,DVN/9FIAZR,https://doi.org/10.7910/DVN/9FIAZR,doi,10.7910,/,Harvard Dataverse,2021-08-23,s3://10.7910/DVN/9FIAZR,dataset,dataset
4892569,DVN/XAC1PA,https://doi.org/10.7910/DVN/XAC1PA,doi,10.7910,/,Harvard Dataverse,2021-07-15,s3://10.7910/DVN/XAC1PA,dataset,dataset
4894920,DVN/WBCJKO,https://doi.org/10.7910/DVN/WBCJKO,doi,10.7910,/,Harvard Dataverse,2021-08-23,s3://10.7910/DVN/WBCJKO,dataset,dataset
