id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3357695,DVN/273J7G,https://doi.org/10.7910/DVN/273J7G,doi,10.7910,/,Harvard Dataverse,2019-02-26,s3://10.7910/DVN/273J7G,dataset,dataset
3357697,DVN/F41EQP,https://doi.org/10.7910/DVN/F41EQP,doi,10.7910,/,Harvard Dataverse,2019-02-26,s3://10.7910/DVN/F41EQP,dataset,dataset
3357703,DVN/PQSDMG,https://doi.org/10.7910/DVN/PQSDMG,doi,10.7910,/,Harvard Dataverse,2019-02-26,s3://10.7910/DVN/PQSDMG,dataset,dataset
3362274,DVN/PGC7GJ,https://doi.org/10.7910/DVN/PGC7GJ,doi,10.7910,/,Harvard Dataverse,2019-02-26,s3://10.7910/DVN/PGC7GJ,dataset,dataset
3481706,DVN/KR55YV,https://doi.org/10.7910/DVN/KR55YV,doi,10.7910,/,Harvard Dataverse,2019-08-22,s3://10.7910/DVN/KR55YV,dataset,dataset
3481710,DVN/TY2BME,https://doi.org/10.7910/DVN/TY2BME,doi,10.7910,/,Harvard Dataverse,2019-08-22,s3://10.7910/DVN/TY2BME,dataset,dataset
3493373,DVN/W3JBXC,https://doi.org/10.7910/DVN/W3JBXC,doi,10.7910,/,Harvard Dataverse,2019-08-22,s3://10.7910/DVN/W3JBXC,dataset,dataset
3493379,DVN/B0A68W,https://doi.org/10.7910/DVN/B0A68W,doi,10.7910,/,Harvard Dataverse,2019-08-22,s3://10.7910/DVN/B0A68W,dataset,dataset
3536965,DVN/5OATIR,https://doi.org/10.7910/DVN/5OATIR,doi,10.7910,/,Harvard Dataverse,2019-08-22,s3://10.7910/DVN/5OATIR,dataset,dataset
3536967,DVN/419NYZ,https://doi.org/10.7910/DVN/419NYZ,doi,10.7910,/,Harvard Dataverse,2019-08-22,s3://10.7910/DVN/419NYZ,dataset,dataset
3678587,DVN/KBQFD2,https://doi.org/10.7910/DVN/KBQFD2,doi,10.7910,/,Harvard Dataverse,2020-02-20,s3://10.7910/DVN/KBQFD2,dataset,dataset
3678589,DVN/MSSJD0,https://doi.org/10.7910/DVN/MSSJD0,doi,10.7910,/,Harvard Dataverse,2020-02-20,s3://10.7910/DVN/MSSJD0,dataset,dataset
3678591,DVN/DCAEC1,https://doi.org/10.7910/DVN/DCAEC1,doi,10.7910,/,Harvard Dataverse,2020-02-20,s3://10.7910/DVN/DCAEC1,dataset,dataset
4028409,DVN/LN9T6J,https://doi.org/10.7910/DVN/LN9T6J,doi,10.7910,/,Harvard Dataverse,2020-08-20,s3://10.7910/DVN/LN9T6J,dataset,dataset
