id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
4170747,DVN/RRTXJJ,https://doi.org/10.7910/DVN/RRTXJJ,doi,10.7910,/,Harvard Dataverse,2020-11-12,s3://10.7910/DVN/RRTXJJ,dataset,dataset
4170773,DVN/2QRWGO,https://doi.org/10.7910/DVN/2QRWGO,doi,10.7910,/,Harvard Dataverse,2020-11-12,s3://10.7910/DVN/2QRWGO,dataset,dataset
4170921,DVN/6DJFDZ,https://doi.org/10.7910/DVN/6DJFDZ,doi,10.7910,/,Harvard Dataverse,2020-11-12,s3://10.7910/DVN/6DJFDZ,dataset,dataset
4265689,DVN/4R486M,https://doi.org/10.7910/DVN/4R486M,doi,10.7910,/,Harvard Dataverse,2020-12-18,s3://10.7910/DVN/4R486M,dataset,dataset
4280636,DVN/V1VESK,https://doi.org/10.7910/DVN/V1VESK,doi,10.7910,/,Harvard Dataverse,2021-01-25,s3://10.7910/DVN/V1VESK,dataset,dataset
4495610,DVN/Z9UB1H,https://doi.org/10.7910/DVN/Z9UB1H,doi,10.7910,/,Harvard Dataverse,2021-04-06,s3://10.7910/DVN/Z9UB1H,dataset,dataset
4621253,DVN/T384KW,https://doi.org/10.7910/DVN/T384KW,doi,10.7910,/,Harvard Dataverse,2021-10-13,s3://10.7910/DVN/T384KW,dataset,dataset
4773397,DVN/XXQX2G,https://doi.org/10.7910/DVN/XXQX2G,doi,10.7910,/,Harvard Dataverse,2021-10-13,s3://10.7910/DVN/XXQX2G,dataset,dataset
4817275,DVN/7PWUFL,https://doi.org/10.7910/DVN/7PWUFL,doi,10.7910,/,Harvard Dataverse,2021-08-21,s3://10.7910/DVN/7PWUFL,dataset,dataset
4899035,DVN/RSIGIH,https://doi.org/10.7910/DVN/RSIGIH,doi,10.7910,/,Harvard Dataverse,2021-10-13,s3://10.7910/DVN/RSIGIH,dataset,dataset
4934649,DVN/ESQQAG,https://doi.org/10.7910/DVN/ESQQAG,doi,10.7910,/,Harvard Dataverse,2021-08-21,s3://10.7910/DVN/ESQQAG,dataset,dataset
5021047,DVN/IWXIDL,https://doi.org/10.7910/DVN/IWXIDL,doi,10.7910,/,Harvard Dataverse,2021-10-13,s3://10.7910/DVN/IWXIDL,dataset,dataset
5025095,DVN/YRT02R,https://doi.org/10.7910/DVN/YRT02R,doi,10.7910,/,Harvard Dataverse,2021-10-13,s3://10.7910/DVN/YRT02R,dataset,dataset
5199093,DVN/ZXCXNV,https://doi.org/10.7910/DVN/ZXCXNV,doi,10.7910,/,Harvard Dataverse,2021-09-28,s3://10.7910/DVN/ZXCXNV,dataset,dataset
5245813,DVN/PAY8IA,https://doi.org/10.7910/DVN/PAY8IA,doi,10.7910,/,Harvard Dataverse,2021-10-13,s3://10.7910/DVN/PAY8IA,dataset,dataset
5346608,DVN/A3ADH4,https://doi.org/10.7910/DVN/A3ADH4,doi,10.7910,/,Harvard Dataverse,2022-01-10,s3://10.7910/DVN/A3ADH4,dataset,dataset
5590122,DVN/EJM8SW,https://doi.org/10.7910/DVN/EJM8SW,doi,10.7910,/,Harvard Dataverse,2022-01-10,s3://10.7910/DVN/EJM8SW,dataset,dataset
5747122,DVN/HL9K9X,https://doi.org/10.7910/DVN/HL9K9X,doi,10.7910,/,Harvard Dataverse,2022-01-26,s3://10.7910/DVN/HL9K9X,dataset,dataset
6163165,DVN/DUC9DF,https://doi.org/10.7910/DVN/DUC9DF,doi,10.7910,/,Harvard Dataverse,2022-04-20,s3://10.7910/DVN/DUC9DF,dataset,dataset
