id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3000982,DVN/RAHUFD,https://doi.org/10.7910/DVN/RAHUFD,doi,10.7910,/,Harvard Dataverse,2017-02-15,s3://10.7910/DVN/RAHUFD,dataset,dataset
3001100,DVN/J06MRI,https://doi.org/10.7910/DVN/J06MRI,doi,10.7910,/,Harvard Dataverse,2017-02-15,s3://dvn-cloud:10.7910/DVN/J06MRI,dataset,dataset
3038751,DVN/JBYLAS,https://doi.org/10.7910/DVN/JBYLAS,doi,10.7910,/,Harvard Dataverse,2017-08-02,s3://10.7910/DVN/JBYLAS,dataset,dataset
3040564,DVN/K1WVVI,https://doi.org/10.7910/DVN/K1WVVI,doi,10.7910,/,Harvard Dataverse,2017-08-09,s3://10.7910/DVN/K1WVVI,dataset,dataset
3052747,DVN/VL6E3Q,https://doi.org/10.7910/DVN/VL6E3Q,doi,10.7910,/,Harvard Dataverse,2017-09-28,s3://10.7910/DVN/VL6E3Q,dataset,dataset
3097204,DVN/GHXJYL,https://doi.org/10.7910/DVN/GHXJYL,doi,10.7910,/,Harvard Dataverse,2018-01-26,s3://10.7910/DVN/GHXJYL,dataset,dataset
3097240,DVN/O9PUSY,https://doi.org/10.7910/DVN/O9PUSY,doi,10.7910,/,Harvard Dataverse,2018-01-11,s3://10.7910/DVN/O9PUSY,dataset,dataset
3124015,DVN/3ISXG0,https://doi.org/10.7910/DVN/3ISXG0,doi,10.7910,/,Harvard Dataverse,2018-02-12,s3://10.7910/DVN/3ISXG0,dataset,dataset
3131567,DVN/EBM4G6,https://doi.org/10.7910/DVN/EBM4G6,doi,10.7910,/,Harvard Dataverse,2018-05-25,s3://10.7910/DVN/EBM4G6,dataset,dataset
3143130,DVN/NTR9MZ,https://doi.org/10.7910/DVN/NTR9MZ,doi,10.7910,/,Harvard Dataverse,2018-05-16,s3://10.7910/DVN/NTR9MZ,dataset,dataset
3147355,DVN/C1GTRV,https://doi.org/10.7910/DVN/C1GTRV,doi,10.7910,/,Harvard Dataverse,2018-05-07,s3://10.7910/DVN/C1GTRV,dataset,dataset
3156488,DVN/ES6FJO,https://doi.org/10.7910/DVN/ES6FJO,doi,10.7910,/,Harvard Dataverse,2018-11-13,s3://10.7910/DVN/ES6FJO,dataset,dataset
3181088,DVN/VYBJRM,https://doi.org/10.7910/DVN/VYBJRM,doi,10.7910,/,Harvard Dataverse,2018-08-05,s3://10.7910/DVN/VYBJRM,dataset,dataset
3205465,DVN/GTIOIU,https://doi.org/10.7910/DVN/GTIOIU,doi,10.7910,/,Harvard Dataverse,2018-08-09,s3://10.7910/DVN/GTIOIU,dataset,dataset
3210651,DVN/RIRAGN,https://doi.org/10.7910/DVN/RIRAGN,doi,10.7910,/,Harvard Dataverse,2018-11-13,s3://10.7910/DVN/RIRAGN,dataset,dataset
3301001,DVN/AE2FHZ,https://doi.org/10.7910/DVN/AE2FHZ,doi,10.7910,/,Harvard Dataverse,2019-02-14,s3://10.7910/DVN/AE2FHZ,dataset,dataset
3308496,DVN/EUC80S,https://doi.org/10.7910/DVN/EUC80S,doi,10.7910,/,Harvard Dataverse,2019-02-08,s3://10.7910/DVN/EUC80S,dataset,dataset
3308602,DVN/GKPMOG,https://doi.org/10.7910/DVN/GKPMOG,doi,10.7910,/,Harvard Dataverse,2019-02-13,s3://10.7910/DVN/GKPMOG,dataset,dataset
3315175,DVN/SQ0UM2,https://doi.org/10.7910/DVN/SQ0UM2,doi,10.7910,/,Harvard Dataverse,2019-02-11,s3://10.7910/DVN/SQ0UM2,dataset,dataset
3336279,DVN/F3IZUF,https://doi.org/10.7910/DVN/F3IZUF,doi,10.7910,/,Harvard Dataverse,2021-04-01,s3://10.7910/DVN/F3IZUF,dataset,dataset
3356426,DVN/CWFTZX,https://doi.org/10.7910/DVN/CWFTZX,doi,10.7910,/,Harvard Dataverse,2019-05-16,s3://10.7910/DVN/CWFTZX,dataset,dataset
3362198,DVN/LU8IDT,https://doi.org/10.7910/DVN/LU8IDT,doi,10.7910,/,Harvard Dataverse,2019-05-15,s3://10.7910/DVN/LU8IDT,dataset,dataset
3364315,DVN/SWFNQE,https://doi.org/10.7910/DVN/SWFNQE,doi,10.7910,/,Harvard Dataverse,2019-05-17,s3://10.7910/DVN/SWFNQE,dataset,dataset
3381873,DVN/LVFRCL,https://doi.org/10.7910/DVN/LVFRCL,doi,10.7910,/,Harvard Dataverse,2019-05-20,s3://10.7910/DVN/LVFRCL,dataset,dataset
3441718,DVN/YSVMS2,https://doi.org/10.7910/DVN/YSVMS2,doi,10.7910,/,Harvard Dataverse,2019-08-07,s3://10.7910/DVN/YSVMS2,dataset,dataset
3445910,DVN/XC4E1I,https://doi.org/10.7910/DVN/XC4E1I,doi,10.7910,/,Harvard Dataverse,2019-08-13,s3://10.7910/DVN/XC4E1I,dataset,dataset
3451147,DVN/IGIJGG,https://doi.org/10.7910/DVN/IGIJGG,doi,10.7910,/,Harvard Dataverse,2019-08-15,s3://10.7910/DVN/IGIJGG,dataset,dataset
3457528,DVN/FRPRDP,https://doi.org/10.7910/DVN/FRPRDP,doi,10.7910,/,Harvard Dataverse,2019-10-28,s3://10.7910/DVN/FRPRDP,dataset,dataset
3464256,DVN/KOVT5Y,https://doi.org/10.7910/DVN/KOVT5Y,doi,10.7910,/,Harvard Dataverse,2019-08-13,s3://10.7910/DVN/KOVT5Y,dataset,dataset
3464309,DVN/JXOB6N,https://doi.org/10.7910/DVN/JXOB6N,doi,10.7910,/,Harvard Dataverse,2019-08-08,s3://10.7910/DVN/JXOB6N,dataset,dataset
3538253,DVN/YR4EQH,https://doi.org/10.7910/DVN/YR4EQH,doi,10.7910,/,Harvard Dataverse,2019-08-15,s3://10.7910/DVN/YR4EQH,dataset,dataset
3572525,DVN/ULXRHT,https://doi.org/10.7910/DVN/ULXRHT,doi,10.7910,/,Harvard Dataverse,2019-11-01,s3://10.7910/DVN/ULXRHT,dataset,dataset
3644815,DVN/ZZIQBB,https://doi.org/10.7910/DVN/ZZIQBB,doi,10.7910,/,Harvard Dataverse,2020-02-21,s3://10.7910/DVN/ZZIQBB,dataset,dataset
3651784,DVN/8OVAL6,https://doi.org/10.7910/DVN/8OVAL6,doi,10.7910,/,Harvard Dataverse,2020-02-21,s3://10.7910/DVN/8OVAL6,dataset,dataset
3724138,DVN/QTUFUW,https://doi.org/10.7910/DVN/QTUFUW,doi,10.7910,/,Harvard Dataverse,2020-03-13,s3://10.7910/DVN/QTUFUW,dataset,dataset
3732566,DVN/OWGEAR,https://doi.org/10.7910/DVN/OWGEAR,doi,10.7910,/,Harvard Dataverse,2020-05-29,s3://10.7910/DVN/OWGEAR,dataset,dataset
3800955,DVN/5XM0XM,https://doi.org/10.7910/DVN/5XM0XM,doi,10.7910,/,Harvard Dataverse,2020-06-02,s3://10.7910/DVN/5XM0XM,dataset,dataset
