id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3051819,DVN/0HDTYM,https://doi.org/10.7910/DVN/0HDTYM,doi,10.7910,/,Harvard Dataverse,2017-09-13,s3://10.7910/DVN/0HDTYM,dataset,dataset
3052197,DVN/DJTMJC,https://doi.org/10.7910/DVN/DJTMJC,doi,10.7910,/,Harvard Dataverse,2017-09-18,s3://10.7910/DVN/DJTMJC,dataset,dataset
3052492,DVN/HGPNVV,https://doi.org/10.7910/DVN/HGPNVV,doi,10.7910,/,Harvard Dataverse,2017-09-20,s3://dvn-cloud:10.7910/DVN/HGPNVV,dataset,dataset
3052643,DVN/L8YEDW,https://doi.org/10.7910/DVN/L8YEDW,doi,10.7910,/,Harvard Dataverse,2017-09-19,s3://dvn-cloud:10.7910/DVN/L8YEDW,dataset,dataset
3055035,DVN/OZRQIQ,https://doi.org/10.7910/DVN/OZRQIQ,doi,10.7910,/,Harvard Dataverse,2017-10-18,s3://10.7910/DVN/OZRQIQ,dataset,dataset
3055285,DVN/7TRL0I,https://doi.org/10.7910/DVN/7TRL0I,doi,10.7910,/,Harvard Dataverse,2018-03-22,s3://10.7910/DVN/7TRL0I,dataset,dataset
3055440,DVN/CVL1Q7,https://doi.org/10.7910/DVN/CVL1Q7,doi,10.7910,/,Harvard Dataverse,2017-10-31,s3://10.7910/DVN/CVL1Q7,dataset,dataset
3055589,DVN/KSKR7F,https://doi.org/10.7910/DVN/KSKR7F,doi,10.7910,/,Harvard Dataverse,2017-10-10,file,dataset,dataset
3056031,DVN/XCSQ9C,https://doi.org/10.7910/DVN/XCSQ9C,doi,10.7910,/,Harvard Dataverse,2017-10-11,file,dataset,dataset
3057285,DVN/R8PNCP,https://doi.org/10.7910/DVN/R8PNCP,doi,10.7910,/,Harvard Dataverse,2017-10-24,file,dataset,dataset
3057922,DVN/BKVLFI,https://doi.org/10.7910/DVN/BKVLFI,doi,10.7910,/,Harvard Dataverse,2017-10-18,s3://10.7910/DVN/BKVLFI,dataset,dataset
3059465,DVN/SOJQKM,https://doi.org/10.7910/DVN/SOJQKM,doi,10.7910,/,Harvard Dataverse,2017-11-20,s3://10.7910/DVN/SOJQKM,dataset,dataset
3069170,DVN/WA03I2,https://doi.org/10.7910/DVN/WA03I2,doi,10.7910,/,Harvard Dataverse,2017-11-13,file,dataset,dataset
3071529,DVN/O5LNTG,https://doi.org/10.7910/DVN/O5LNTG,doi,10.7910,/,Harvard Dataverse,2017-11-20,file,dataset,dataset
3072500,DVN/WUQRIQ,https://doi.org/10.7910/DVN/WUQRIQ,doi,10.7910,/,Harvard Dataverse,2017-11-16,s3://10.7910/DVN/WUQRIQ,dataset,dataset
3073078,DVN/AU3BTQ,https://doi.org/10.7910/DVN/AU3BTQ,doi,10.7910,/,Harvard Dataverse,2017-11-05,s3://10.7910/DVN/AU3BTQ,dataset,dataset
3082989,DVN/HO2KIC,https://doi.org/10.7910/DVN/HO2KIC,doi,10.7910,/,Harvard Dataverse,2017-12-04,file,dataset,dataset
3087472,DVN/RHPOYR,https://doi.org/10.7910/DVN/RHPOYR,doi,10.7910,/,Harvard Dataverse,2017-12-18,s3://10.7910/DVN/RHPOYR,dataset,dataset
3087500,DVN/SWV9GJ,https://doi.org/10.7910/DVN/SWV9GJ,doi,10.7910,/,Harvard Dataverse,2017-12-20,file,dataset,dataset
3088114,DVN/VCWWGZ,https://doi.org/10.7910/DVN/VCWWGZ,doi,10.7910,/,Harvard Dataverse,2018-02-09,file,dataset,dataset
3092253,DVN/YJOPLH,https://doi.org/10.7910/DVN/YJOPLH,doi,10.7910,/,Harvard Dataverse,2018-01-22,s3://10.7910/DVN/YJOPLH,dataset,dataset
3094983,DVN/CVXOOS,https://doi.org/10.7910/DVN/CVXOOS,doi,10.7910,/,Harvard Dataverse,2018-02-25,file,dataset,dataset
3108319,DVN/YTZZIT,https://doi.org/10.7910/DVN/YTZZIT,doi,10.7910,/,Harvard Dataverse,2018-01-29,file,dataset,dataset
3109128,DVN/6NVI9C,https://doi.org/10.7910/DVN/6NVI9C,doi,10.7910,/,Harvard Dataverse,2018-03-01,s3://10.7910/DVN/6NVI9C,dataset,dataset
3117120,DVN/0DE35E,https://doi.org/10.7910/DVN/0DE35E,doi,10.7910,/,Harvard Dataverse,2018-02-04,s3://10.7910/DVN/0DE35E,dataset,dataset
3123577,DVN/SIGNC8,https://doi.org/10.7910/DVN/SIGNC8,doi,10.7910,/,Harvard Dataverse,2018-02-13,s3://10.7910/DVN/SIGNC8,dataset,dataset
3131790,DVN/E3ZSRO,https://doi.org/10.7910/DVN/E3ZSRO,doi,10.7910,/,Harvard Dataverse,2018-04-10,s3://10.7910/DVN/E3ZSRO,dataset,dataset
3132395,DVN/OQFMB6,https://doi.org/10.7910/DVN/OQFMB6,doi,10.7910,/,Harvard Dataverse,2018-03-23,s3://10.7910/DVN/OQFMB6,dataset,dataset
3148477,DVN/EAI1BB,https://doi.org/10.7910/DVN/EAI1BB,doi,10.7910,/,Harvard Dataverse,2018-05-28,s3://10.7910/DVN/EAI1BB,dataset,dataset
3152027,DVN/IS2KTU,https://doi.org/10.7910/DVN/IS2KTU,doi,10.7910,/,Harvard Dataverse,2018-06-08,s3://10.7910/DVN/IS2KTU,dataset,dataset
3157952,DVN/1KIEXG,https://doi.org/10.7910/DVN/1KIEXG,doi,10.7910,/,Harvard Dataverse,2018-06-19,s3://10.7910/DVN/1KIEXG,dataset,dataset
3174981,DVN/KROGFV,https://doi.org/10.7910/DVN/KROGFV,doi,10.7910,/,Harvard Dataverse,2018-06-08,s3://10.7910/DVN/KROGFV,dataset,dataset
3183065,DVN/5KM8VO,https://doi.org/10.7910/DVN/5KM8VO,doi,10.7910,/,Harvard Dataverse,2018-08-09,s3://10.7910/DVN/5KM8VO,dataset,dataset
3193512,DVN/ET8QLG,https://doi.org/10.7910/DVN/ET8QLG,doi,10.7910,/,Harvard Dataverse,2018-08-09,s3://10.7910/DVN/ET8QLG,dataset,dataset
3195518,DVN/8UNDWJ,https://doi.org/10.7910/DVN/8UNDWJ,doi,10.7910,/,Harvard Dataverse,2018-09-04,s3://10.7910/DVN/8UNDWJ,dataset,dataset
3201723,DVN/MNK26U,https://doi.org/10.7910/DVN/MNK26U,doi,10.7910,/,Harvard Dataverse,2018-09-10,s3://10.7910/DVN/MNK26U,dataset,dataset
3205844,DVN/G7F5VA,https://doi.org/10.7910/DVN/G7F5VA,doi,10.7910,/,Harvard Dataverse,2018-09-10,s3://10.7910/DVN/G7F5VA,dataset,dataset
3207838,DVN/0XSLQX,https://doi.org/10.7910/DVN/0XSLQX,doi,10.7910,/,Harvard Dataverse,2018-09-20,s3://10.7910/DVN/0XSLQX,dataset,dataset
3248385,DVN/NCH88M,https://doi.org/10.7910/DVN/NCH88M,doi,10.7910,/,Harvard Dataverse,2018-11-18,s3://10.7910/DVN/NCH88M,dataset,dataset
3308541,DVN/CXWIPM,https://doi.org/10.7910/DVN/CXWIPM,doi,10.7910,/,Harvard Dataverse,2018-12-10,s3://10.7910/DVN/CXWIPM,dataset,dataset
3316341,DVN/6FP9Z6,https://doi.org/10.7910/DVN/6FP9Z6,doi,10.7910,/,Harvard Dataverse,2018-12-11,s3://10.7910/DVN/6FP9Z6,dataset,dataset
3317140,DVN/N1HOB1,https://doi.org/10.7910/DVN/N1HOB1,doi,10.7910,/,Harvard Dataverse,2019-01-10,s3://10.7910/DVN/N1HOB1,dataset,dataset
3317390,DVN/KKFS8Y,https://doi.org/10.7910/DVN/KKFS8Y,doi,10.7910,/,Harvard Dataverse,2019-02-12,s3://10.7910/DVN/KKFS8Y,dataset,dataset
3317505,DVN/OR4R9O,https://doi.org/10.7910/DVN/OR4R9O,doi,10.7910,/,Harvard Dataverse,2019-01-11,s3://10.7910/DVN/OR4R9O,dataset,dataset
3319123,DVN/GPRPZL,https://doi.org/10.7910/DVN/GPRPZL,doi,10.7910,/,Harvard Dataverse,2019-01-11,s3://10.7910/DVN/GPRPZL,dataset,dataset
3333323,DVN/3EDO2Y,https://doi.org/10.7910/DVN/3EDO2Y,doi,10.7910,/,Harvard Dataverse,2019-01-28,s3://10.7910/DVN/3EDO2Y,dataset,dataset
3337809,DVN/NQFPF3,https://doi.org/10.7910/DVN/NQFPF3,doi,10.7910,/,Harvard Dataverse,2019-02-05,s3://10.7910/DVN/NQFPF3,dataset,dataset
3341432,DVN/UZJCO1,https://doi.org/10.7910/DVN/UZJCO1,doi,10.7910,/,Harvard Dataverse,2019-02-12,s3://10.7910/DVN/UZJCO1,dataset,dataset
3347754,DVN/PI2CBB,https://doi.org/10.7910/DVN/PI2CBB,doi,10.7910,/,Harvard Dataverse,2019-02-19,s3://10.7910/DVN/PI2CBB,dataset,dataset
3348829,DVN/8E1IIM,https://doi.org/10.7910/DVN/8E1IIM,doi,10.7910,/,Harvard Dataverse,2019-03-26,s3://10.7910/DVN/8E1IIM,dataset,dataset
3356433,DVN/6JGSZP,https://doi.org/10.7910/DVN/6JGSZP,doi,10.7910,/,Harvard Dataverse,2019-03-05,s3://10.7910/DVN/6JGSZP,dataset,dataset
3358891,DVN/GE3E8R,https://doi.org/10.7910/DVN/GE3E8R,doi,10.7910,/,Harvard Dataverse,2019-03-07,s3://10.7910/DVN/GE3E8R,dataset,dataset
