"dataset","file","package_list"
NA,NA,NA
"https://doi.org/10.7910/DVN/9F0SMU","economicvoting.R",""
"https://doi.org/10.7910/DVN/9F0SMU","get-neoliberalism.R",""
"https://doi.org/10.7910/DVN/9F0SMU","lscedefinition.R",""
"https://doi.org/10.7910/DVN/ZTTCOX","Barber_Eatough_Appendix_Figures.R","haven"
"https://doi.org/10.7910/DVN/ZTTCOX","Barber_Eatough_Figures.R","haven"
"https://doi.org/10.7910/DVN/UMSSKG","election_timing_economic_manipulation_code.R",""
"https://doi.org/10.7910/DVN/OOLBO9","stats_models_190123_rep.R","MASS"
"https://doi.org/10.7910/DVN/8HFVU8","1. Replication_Bakker_Lelkes_Malka_Understanding_Partisan_Cue_Receptivity_Batch.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Pooled_Analyses.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study1_appendix.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study1_coding.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study1_results.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study2_appendix.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study2_coding.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study2_results.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study3_coding.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study3_results.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study4_analyses.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study4_coding.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study5_TTIP_coding.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study5_TTIP_results.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study6_DK_coding.R",""
"https://doi.org/10.7910/DVN/8HFVU8","Study6_DK_results.R",""
"https://doi.org/10.7910/DVN/DQCFUN","replication_code_appendix.R",""
"https://doi.org/10.7910/DVN/DQCFUN","replication_code_article.R",""
"https://doi.org/10.7910/DVN/IOPELZ","JOP_Pereira_replication.R","interplot, stargazer, plyr, xtable"
"https://doi.org/10.7910/DVN/GIJBUU","eckhouse-2019-jop-analysis.R","data.table"
"https://doi.org/10.7910/DVN/O0JVDU","appendix_replicate.R",""
"https://doi.org/10.7910/DVN/O0JVDU","paper_replicate_menial.R",""
"https://doi.org/10.7910/DVN/O0JVDU","paper_replicate.R",""
"https://doi.org/10.7910/DVN/3DVZYY","JOP2019final.R",""
"https://doi.org/10.7910/DVN/3RNFFH","Clean Expanded Categories.R",""
"https://doi.org/10.7910/DVN/3RNFFH","Cleaning Variables for JOP Analysis.R",""
"https://doi.org/10.7910/DVN/3RNFFH","Full Analysis Replication File.R",""
"https://doi.org/10.7910/DVN/KVIJSY","KlueverSpoon_JOP_Replication-1.R",""
"https://doi.org/10.7910/DVN/GBZZXL","Black_Market_List_Experiment.R",""
"https://doi.org/10.7910/DVN/GBZZXL","Black_Market_TimeSeries.R",""
"https://doi.org/10.7910/DVN/D5VRDE","AutocratsExitCode.R",""
"https://doi.org/10.7910/DVN/D5VRDE","CongoReplicationCode.R","Zelig"
"https://doi.org/10.7910/DVN/D5VRDE","DescriptiveStatsFigureReplicationCode.R",""
"https://doi.org/10.7910/DVN/D5VRDE","KenyaReplicationCode.R","foreign"
"https://doi.org/10.7910/DVN/D5VRDE","MapsReplicationCode.R","rgeos"
"https://doi.org/10.7910/DVN/D5VRDE","PolityGraphReplicationCode.R",""
"https://doi.org/10.7910/DVN/DUW1QY","kstan_r_analysis_betas_balance_mlm_2019_04_03.R","MASS"
"https://doi.org/10.7910/DVN/19FSQZ","02_replicate_analyses.R",""
"https://doi.org/10.7910/DVN/19FSQZ","03_replication_empirics.R",""
"https://doi.org/10.7910/DVN/TXFTKV","01_Main_Analysis.R",""
"https://doi.org/10.7910/DVN/TXFTKV","02_Appendix.R",""
