id,identifier,persistentUrl,protocol,authority,publisher,publicationDate,storageIdentifier,type
66299,DVN/29108,https://doi.org/10.7910/DVN/29108,doi,10.7910,Harvard Dataverse,2015-02-13,s3://10.7910/DVN/29108,dataset
66300,DVN/29566,https://doi.org/10.7910/DVN/29566,doi,10.7910,Harvard Dataverse,2015-03-23,s3://10.7910/DVN/29566,dataset
66301,DVN/29446,https://doi.org/10.7910/DVN/29446,doi,10.7910,Harvard Dataverse,2015-03-10,s3://10.7910/DVN/29446,dataset
66302,DVN/29101,https://doi.org/10.7910/DVN/29101,doi,10.7910,Harvard Dataverse,2015-02-12,s3://10.7910/DVN/29101,dataset
66303,DVN/29487,https://doi.org/10.7910/DVN/29487,doi,10.7910,Harvard Dataverse,2015-03-17,s3://10.7910/DVN/29487,dataset
66304,DVN/29259,https://doi.org/10.7910/DVN/29259,doi,10.7910,Harvard Dataverse,2015-02-27,s3://10.7910/DVN/29259,dataset
66305,DVN/29231,https://doi.org/10.7910/DVN/29231,doi,10.7910,Harvard Dataverse,2015-02-25,s3://10.7910/DVN/29231,dataset
66306,DVN/29076,https://doi.org/10.7910/DVN/29076,doi,10.7910,Harvard Dataverse,2015-02-11,s3://10.7910/DVN/29076,dataset
66307,DVN/29743,https://doi.org/10.7910/DVN/29743,doi,10.7910,Harvard Dataverse,2015-04-03,s3://10.7910/DVN/29743,dataset
66308,DVN/29205,https://doi.org/10.7910/DVN/29205,doi,10.7910,Harvard Dataverse,2015-02-23,s3://10.7910/DVN/29205,dataset
66309,DVN/29026,https://doi.org/10.7910/DVN/29026,doi,10.7910,Harvard Dataverse,2015-02-05,s3://10.7910/DVN/29026,dataset
66310,DVN/29286,https://doi.org/10.7910/DVN/29286,doi,10.7910,Harvard Dataverse,2015-03-03,s3://10.7910/DVN/29286,dataset
66311,DVN/29427,https://doi.org/10.7910/DVN/29427,doi,10.7910,Harvard Dataverse,2015-03-09,s3://10.7910/DVN/29427,dataset
66312,DVN/28930,https://doi.org/10.7910/DVN/28930,doi,10.7910,Harvard Dataverse,2015-01-29,s3://10.7910/DVN/28930,dataset
66313,DVN/29314,https://doi.org/10.7910/DVN/29314,doi,10.7910,Harvard Dataverse,2015-03-06,s3://10.7910/DVN/29314,dataset
66314,DVN/29179,https://doi.org/10.7910/DVN/29179,doi,10.7910,Harvard Dataverse,2015-02-27,s3://10.7910/DVN/29179,dataset
66315,DVN/28929,https://doi.org/10.7910/DVN/28929,doi,10.7910,Harvard Dataverse,2015-01-30,s3://10.7910/DVN/28929,dataset
66316,DVN/29559,https://doi.org/10.7910/DVN/29559,doi,10.7910,Harvard Dataverse,2015-03-20,s3://10.7910/DVN/29559,dataset
66318,DVN/29117,https://doi.org/10.7910/DVN/29117,doi,10.7910,Harvard Dataverse,2015-02-13,s3://10.7910/DVN/29117,dataset
66319,DVN/29379,https://doi.org/10.7910/DVN/29379,doi,10.7910,Harvard Dataverse,2015-03-09,s3://10.7910/DVN/29379,dataset
2668847,DVN/DGHX1E,https://doi.org/10.7910/DVN/DGHX1E,doi,10.7910,Harvard Dataverse,2015-04-22,s3://10.7910/DVN/DGHX1E,dataset
2671182,DVN/PAKFM8,https://doi.org/10.7910/DVN/PAKFM8,doi,10.7910,Harvard Dataverse,2015-04-30,s3://10.7910/DVN/PAKFM8,dataset
2674233,DVN/GKWF0N,https://doi.org/10.7910/DVN/GKWF0N,doi,10.7910,Harvard Dataverse,2015-05-07,s3://10.7910/DVN/GKWF0N,dataset
2674449,DVN/AOL6XC,https://doi.org/10.7910/DVN/AOL6XC,doi,10.7910,Harvard Dataverse,2015-05-15,s3://10.7910/DVN/AOL6XC,dataset
2674494,DVN/U1CB0K,https://doi.org/10.7910/DVN/U1CB0K,doi,10.7910,Harvard Dataverse,2017-04-14,s3://10.7910/DVN/U1CB0K,dataset
2676709,DVN/NJRZXP,https://doi.org/10.7910/DVN/NJRZXP,doi,10.7910,Harvard Dataverse,2015-05-15,s3://10.7910/DVN/NJRZXP,dataset
2678174,DVN/YBMKUX,https://doi.org/10.7910/DVN/YBMKUX,doi,10.7910,Harvard Dataverse,2015-05-25,s3://10.7910/DVN/YBMKUX,dataset
2679442,DVN/BYLEA4,https://doi.org/10.7910/DVN/BYLEA4,doi,10.7910,Harvard Dataverse,2015-07-16,s3://10.7910/DVN/BYLEA4,dataset
2679960,DVN/ASKRHF,https://doi.org/10.7910/DVN/ASKRHF,doi,10.7910,Harvard Dataverse,2015-05-26,s3://10.7910/DVN/ASKRHF,dataset
2680673,DVN/DGXXH9,https://doi.org/10.7910/DVN/DGXXH9,doi,10.7910,Harvard Dataverse,2015-06-01,s3://10.7910/DVN/DGXXH9,dataset
2681415,DVN/A3NQDR,https://doi.org/10.7910/DVN/A3NQDR,doi,10.7910,Harvard Dataverse,2015-06-05,s3://10.7910/DVN/A3NQDR,dataset
2681667,DVN/7KSNCE,https://doi.org/10.7910/DVN/7KSNCE,doi,10.7910,Harvard Dataverse,2015-06-09,s3://10.7910/DVN/7KSNCE,dataset
2681810,DVN/VPTIEZ,https://doi.org/10.7910/DVN/VPTIEZ,doi,10.7910,Harvard Dataverse,2015-06-10,s3://10.7910/DVN/VPTIEZ,dataset
2688031,DVN/JDPNNU,https://doi.org/10.7910/DVN/JDPNNU,doi,10.7910,Harvard Dataverse,2015-07-28,s3://10.7910/DVN/JDPNNU,dataset
2688398,DVN/XTQJEN,https://doi.org/10.7910/DVN/XTQJEN,doi,10.7910,Harvard Dataverse,2015-06-19,s3://10.7910/DVN/XTQJEN,dataset
2688855,DVN/VGI93T,https://doi.org/10.7910/DVN/VGI93T,doi,10.7910,Harvard Dataverse,2015-07-20,s3://10.7910/DVN/VGI93T,dataset
2689418,DVN/UE1JXM,https://doi.org/10.7910/DVN/UE1JXM,doi,10.7910,Harvard Dataverse,2015-07-16,s3://10.7910/DVN/UE1JXM,dataset
2689910,DVN/VDH088,https://doi.org/10.7910/DVN/VDH088,doi,10.7910,Harvard Dataverse,2015-06-29,s3://10.7910/DVN/VDH088,dataset
