,dataverse_id,datavese_link,repo,Rank,Publication ,Impact Factor,Total Citations
,ajps,https://dataverse.harvard.edu/dataverse/ajps,harvard,20,American Journal of Political Science,4.2,15324
,BJPolS,https://dataverse.harvard.edu/dataverse/BJPolS,harvard,10,British Journal of Political Science,5,5578
,bpsr,https://dataverse.harvard.edu/dataverse/bpsr,,,Brazilian Political Science Review,,
,cjp,https://dataverse.harvard.edu/dataverse/cjp,harvard,33,Canadian Journal of Political Science / Revue candienne de science politique,3.5,1467
,cps,https://dataverse.harvard.edu/dataverse/cps,harvard,11,Comparative Political Studies,5,7214
,FPA,https://dataverse.harvard.edu/dataverse/FPA,,,Foreign Policy Analysis,,
,internationalinteractions,https://dataverse.harvard.edu/dataverse/internationalinteractions,,,International Interactions,,
no specific instructions,IOJ,https://dataverse.harvard.edu/dataverse/IOJ,,3,International Organization,7.8,8555
,ipsr-risp,https://dataverse.harvard.edu/dataverse/ipsr-risp,,,Italian Political Science Review,,
,isec,https://dataverse.harvard.edu/dataverse/isec,,,International Security,,
,isq,https://dataverse.harvard.edu/dataverse/isq,harvard,61,International Studies Quarterly,2.6,5681
,JBPA,https://dataverse.harvard.edu/dataverse/JBPA,,,Journal of Behavioral Public Administration,,
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,jhr,https://dataverse.harvard.edu/dataverse/jhr,,89,Journal of Human Rights,1.9,775
,jhr,https://dataverse.harvard.edu/dataverse/jhr,,,Journal of Human Rights ,,
,JJPS,https://dataverse.harvard.edu/dataverse/JJPS,,,Japanese Journal of Political Science,,
,jlc,https://dataverse.harvard.edu/dataverse/jlc,,,Journal of Law and Courts,,
,jop,https://dataverse.harvard.edu/dataverse/jop,,47,Journal of Politics,3.1,11354
,jpipe,https://dataverse.harvard.edu/dataverse/jpipe,,,Journal of Political Institutions and Political Economy,,
,JPublicPolicy,https://dataverse.harvard.edu/dataverse/JPublicPolicy,harvard,66,Journal of Public Policy,2.4,1316
,LAPS,https://dataverse.harvard.edu/dataverse/LAPS,harvard,91,Latin American Politics and Society,1.9,865
,lsq,https://dataverse.harvard.edu/dataverse/lsq,,,Legislative Studies Quarterly,,
,pa,https://dataverse.harvard.edu/dataverse/pa,harvard,34,Public Administration,3.5,5033
,pan,https://dataverse.harvard.edu/dataverse/pan,harvard,8,Political Analysis,5.4,6202
,PAR,https://dataverse.harvard.edu/dataverse/PAR,,,Public Administration Review ,,
,perspectives,https://dataverse.harvard.edu/dataverse/perspectives,harvard,29,Perspectives on Politics,3.8,3802
,polbehavior,https://dataverse.harvard.edu/dataverse/polbehavior,harvard,26,Political Behavior,3.9,4450
,politicsandgender,https://dataverse.harvard.edu/dataverse/politicsandgender,harvard,36,Politics & Gender,3.4,1682
,ps,https://dataverse.harvard.edu/dataverse/ps,,40,PS: Political Science & Politics,3.3,3668
,PSRM,https://dataverse.harvard.edu/dataverse/PSRM,harvard,27,Political Science Research and Methods,3.9,1734
Making datasets publicly available is also a policy of Research & Politics. Authors should ensure that data is available at the time of publication through a recognised third party data repository and will be prompted to upload their data to Dataverse on acceptance of their article. ,researchandpolitics,https://dataverse.harvard.edu/dataverse/researchandpolitics,,59,Research & Politics,2.7,1410
,securitystudies,https://dataverse.harvard.edu/dataverse/securitystudies,,,Security Studies,,
,the_review,https://dataverse.harvard.edu/dataverse/the_review,harvard,5,American Political Science Review,6.8,18797
,tpmnewsletter,https://dataverse.harvard.edu/dataverse/tpmnewsletter,,,The Political Methodologist,,
,world-politics,https://dataverse.harvard.edu/dataverse/world-politics,harvard,12,World Politics,5,4895
,xps,https://dataverse.harvard.edu/dataverse/xps,,,Journal of Experimental Political Science ,,
,sppq,https://dataverse.unc.edu/dataverse/sppq,,,State Politics & Policy Quarterly,,
,,https://figshare.com/search?q=Journal%20of%20European%20Public%20Policy,figshare,21,Journal of European Public Policy,4.2,6063
,,https://www.prio.org/journals/jpr/replicationdata,prio,32,Journal of Peace Research,3.6,6490
,JPE_Macroeconomics,https://dataverse.harvard.edu/dataverse/JPE_Macroeconomics,harvard,,Journal of Political Economy Macroeconomics,,
"Candidates for inclusion in this online repository are figures that will not reproduce well in print, lengthy tables, data sets, and multimedia objects (e.g., sound, video, animations, 3D objects, etc.).",,,,1,Annual Review of Political Science,10.8,5962
no specific repo,,,,2,Policy and Society,9.3,2000
Authors agree to make data and materials supporting the results or analyses presented in their paper available upon reasonable request. It is up to the author to determine whether a request is reasonable.,,,,4,Political Communication,7.5,3509
Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,6,Contemporary Security Policy,5.9,846
Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,7,Environmental Politics,5.5,4437
Manuscripts accepted for publication must be in line with the common ECPR policy on data access and research transparency. This implies that we will request authors of papers partially or fully relying on quantitative data to submit all data required to enable full replication; this data will be published as an online appendix together with the manuscript.,,,,9,European Journal of Political Research,5.3,5043
This journal encourages data sharing.,,,,13,Policy & Internet,4.9,1040
No data statement,,,,14,Global Environmental Politics,4.8,2072
No data statement,,,,15,The International Journal of Press/Politics,4.8,1873
"The use of online appendices is encouraged, to make data associated with your article available to others.",,,,16,Policy & Politics,4.7,1609
"Availability of Materials/data/code: Political Psychology requires authors to include a declaration that indicates whether or not the data, methods used in the analysis, and materials used to conduct the research will be made available to any researcher for purposes of reproducing the results or replicating the procedure. ",,,,17,Political Psychology,4.6,7167
No data statement,,,,18,Journal of Chinese Political Science,4.4,826
Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,19,Review of International Political Economy,4.3,3600
"We require that data be presented in the main manuscript or additional supporting files, or deposited in a public repository whenever possible.",,,,22,Journal of Public Administration Research and Theory,4.2,6690
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,23,New Political Economy,4.2,2591
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,24,West European Politics,4.2,4156
"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.",,,,25,Political Geography,4.1,5350
"Authors are strongly encouraged to deposit their supporting data in a publicly available repository. Sharing your data in a repository promotes the integrity, discovery and reuse of your research, making it easier for the research community to build on and credit your work.",,,,28,Review of International Organizations,3.9,1592
This journal encourages data sharing. Review Wiley’s Data Sharing policy where you will be able to see and select the data availability statement that is right for your submission.,,,,30,Policy Studies Journal,3.8,3417
No data statement,,,,31,Socio-Economic Review,3.7,2772
"All original research must include a data availability statement. This statement should explain how to access data supporting the results and analysis in the article, including links/citations to publicly archived datasets analysed or generated during the study.",,,,35,"International Environmental Agreements: Politics, Law and Economics",3.4,1622
"Our Open Science and Replication Policies require all authors of accepted manuscripts to either (a) place replication data and code in a permanent archive or (b) secure an exception from the editors whenever (i) the safety and privacy of the respondents would be jeopardized, (ii) disclosure is prohibited by the owners of the data, or (iii) there is another compelling ethical rationale for not placing the data in the public domain.",,,,37,Public Opinion Quarterly,3.4,7550
No data statement,,,,38,International Studies Review,3.3,1892
Data availability statement (optional),,,,39,International Theory,3.3,839
"Supplemental online material. Supplemental material can be a video, dataset, fileset, sound file or anything which supports (and is pertinent to) your paper. We publish supplemental material online via Figshare. ",,,,41,South European Society and Politics,3.3,996
"If you choose to share or make the data underlying the study open, please deposit your data in a recognized data repository prior to or at the time of submission. You will be asked to provide the DOI, pre-reserved DOI, or other persistent identifier for the data set.",,,,42,Democratization,3.2,2720
"Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan.",,,,43,East European Politics,3.2,820
Authors wishing to submit their research results for publication must consider making public their data except in valid situations for ethical reasons. ,,,,44,European Political Science Review,3.2,1174
Authors of quantitative empirical articles must make their data and other relevant material available for replication purposes. Please note the firm JCR replication policy.,,,own website,45,Journal of Conflict Resolution,3.1,6671
No data statement,,,,46,Journal of Democracy,3.1,4203
"Political Studies requests all authors to submit any primary data used in their research articles if the articles are accepted to be published in the online version of the journal, or provide detailed information in their articles on how the data can be obtained. This information should include links to third-party data repositories or detailed contact information for third-party data sources. Data available only on an author-maintained website will need to be loaded onto either the journal’s platform or a third-party platform to ensure continuing accessibility.",,,,48,Political Studies,3.1,4435
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,49,Social Movement Studies,3.1,1644
This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.,,,,50,Journal of Chinese Governance,3,426
