"id","identifier","persistentUrl","protocol","authority","publisher","publicationDate","storageIdentifier","type"
6353711,"DVN/587F9Z","https://doi.org/10.7910/DVN/587F9Z","doi","10.7910","Harvard Dataverse","2022-06-28","s3://10.7910/DVN/587F9Z","dataset"
6380379,"DVN/XKBJ0Q","https://doi.org/10.7910/DVN/XKBJ0Q","doi","10.7910","Harvard Dataverse","2022-07-18","s3://10.7910/DVN/XKBJ0Q","dataset"
6389935,"DVN/PNLZIX","https://doi.org/10.7910/DVN/PNLZIX","doi","10.7910","Harvard Dataverse","2022-07-22","s3://10.7910/DVN/PNLZIX","dataset"
6389998,"DVN/BAE6IH","https://doi.org/10.7910/DVN/BAE6IH","doi","10.7910","Harvard Dataverse","2022-07-27","s3://10.7910/DVN/BAE6IH","dataset"
6402512,"DVN/RC7OVD","https://doi.org/10.7910/DVN/RC7OVD","doi","10.7910","Harvard Dataverse","2022-07-29","s3://10.7910/DVN/RC7OVD","dataset"
6410904,"DVN/R9Y6YN","https://doi.org/10.7910/DVN/R9Y6YN","doi","10.7910","Harvard Dataverse","2022-08-04","s3://10.7910/DVN/R9Y6YN","dataset"
6413824,"DVN/ZS00JR","https://doi.org/10.7910/DVN/ZS00JR","doi","10.7910","Harvard Dataverse","2022-08-09","s3://10.7910/DVN/ZS00JR","dataset"
6414680,"DVN/PFSRVT","https://doi.org/10.7910/DVN/PFSRVT","doi","10.7910","Harvard Dataverse","2022-08-10","s3://10.7910/DVN/PFSRVT","dataset"
6425190,"DVN/ULGXVU","https://doi.org/10.7910/DVN/ULGXVU","doi","10.7910","Harvard Dataverse","2022-08-24","s3://10.7910/DVN/ULGXVU","dataset"
6430042,"DVN/KOFDTJ","https://doi.org/10.7910/DVN/KOFDTJ","doi","10.7910","Harvard Dataverse","2022-08-24","s3://10.7910/DVN/KOFDTJ","dataset"
6431636,"DVN/DVY8DP","https://doi.org/10.7910/DVN/DVY8DP","doi","10.7910","Harvard Dataverse","2022-08-30","s3://10.7910/DVN/DVY8DP","dataset"
6435359,"DVN/WUUZJ3","https://doi.org/10.7910/DVN/WUUZJ3","doi","10.7910","Harvard Dataverse","2022-08-30","s3://10.7910/DVN/WUUZJ3","dataset"
6435476,"DVN/ULSBAB","https://doi.org/10.7910/DVN/ULSBAB","doi","10.7910","Harvard Dataverse","2022-08-30","s3://10.7910/DVN/ULSBAB","dataset"
6458074,"DVN/ZOCGZN","https://doi.org/10.7910/DVN/ZOCGZN","doi","10.7910","Harvard Dataverse","2022-09-07","s3://10.7910/DVN/ZOCGZN","dataset"
6479579,"DVN/S14QCI","https://doi.org/10.7910/DVN/S14QCI","doi","10.7910","Harvard Dataverse","2022-09-13","s3://10.7910/DVN/S14QCI","dataset"
6491363,"DVN/GXA5UX","https://doi.org/10.7910/DVN/GXA5UX","doi","10.7910","Harvard Dataverse","2022-09-23","s3://10.7910/DVN/GXA5UX","dataset"
6544184,"DVN/ANCGMY","https://doi.org/10.7910/DVN/ANCGMY","doi","10.7910","Harvard Dataverse","2022-10-04","s3://10.7910/DVN/ANCGMY","dataset"
6545277,"DVN/GVLDPZ","https://doi.org/10.7910/DVN/GVLDPZ","doi","10.7910","Harvard Dataverse","2022-09-23","s3://10.7910/DVN/GVLDPZ","dataset"
6583833,"DVN/X0YWXF","https://doi.org/10.7910/DVN/X0YWXF","doi","10.7910","Harvard Dataverse","2022-10-25","s3://10.7910/DVN/X0YWXF","dataset"
6583883,"DVN/Q3I619","https://doi.org/10.7910/DVN/Q3I619","doi","10.7910","Harvard Dataverse","2022-10-25","s3://10.7910/DVN/Q3I619","dataset"
6696455,"DVN/UAJIRH","https://doi.org/10.7910/DVN/UAJIRH","doi","10.7910","Harvard Dataverse","2022-11-21","s3://10.7910/DVN/UAJIRH","dataset"
6698088,"DVN/PV7LVY","https://doi.org/10.7910/DVN/PV7LVY","doi","10.7910","Harvard Dataverse","2022-12-02","s3://10.7910/DVN/PV7LVY","dataset"
6704179,"DVN/MV1KTF","https://doi.org/10.7910/DVN/MV1KTF","doi","10.7910","Harvard Dataverse","2022-11-21","s3://10.7910/DVN/MV1KTF","dataset"
6708570,"DVN/ZXRUDW","https://doi.org/10.7910/DVN/ZXRUDW","doi","10.7910","Harvard Dataverse","2022-11-22","s3://10.7910/DVN/ZXRUDW","dataset"
6752377,"DVN/X3OEI2","https://doi.org/10.7910/DVN/X3OEI2","doi","10.7910","Harvard Dataverse","2022-11-25","s3://10.7910/DVN/X3OEI2","dataset"
6768253,"DVN/YUHGD5","https://doi.org/10.7910/DVN/YUHGD5","doi","10.7910","Harvard Dataverse","2022-12-06","s3://10.7910/DVN/YUHGD5","dataset"
6768655,"DVN/JJSCNE","https://doi.org/10.7910/DVN/JJSCNE","doi","10.7910","Harvard Dataverse","2022-12-13","s3xxl://10.7910/DVN/JJSCNE","dataset"
6794814,"DVN/TBMUWR","https://doi.org/10.7910/DVN/TBMUWR","doi","10.7910","Harvard Dataverse","2022-12-14","s3://10.7910/DVN/TBMUWR","dataset"
6821915,"DVN/XOYH7P","https://doi.org/10.7910/DVN/XOYH7P","doi","10.7910","Harvard Dataverse","2023-01-20","s3://10.7910/DVN/XOYH7P","dataset"
6879288,"DVN/XRSOAC","https://doi.org/10.7910/DVN/XRSOAC","doi","10.7910","Harvard Dataverse","2023-01-18","s3://10.7910/DVN/XRSOAC","dataset"
6882732,"DVN/CVXEEE","https://doi.org/10.7910/DVN/CVXEEE","doi","10.7910","Harvard Dataverse","2023-01-18","s3://10.7910/DVN/CVXEEE","dataset"
6884766,"DVN/SAYY1S","https://doi.org/10.7910/DVN/SAYY1S","doi","10.7910","Harvard Dataverse","2023-01-18","s3://10.7910/DVN/SAYY1S","dataset"
6892283,"DVN/OYHSJL","https://doi.org/10.7910/DVN/OYHSJL","doi","10.7910","Harvard Dataverse","2023-01-20","s3://10.7910/DVN/OYHSJL","dataset"
6902507,"DVN/VBUVPD","https://doi.org/10.7910/DVN/VBUVPD","doi","10.7910","Harvard Dataverse","2023-02-07","s3://10.7910/DVN/VBUVPD","dataset"
6903547,"DVN/ZB45FV","https://doi.org/10.7910/DVN/ZB45FV","doi","10.7910","Harvard Dataverse","2023-02-07","s3://10.7910/DVN/ZB45FV","dataset"
6904570,"DVN/BCN1QF","https://doi.org/10.7910/DVN/BCN1QF","doi","10.7910","Harvard Dataverse","2023-02-01","s3://10.7910/DVN/BCN1QF","dataset"
6918985,"DVN/UHIIHN","https://doi.org/10.7910/DVN/UHIIHN","doi","10.7910","Harvard Dataverse","2023-02-06","s3://10.7910/DVN/UHIIHN","dataset"
6950395,"DVN/AAY3TQ","https://doi.org/10.7910/DVN/AAY3TQ","doi","10.7910","Harvard Dataverse","2023-03-02","s3://10.7910/DVN/AAY3TQ","dataset"
6960026,"DVN/AMD3NO","https://doi.org/10.7910/DVN/AMD3NO","doi","10.7910","Harvard Dataverse","2023-03-31","s3://10.7910/DVN/AMD3NO","dataset"
