language,year,n_deposits_at_risk
notebook,2015,1
notebook,2016,1
notebook,2017,2
notebook,2018,6
notebook,2019,4
notebook,2020,19
notebook,2021,22
notebook,2022,29
notebook,2023,37
notebook,2024,72
notebook,2025,74
notebook,2026,55
python,2009,1
python,2012,4
python,2013,1
python,2014,1
python,2015,2
python,2016,10
python,2017,15
python,2018,20
python,2019,24
python,2020,39
python,2021,82
python,2022,69
python,2023,107
python,2024,152
python,2025,206
python,2026,176
r,2007,1
r,2010,5
r,2011,20
r,2012,25
r,2013,51
r,2014,56
r,2015,141
r,2016,190
r,2017,240
r,2018,374
r,2019,370
r,2020,511
r,2021,635
r,2022,617
r,2023,736
r,2024,876
r,2025,1012
r,2026,611
rmarkdown,2012,1
rmarkdown,2013,1
rmarkdown,2015,1
rmarkdown,2016,7
rmarkdown,2017,13
rmarkdown,2018,18
rmarkdown,2019,22
rmarkdown,2020,46
rmarkdown,2021,61
rmarkdown,2022,80
rmarkdown,2023,84
rmarkdown,2024,123
rmarkdown,2025,161
rmarkdown,2026,95
stata,2007,16
stata,2008,13
stata,2009,7
stata,2010,33
stata,2011,28
stata,2012,132
stata,2013,159
stata,2014,195
stata,2015,295
stata,2016,353
stata,2017,455
stata,2018,717
stata,2019,521
stata,2020,667
stata,2021,779
stata,2022,818
stata,2023,980
stata,2024,1016
stata,2025,1138
stata,2026,620
