ecosystem,package,version,version_source,n_deposits
base_r,parallel,3.6.0,install,1
cran,ADtools,0.5.5,renv_lock,1
cran,AER,1.2-10,description,3
cran,AER,1.2-12,renv_lock,3
cran,AER,1.2-10,renv_lock,3
cran,AER,1.2-9,description,3
cran,AER,1.2-16,renv_lock,2
cran,AER,1.2-15,renv_lock,2
cran,AER,1.2-16,description,1
cran,AER,1.2-14,renv_lock,1
cran,AICcmodavg,2.3-4,renv_lock,1
cran,Amelia,1.8.1,renv_lock,2
cran,Amelia,1.8.1,description,1
cran,Amelia,1.8.3,renv_lock,1
cran,AnnotationModelsR,0.1.2,renv_lock,1
cran,AsioHeaders,1.22.1-2,description,4
cran,AsioHeaders,1.22.1-2,renv_lock,1
cran,BART,2.9.4,install,1
cran,BART,2.9,description,1
cran,BART,2.9,renv_lock,1
cran,BAS,1.7.5,renv_lock,1
cran,BB,2019.10-1,renv_lock,1
cran,BBmisc,1.11,renv_lock,1
cran,BBmisc,1.11,description,1
cran,BH,1.87.0-1,renv_lock,12
cran,BH,1.81.0-1,renv_lock,9
cran,BH,1.75.0-0,renv_lock,6
cran,BH,1.84.0-0,renv_lock,5
cran,BH,1.90.0-1,renv_lock,5
cran,BH,1.75.0-0,description,2
cran,BH,1.69.0-1,renv_lock,2
cran,BH,1.72.0-3,renv_lock,2
cran,BH,1.81.0-1,description,2
cran,BH,1.60.0-2,description,1
cran,BH,1.78.0-0,renv_lock,1
cran,BH,1.72.0-3,description,1
cran,BH,1.87.0-1,description,1
cran,BH,1.66.0-1,description,1
cran,BLPestimatoR,0.3.2,description,1
cran,BMisc,1.4.8,renv_lock,2
cran,BMisc,1.4.9,renv_lock,1
cran,BMisc,1.4.6,description,1
cran,BMisc,1.4.7,description,1
cran,BRS,0.0.0.9006,description,1
cran,BTM,0.3.6,renv_lock,1
cran,BaM,1.0.3,renv_lock,1
cran,BayesTree,0.3-1.4,description,1
cran,Biobase,2.43.1,description,1
cran,BiocManager,1.30.27,renv_lock,1
cran,BiocManager,1.30.22,renv_lock,1
cran,BiocVersion,3.22.0,renv_lock,1
cran,BoostGraph,0.2.0.9000,description,1
cran,BradleyTerry2,1.1-2,description,1
cran,Brobdingnag,1.2-9,renv_lock,3
cran,Brobdingnag,1.2-6,renv_lock,1
cran,Brobdingnag,1.2-7,renv_lock,1
cran,Brobdingnag,1.2-9,description,1
cran,Bullock,1.19,description,1
cran,CBPS,0.23,renv_lock,3
cran,CBPS,0.24,renv_lock,1
cran,CBPS,0.23,description,1
cran,CBPS,0.23,install,1
cran,CLmisc,0.0.0.9017,renv_lock,1
cran,COGugaison,1.0.8,renv_lock,1
cran,CVXR,1.0-15,renv_lock,2
cran,CVXR,1.0-12,description,1
cran,CVXR,1.0-14,renv_lock,1
cran,CVXR,1.0-15,description,1
cran,CVXR,1.0-11,description,1
cran,Cairo,1.6-2,renv_lock,2
cran,Cairo,1.7-0,renv_lock,1
cran,Cairo,1.6-2,description,1
cran,Cairo,1.6-0,renv_lock,1
cran,CircSpatial,1.0-1,description,1
cran,ClusterR,1.3.1,description,1
cran,CompQuadForm,1.4.3,description,1
cran,Cubist,0.4.4,description,1
