name,language,host,in_registry,n_deposits_installing,n_deposits_loading
grc1leg,stata,stata.com,True,69,60
reghdfe,stata,raw.githubusercontent.com,True,61,50
ftools,stata,raw.githubusercontent.com,True,59,2
ivreghdfe,stata,raw.githubusercontent.com,True,53,42
cleanplots,stata,tdmize.github.io,True,20,0
gr0002_3,stata,stata-journal.com,True,15,0
scheme-modern,stata,raw.githubusercontent.com,True,14,0
binsreg,stata,raw.githubusercontent.com,True,13,13
rdrobust,stata,raw.githubusercontent.com,True,11,7
binscatter2,stata,raw.githubusercontent.com,True,10,8
st0085_2,stata,stata-journal.com,True,10,0
lpdensity,stata,raw.githubusercontent.com,True,9,0
rscript,stata,raw.githubusercontent.com,True,9,8
cjpowR,r,github.com,False,8,8
rddensity,stata,raw.githubusercontent.com,True,8,8
sg97_5,stata,stata-journal.com,True,8,0
cregg,r,github.com,True,7,6
starpolishr,r,github.com,False,7,4
HonestDiD,r,github.com,True,6,6
clarify,stata,gking.harvard.edu,True,6,0
gr0034,stata,stata-journal.com,True,6,0
matrix_to_txt,stata,raw.githubusercontent.com,True,6,3
outreg2,stata,fmwww.bc.edu,True,6,4
parallel,stata,raw.github.com,True,6,1
preliminaries,stata,raw.githubusercontent.com,True,6,0
require,stata,raw.githubusercontent.com,True,6,4
catcibar,stata,aarondwolf.github.io,True,5,4
exr,r,github.com,False,5,5
grc1leg2,stata,digital.cgdev.org,True,5,4
gtools,stata,(local path or macro),True,5,1
polychoric,stata,staskolenikov.net,True,5,5
rdrobust,stata,sites.google.com,True,5,4
vdemdata,r,github.com,False,5,3
acreg,stata,acregstata.weebly.com,True,4,2
amen,r,github.com,True,4,2
dm0082,stata,stata-journal.com,True,4,0
dm7,stata,stata.com,True,4,0
dm79,stata,stata.com,True,4,0
dm88_1,stata,stata-journal.com,True,4,0
estout,stata,fmwww.bc.edu,True,4,1
ftools,stata,github.com,True,4,1
gr0059_1,stata,stata-journal.com,True,4,0
lincomestadd,stata,github.com,True,4,4
reghdfe,stata,(local path or macro),True,4,4
socsci,r,github.com,False,4,4
xfill,stata,sealedenvelope.com,True,4,3
DCPOtools,r,github.com,False,3,3
KBAL,r,github.com,False,3,1
Kmisc,r,github.com,True,3,3
LalRUtils,r,github.com,False,3,3
MatchingFrontier,r,github.com,True,3,3
asdoc,stata,fintechprofessor.com,True,3,3
augsynth,r,github.com,False,3,2
