name,language,n_deposits,n_mentions,n_deposits_defining
DCdensity,stata,65,168,10
btscs,stata,57,230,0
vdemdata,r,29,56,0
arcpy,python,28,552,0
ols_spatial_HAC,stata,27,355,6
starpolishr,r,24,73,0
grinter,stata,23,93,0
cmdstanr,r,23,86,0
cgmreg,stata,22,895,3
simcf,r,20,63,0
_regress,stata,14,92,0
beep,stata,14,78,0
reg2hdfespatial,stata,13,232,5
JOBID,stata,13,62,0
gurobi,r,12,50,0
austin,r,11,93,0
The,stata,11,15,0
prchange,stata,9,59,0
quanteda.dictionaries,r,9,17,0
This,stata,9,16,0
xi3,stata,8,71,1
e,stata,8,39,0
ebayes,stata,8,25,4
ffind,stata,8,25,3
Figure,stata,8,24,1
the,stata,8,12,0
Replication,stata,8,8,0
xtfevd,stata,7,1142,1
sigstar,stata,7,771,2
lassoShooting,stata,7,69,5
synthdid,r,7,23,0
arcgisscripting,python,7,16,0
commarobust,r,7,15,0
starbility,r,7,13,0
quanteda.corpora,r,7,12,0
glmmADMB,r,7,11,0
cjpowR,r,7,10,0
a,stata,7,8,0
gslab_make,python,6,1108,0
pstar,stata,6,982,0
soepdrop,stata,6,370,0
Model,stata,6,107,2
psacalc2,stata,6,50,0
from,stata,6,46,0
panelcombine,stata,6,24,5
sartsel,stata,6,24,1
equivtest,r,6,21,0
misschk,stata,6,19,0
urbnmapr,r,6,15,0
tile,r,6,14,0
plotfds,stata,6,10,0
bartik_weight,stata,6,9,6
of,stata,6,8,0
s,stata,6,7,0
dmetar,r,6,6,0
that,stata,6,6,0
soepkeep,stata,5,130,0
qgis,python,5,64,0
guse,stata,5,42,0
hline,stata,5,41,0
gsave,stata,5,40,0
_simp,stata,5,37,4
x_ols,stata,5,29,4
real,stata,5,26,0
ggthemr,r,5,15,0
x,stata,5,15,0
and,stata,5,11,0
rethinking,r,5,11,0
We,stata,5,10,0
A,stata,5,8,0
in,stata,5,7,0
xxx,stata,5,7,0
ggsankey,r,5,5,0
rifreg,stata,4,420,1
dursel,stata,4,43,0
xtileJ,stata,4,37,0
gslab_scons,python,4,36,0
cgmlogit,stata,4,34,0
_cons,stata,4,25,0
not,stata,4,25,0
close,stata,4,24,0
rddisttestk,stata,4,24,2
X,stata,4,20,0
taxsim9,stata,4,20,0
it,stata,4,19,0
_grmiss2,stata,4,15,2
goji,r,4,11,0
rtree,r,4,11,0
already,stata,4,8,0
vms_lib,python,4,8,0
augsynth,r,4,7,0
manyiv,stata,4,7,0
ritest,r,4,7,0
stdidx,r,4,7,0
I,stata,4,6,0
standard2,stata,4,6,0
to,stata,4,6,0
are,stata,4,5,0
dsl,r,4,5,0
haschaR,r,4,5,0
married,stata,4,5,0
this,stata,4,5,0
zipWRUext2,r,4,5,0
democracyData,r,4,4,0
spDataLarge,r,4,4,0
tempfil,stata,4,4,0
void,stata,4,4,0
adolc,python,3,267,0
rreg2,stata,3,206,2
Iteration,stata,3,159,0
edvreg,stata,3,134,1
minq,stata,3,132,2
tostregress,stata,3,119,0
csdid2,stata,3,105,1
portableParallelSeeds,r,3,74,0
ext,stata,3,71,0
praccum,stata,3,58,0
rcall,stata,3,56,3
using,stata,3,43,1
markdoc,stata,3,27,0
pspm,r,3,27,0
Group,stata,3,26,0
_gzanthro,stata,3,22,0
LEDA,r,3,21,0
LR,stata,3,20,1
sgmediation,stata,3,20,0
_renamefile,stata,3,18,0
fdzinstall,stata,3,18,0
nogaps,stata,3,17,0
