source,collection_id,language,package,n_deposits
dataverse,BJPolS,python,pandas,16
dataverse,BJPolS,python,numpy,13
dataverse,BJPolS,python,scikit-learn,7
dataverse,BJPolS,python,torch,6
dataverse,BJPolS,python,transformers,6
dataverse,BJPolS,python,matplotlib,5
dataverse,BJPolS,python,datasets,4
dataverse,BJPolS,python,nltk,3
dataverse,BJPolS,python,networkx,3
dataverse,BJPolS,python,seaborn,3
dataverse,BJPolS,python,google-api-python-client,2
dataverse,BJPolS,python,spacy,2
dataverse,BJPolS,python,requests,2
dataverse,BJPolS,python,gensim,2
dataverse,BJPolS,python,statsmodels,2
dataverse,BJPolS,python,tqdm,2
dataverse,BJPolS,python,drop,1
dataverse,BJPolS,python,simple_json,1
dataverse,BJPolS,python,smappPy,1
dataverse,BJPolS,python,sentence-transformers,1
dataverse,BJPolS,python,setfit,1
dataverse,BJPolS,python,dtale,1
dataverse,BJPolS,python,pyreadr,1
dataverse,BJPolS,python,states,1
dataverse,BJPolS,python,beautifulsoup4,1
dataverse,BJPolS,python,Flask,1
dataverse,BJPolS,python,fse,1
dataverse,BJPolS,python,topojson,1
dataverse,BJPolS,python,descartes,1
dataverse,BJPolS,python,Shapely,1
dataverse,BJPolS,python,pyproj,1
dataverse,BJPolS,python,helper_functions,1
dataverse,BJPolS,python,python-docx,1
dataverse,BJPolS,python,tweepy,1
dataverse,BJPolS,python,dask,1
dataverse,BJPolS,python,ftfy,1
dataverse,BJPolS,python,astropy,1
dataverse,BJPolS,python,simpletransformers,1
dataverse,BJPolS,python,wandb,1
dataverse,BJPolS,python,country-converter,1
dataverse,BJPolS,python,utils,1
dataverse,BJPolS,python,regex,1
dataverse,BJPolS,python,huggingface-hub,1
dataverse,BJPolS,python,jsonlines,1
dataverse,BJPolS,python,seqeval,1
dataverse,BJPolS,python,optuna,1
dataverse,BJPolS,python,output,1
dataverse,BJPolS,python,data-processing,1
dataverse,BJPolS,python,classifier,1
dataverse,BJPolS,python,bias,1
dataverse,BJPolS,python,openpyxl,1
dataverse,BJPolS,python,xlsxwriter,1
dataverse,BJPolS,r,ggplot2,230
dataverse,BJPolS,r,dplyr,213
dataverse,BJPolS,r,tidyverse,172
dataverse,BJPolS,r,stargazer,151
dataverse,BJPolS,r,xtable,116
dataverse,BJPolS,r,foreign,115
dataverse,BJPolS,r,scales,103
dataverse,BJPolS,r,haven,97
dataverse,BJPolS,r,lmtest,91
dataverse,BJPolS,r,car,85
dataverse,BJPolS,r,gridExtra,82
dataverse,BJPolS,r,sandwich,82
dataverse,BJPolS,r,tidyr,81
dataverse,BJPolS,r,plyr,75
dataverse,BJPolS,r,stringr,71
dataverse,BJPolS,r,ggpubr,69
dataverse,BJPolS,r,broom,69
dataverse,BJPolS,r,MASS,66
dataverse,BJPolS,r,readxl,66
dataverse,BJPolS,r,texreg,62
dataverse,BJPolS,r,reshape2,61
dataverse,BJPolS,r,estimatr,58
dataverse,BJPolS,r,lme4,54
dataverse,BJPolS,r,data.table,51
dataverse,BJPolS,r,knitr,50
dataverse,BJPolS,r,readstata13,50
dataverse,BJPolS,r,psych,48
dataverse,BJPolS,r,modelsummary,43
dataverse,BJPolS,r,lubridate,43
dataverse,BJPolS,r,kableExtra,42
dataverse,BJPolS,r,plm,42
dataverse,BJPolS,r,patchwork,42
dataverse,BJPolS,r,readr,38
dataverse,BJPolS,r,RColorBrewer,36
dataverse,BJPolS,r,Hmisc,35
dataverse,BJPolS,r,fixest,33
dataverse,BJPolS,r,lfe,32
dataverse,BJPolS,r,forcats,32
dataverse,BJPolS,r,cowplot,31
dataverse,BJPolS,r,survey,30
dataverse,BJPolS,r,here,29
dataverse,BJPolS,r,pacman,29
dataverse,BJPolS,r,sf,29
dataverse,BJPolS,r,marginaleffects,27
dataverse,BJPolS,r,margins,27
dataverse,BJPolS,r,ggthemes,27
dataverse,BJPolS,r,ggrepel,26
dataverse,BJPolS,r,tibble,24
dataverse,BJPolS,r,purrr,24
dataverse,BJPolS,r,nnet,24
dataverse,BJPolS,r,ggeffects,24
dataverse,BJPolS,r,quanteda,23
dataverse,BJPolS,r,sjPlot,23
dataverse,BJPolS,r,devtools,21
dataverse,BJPolS,r,countrycode,21
dataverse,BJPolS,r,cregg,21
dataverse,BJPolS,r,magrittr,21
dataverse,BJPolS,r,AER,20
dataverse,BJPolS,r,multiwayvcov,19
dataverse,BJPolS,r,zoo,19
dataverse,BJPolS,r,rio,19
dataverse,BJPolS,r,viridis,19
dataverse,BJPolS,r,sp,18
dataverse,BJPolS,r,arm,18
dataverse,BJPolS,r,interplot,17
dataverse,BJPolS,r,lmerTest,16
dataverse,BJPolS,r,stringi,16
dataverse,BJPolS,r,lavaan,16
dataverse,BJPolS,r,survival,15
dataverse,BJPolS,r,jtools,15
dataverse,BJPolS,r,lattice,15
dataverse,BJPolS,r,corrplot,15
dataverse,BJPolS,r,dotwhisker,15
dataverse,BJPolS,r,janitor,15
dataverse,BJPolS,r,mediation,14
dataverse,BJPolS,r,reshape,14
dataverse,BJPolS,r,openxlsx,14
dataverse,BJPolS,r,Amelia,14
dataverse,BJPolS,r,Zelig,14
dataverse,BJPolS,r,igraph,13
dataverse,BJPolS,r,Rmisc,13
dataverse,BJPolS,r,cjoint,13
dataverse,BJPolS,r,boot,13
dataverse,BJPolS,r,hrbrthemes,13
dataverse,BJPolS,r,fastDummies,12
dataverse,BJPolS,r,tidytext,12
dataverse,BJPolS,r,coefplot,12
dataverse,BJPolS,r,ggstance,12
dataverse,BJPolS,r,mgcv,12
dataverse,BJPolS,r,nlme,12
dataverse,BJPolS,r,effects,12
dataverse,BJPolS,r,labelled,12
dataverse,BJPolS,r,MatchIt,12
dataverse,BJPolS,r,Matching,11
dataverse,BJPolS,r,doParallel,11
dataverse,BJPolS,r,tm,11
dataverse,BJPolS,r,rdrobust,11
dataverse,BJPolS,r,rgdal,11
dataverse,BJPolS,r,ggridges,10
dataverse,BJPolS,r,stm,10
dataverse,BJPolS,r,rstudioapi,10
dataverse,BJPolS,r,interflex,10
dataverse,BJPolS,r,raster,10
dataverse,BJPolS,r,foreach,9
dataverse,BJPolS,r,ordinal,9
dataverse,BJPolS,r,rstan,9
dataverse,BJPolS,r,GGally,9
dataverse,BJPolS,r,apsrtable,9
dataverse,BJPolS,r,tinytable,9
dataverse,BJPolS,r,mice,9
dataverse,BJPolS,r,sjmisc,9
dataverse,BJPolS,r,rgeos,9
dataverse,BJPolS,r,maptools,9
dataverse,BJPolS,r,sjlabelled,9
dataverse,BJPolS,r,plotrix,8
dataverse,BJPolS,r,quanteda.textstats,8
dataverse,BJPolS,r,extrafont,8
dataverse,BJPolS,r,ltm,8
dataverse,BJPolS,r,prediction,8
dataverse,BJPolS,r,mvtnorm,8
dataverse,BJPolS,r,spdep,7
dataverse,BJPolS,r,naniar,7
dataverse,BJPolS,r,huxtable,7
dataverse,BJPolS,r,rms,7
dataverse,BJPolS,r,DescTools,7
dataverse,BJPolS,r,questionr,7
dataverse,BJPolS,r,weights,7
dataverse,BJPolS,r,wesanderson,7
dataverse,BJPolS,r,emmeans,7
dataverse,BJPolS,r,matrixStats,7
dataverse,BJPolS,r,broom.mixed,7
dataverse,BJPolS,r,Matrix,7
dataverse,BJPolS,r,ebal,7
dataverse,BJPolS,r,sensemakr,6
dataverse,BJPolS,r,rlang,6
dataverse,BJPolS,r,wordcloud,6
dataverse,BJPolS,r,DataCombine,6
dataverse,BJPolS,r,caret,6
dataverse,BJPolS,r,Rcpp,6
dataverse,BJPolS,r,srvyr,6
dataverse,BJPolS,r,multcomp,6
dataverse,BJPolS,r,gtsummary,6
dataverse,BJPolS,r,miceadds,6
dataverse,BJPolS,r,SnowballC,6
dataverse,BJPolS,r,ggdist,6
dataverse,BJPolS,r,showtext,6
dataverse,BJPolS,r,ggcorrplot,6
dataverse,BJPolS,r,conflicted,6
dataverse,BJPolS,r,flextable,6
dataverse,BJPolS,r,pastecs,6
dataverse,BJPolS,r,remotes,6
dataverse,BJPolS,r,rdd,6
dataverse,BJPolS,r,ggtext,6
dataverse,BJPolS,r,writexl,6
dataverse,BJPolS,r,gtable,6
dataverse,BJPolS,r,imputeTS,6
dataverse,BJPolS,r,RItools,5
dataverse,BJPolS,r,pscl,5
dataverse,BJPolS,r,mlogit,5
dataverse,BJPolS,r,glue,5
dataverse,BJPolS,r,ragg,5
dataverse,BJPolS,r,survminer,5
dataverse,BJPolS,r,cobalt,5
dataverse,BJPolS,r,memisc,5
dataverse,BJPolS,r,gdata,5
dataverse,BJPolS,r,rjags,5
dataverse,BJPolS,r,brms,5
dataverse,BJPolS,r,gt,5
dataverse,BJPolS,r,rddensity,5
dataverse,BJPolS,r,glmnet,5
dataverse,BJPolS,r,clubSandwich,5
dataverse,BJPolS,r,metafor,5
dataverse,BJPolS,r,mirt,4
dataverse,BJPolS,r,maps,4
dataverse,BJPolS,r,quanteda.textplots,4
dataverse,BJPolS,r,sampleSelection,4
dataverse,BJPolS,r,mokken,4
dataverse,BJPolS,r,cshapes,4
dataverse,BJPolS,r,geosphere,4
dataverse,BJPolS,r,grf,4
dataverse,BJPolS,r,summarytools,4
dataverse,BJPolS,r,panelView,4
dataverse,BJPolS,r,DeclareDesign,4
dataverse,BJPolS,r,future.apply,4
dataverse,BJPolS,r,interactions,4
dataverse,BJPolS,r,ri,4
dataverse,BJPolS,r,rnaturalearth,4
dataverse,BJPolS,r,ggh4x,4
dataverse,BJPolS,r,pglm,4
dataverse,BJPolS,r,furrr,4
dataverse,BJPolS,r,future,4
dataverse,BJPolS,r,officer,4
dataverse,BJPolS,r,SDMTools,4
dataverse,BJPolS,r,ri2,4
dataverse,BJPolS,r,rmarkdown,4
dataverse,BJPolS,r,PanelMatch,4
dataverse,BJPolS,r,randomizr,4
dataverse,BJPolS,r,rworldmap,4
dataverse,BJPolS,r,sjstats,4
dataverse,BJPolS,r,Cairo,4
dataverse,BJPolS,r,tmap,4
dataverse,BJPolS,r,gmodels,4
dataverse,BJPolS,r,WDI,4
dataverse,BJPolS,r,vtable,4
