source,language,package,function,n_calls,n_deposits
dataverse,stata,estout,esttab,41192,2665
dataverse,stata,estout,eststo,129045,2363
dataverse,stata,coefplot,coefplot,10862,1415
dataverse,stata,outreg2,outreg2,58252,1274
dataverse,stata,reghdfe,reghdfe,47837,1107
dataverse,stata,estout,estadd,153479,1090
dataverse,r,dplyr,select,18027,1083
dataverse,stata,estout,estpost,4224,815
zenodo,stata,estout,esttab,12841,631
zenodo,stata,estout,eststo,36014,560
zenodo,stata,estout,estadd,72432,427
zenodo,stata,reghdfe,reghdfe,20767,409
dataverse,r,knitr,opts_chunk,1110,378
dataverse,stata,ivreg2,ivreg2,6560,372
dataverse,r,dplyr,filter,5470,360
dataverse,r,dplyr,mutate,5551,350
dataverse,r,dplyr,rename,2219,311
dataverse,r,scales,percent,1260,307
dataverse,r,pacman,p_load,1152,290
dataverse,stata,binscatter,binscatter,1674,289
dataverse,python,pandas,DataFrame,5016,283
dataverse,python,pandas,read_csv,4208,279
zenodo,stata,outreg2,outreg2,17078,274
dataverse,r,dplyr,group_by,1832,266
dataverse,r,dplyr,summarise,1711,265
dataverse,r,broom,tidy,2855,262
dataverse,stata,unique,unique,4400,239
zenodo,stata,coefplot,coefplot,2482,237
dataverse,r,dplyr,summarize,1467,232
dataverse,stata,spmap,spmap,729,225
zenodo,stata,estout,estpost,1569,223
dataverse,stata,winsor2,winsor2,2293,215
dataverse,python,numpy,array,17335,192
dataverse,stata,parmest,parmest,2928,192
dataverse,stata,clarify,estsimp,1453,192
dataverse,stata,ivreghdfe,ivreghdfe,5777,189
dataverse,r,scales,percent_format,1006,184
dataverse,python,pandas,concat,2444,179
dataverse,stata,clarify,simqi,7692,178
dataverse,r,dplyr,recode,1800,174
dataverse,stata,grstyle,grstyle,5692,172
dataverse,stata,distinct,distinct,2887,160
dataverse,stata,gtools,gcollapse,2664,154
dataverse,r,stargazer,stargazer,803,153
dataverse,stata,carryforward,carryforward,1033,152
dataverse,stata,labutil,labmask,420,151
dataverse,r,car,recode,3639,150
dataverse,r,xtable,xtable,571,144
dataverse,stata,sutex,sutex,354,143
dataverse,r,knitr,kable,671,142
zenodo,stata,binscatter,binscatter,719,141
dataverse,r,reshape2,melt,770,137
dataverse,stata,rdrobust,rdrobust,8168,136
dataverse,stata,regsave,regsave,3963,128
dataverse,r,rstudioapi,getActiveDocumentContext,500,127
dataverse,stata,gtools,gegen,5472,126
dataverse,python,numpy,zeros,3777,126
dataverse,stata,xtivreg2,xtivreg2,2069,124
dataverse,python,numpy,mean,2013,124
dataverse,python,matplotlib,subplots,1030,124
zenodo,python,pandas,DataFrame,1994,123
dataverse,r,devtools,install_github,219,123
dataverse,r,dplyr,lag,1345,121
zenodo,python,pandas,read_csv,2317,120
dataverse,python,matplotlib,savefig,1024,120
dataverse,r,haven,read_dta,402,120
dataverse,stata,outreg,outreg,5513,118
dataverse,r,here,here,3096,118
dataverse,stata,winsor,winsor,1311,117
zenodo,stata,ivreg2,ivreg2,2875,114
dataverse,python,numpy,arange,4766,113
zenodo,stata,ivreghdfe,ivreghdfe,3361,110
dataverse,r,dplyr,bind_rows,663,110
dataverse,r,dplyr,arrange,532,109
dataverse,stata,psmatch2,psmatch2,845,108
dataverse,stata,cem,cem,547,108
dataverse,python,numpy,log,1182,106
dataverse,stata,ebalance,ebalance,1152,105
dataverse,python,numpy,sum,1562,103
dataverse,stata,asdoc,asdoc,1108,103
