package,language,ecosystem,n_deposits,n_files,n_mentions,first_year,last_year,n_deposits_dataverse,n_deposits_zenodo,n_deposits_at_risk,share_of_deposits,n_at_risk_dataverse,n_at_risk_zenodo
estout,stata,ssc,3818,14813,450796,2011,2026,3119,699,8942,0.427,7796,1146
ggplot2,r,cran,3259,9412,16518,2011,2026,3082,177,6473,0.5035,6041,432
dplyr,r,cran,3140,13042,64336,2013,2026,2921,219,6473,0.4851,6041,432
tidyverse,r,cran,2404,11203,11632,2013,2026,2260,144,6473,0.3714,6041,432
stargazer,r,cran,2035,4744,5732,2013,2026,1968,67,6473,0.3144,6041,432
foreign,r,cran,1730,5176,5750,2010,2026,1658,72,6473,0.2673,6041,432
coefplot,stata,ssc,1652,2930,13344,2014,2026,1415,237,8942,0.1847,7796,1146
outreg2,stata,ssc,1548,4959,75342,2010,2026,1274,274,8942,0.1731,7796,1146
reghdfe,stata,ssc,1527,7739,69647,2016,2026,1115,412,8942,0.1708,7796,1146
haven,r,cran,1427,4291,4983,2013,2026,1287,140,6473,0.2205,6041,432
xtable,r,cran,1412,3339,4080,2011,2026,1340,72,6473,0.2181,6041,432
scales,r,cran,1281,2818,6431,2013,2026,1207,74,6473,0.1979,6041,432
stringr,r,cran,1154,3451,6386,2013,2026,1064,90,6473,0.1783,6041,432
tidyr,r,cran,1097,2942,4258,2013,2026,1000,97,6473,0.1695,6041,432
lmtest,r,cran,1072,2566,3762,2013,2026,1035,37,6473,0.1656,6041,432
gridExtra,r,cran,1068,2219,2617,2014,2026,1026,42,6473,0.165,6041,432
sandwich,r,cran,1022,2469,3490,2011,2026,979,43,6473,0.1579,6041,432
readxl,r,cran,1014,2896,3424,2013,2026,901,113,6473,0.1567,6041,432
plyr,r,cran,1002,2497,3933,2012,2026,958,44,6473,0.1548,6041,432
data.table,r,cran,991,4854,7035,2013,2026,873,118,6473,0.1531,6041,432
MASS,r,cran,929,2913,3677,2010,2026,892,37,6473,0.1435,6041,432
broom,r,cran,861,2081,4884,2013,2026,822,39,6473,0.133,6041,432
knitr,r,cran,815,2368,4250,2015,2026,744,71,6473,0.1259,6041,432
lubridate,r,cran,785,2551,3572,2015,2026,722,63,6473,0.1213,6041,432
reshape2,r,cran,773,1706,2815,2013,2026,732,41,6473,0.1194,6041,432
car,r,cran,752,2275,6361,2011,2026,734,18,6473,0.1162,6041,432
ggpubr,r,cran,748,1559,1920,2018,2026,724,24,6473,0.1156,6041,432
pandas,python,pypi,734,6522,65849,2015,2026,525,209,911,0.8057,655,256
numpy,python,pypi,686,7568,121168,2012,2026,487,199,911,0.753,655,256
texreg,r,cran,686,1646,2093,2014,2026,673,13,6473,0.106,6041,432
readstata13,r,cran,661,2104,2302,2015,2026,625,36,6473,0.1021,6041,432
readr,r,cran,626,1897,2581,2016,2026,570,56,6473,0.0967,6041,432
