package,language,year,n_deposits
A3,r,2023,1
ADtools,r,2025,1
AER,r,2012,1
AER,r,2015,8
AER,r,2016,9
AER,r,2017,8
AER,r,2018,20
AER,r,2019,21
AER,r,2020,27
AER,r,2021,31
AER,r,2022,26
AER,r,2023,35
AER,r,2024,35
AER,r,2025,37
AER,r,2026,11
AICcmodavg,r,2017,2
AICcmodavg,r,2020,2
AICcmodavg,r,2025,1
ALEPlot,r,2021,1
ALEPlot,r,2022,1
AMR,r,2024,1
ANOVAreplication,r,2021,1
ANOVAreplication,r,2022,1
ANOVAreplication,r,2023,1
ANOVAreplication,r,2024,1
ANOVAreplication,r,2026,1
APCI,r,2022,1
ARDL,r,2023,1
ARDL,r,2025,1
ATE,r,2019,1
ATE,r,2022,2
AUC,r,2018,1
AUCRF,r,2023,1
AlgDesign,r,2018,1
AlgDesign,r,2019,1
Amelia,r,2013,2
Amelia,r,2014,3
Amelia,r,2015,6
Amelia,r,2016,8
Amelia,r,2017,8
Amelia,r,2018,17
Amelia,r,2019,10
Amelia,r,2020,16
Amelia,r,2021,15
Amelia,r,2022,12
Amelia,r,2023,10
Amelia,r,2024,8
Amelia,r,2025,7
Amelia,r,2026,4
AppliedPredictiveModeling,r,2021,1
BART,r,2019,1
BART,r,2020,1
BART,r,2021,1
BART,r,2022,1
BART,r,2024,1
BART,r,2025,1
BAS,r,2012,1
BAS,r,2021,1
BAS,r,2025,2
BB,r,2013,1
BB,r,2022,1
BB,r,2023,1
BB,r,2024,3
BB,r,2026,2
BBSSL,r,2024,1
BBmisc,r,2018,1
BBmisc,r,2020,1
BBmisc,r,2021,1
BBmisc,r,2022,1
BBmisc,r,2023,6
BBmisc,r,2024,1
BDEsize,r,2024,1
BEST,r,2020,2
BH,r,2015,1
BLPestimatoR,r,2024,1
BMA,r,2012,1
BMA,r,2018,1
BMA,r,2019,1
BMA,r,2021,1
BMA,r,2025,1
BMS,r,2018,1
BMS,r,2021,1
BMS,r,2022,1
BMS,r,2025,1
BMisc,r,2022,1
BMisc,r,2023,1
BMisc,r,2025,1
BMisc,r,2026,1
BRugs,r,2019,1
BSDA,r,2019,1
BSDA,r,2026,1
BTM,r,2021,1
BTM,r,2023,1
BaM,r,2023,1
BaM,r,2024,1
Barnard,r,2021,1
BatchGetSymbols,r,2020,1
BatchGetSymbols,r,2024,1
BayesFM,r,2022,1
BayesFM,r,2025,1
BayesFactor,r,2020,1
BayesFactor,r,2021,1
BayesFactor,r,2022,2
BayesFactor,r,2023,2
BayesFactor,r,2025,2
BayesFactor,r,2026,2
BayesLogit,r,2018,1
BayesLogit,r,2024,1
BayesPostEst,r,2020,1
BayesPostEst,r,2021,1
BayesPostEst,r,2023,1
BayesPostEst,r,2024,1
BayesPostEst,r,2025,1
BayesTree,r,2013,1
BayesTree,r,2015,1
BayesTree,r,2016,1
BayesTree,r,2017,2
BayesTree,r,2018,1
BayesTree,r,2019,3
BayesTree,r,2022,1
BayesTree,r,2025,1
BayesianTools,r,2025,1
BeautifulSoup,python,2021,1
Benchmarking,r,2022,1
BenfordTests,r,2016,1
BenfordTests,r,2021,1
BinNor,r,2023,1
BiocManager,r,2022,1
BiocManager,r,2024,1
BiocManager,r,2025,1
BiocManager,r,2026,1
Boruta,r,2023,1
Bottleneck,python,2024,1
BradleyTerry2,r,2013,1
BradleyTerry2,r,2019,1
BradleyTerry2,r,2022,1
BradleyTerry2,r,2024,3
BradleyTerry2,r,2025,2
C50,r,2019,1
CBPS,r,2018,1
CBPS,r,2019,4
CBPS,r,2020,5
CBPS,r,2021,7
CBPS,r,2022,5
CBPS,r,2023,3
CBPS,r,2024,3
CBPS,r,2025,1
CBPS,r,2026,2
CCA,r,2019,1
CCAGFA,r,2020,1
CDatanet,r,2025,1
CGPfunctions,r,2023,2
CGPfunctions,r,2025,1
CGPfunctions,r,2026,1
CORElearn,r,2019,1
CPC,r,2023,1
CRTConjoint,r,2023,1
CRTConjoint,r,2025,1
CRTConjoint,r,2026,1
CVXR,r,2022,1
CVXR,r,2024,3
CVXR,r,2025,2
CVXR,r,2026,1
Cairo,r,2016,1
Cairo,r,2017,1
Cairo,r,2018,8
Cairo,r,2019,9
Cairo,r,2020,3
Cairo,r,2021,7
Cairo,r,2022,5
Cairo,r,2023,9
Cairo,r,2024,3
Cairo,r,2025,6
Cairo,r,2026,10
Camelot,python,2025,1
Cartopy,python,2018,1
Cartopy,python,2025,2
Cartopy,python,2026,2
CausalGAM,r,2010,1
CausalGAM,r,2011,1
CausalImpact,r,2022,1
CausalImpact,r,2026,1
CherryPy,python,2022,1
ChoiceModelR,r,2024,1
CircSpatial,r,2016,1
CircStats,r,2016,1
Ckmeans.1d.dp,r,2024,1
ClustOfVar,r,2024,1
ClustOfVar,r,2026,1
ClusterBootstrap,r,2023,1
ClusterBootstrap,r,2024,1
Coherence,python,2025,1
Common-functions,python,2024,1
ComplexHeatmap,r,2021,1
ComplexUpset,r,2023,1
ComplexUpset,r,2024,1
ConSav,python,2026,1
ConSpline,r,2024,1
